ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14
0,4323,1766,884,2852,3484,1253,285,1638,285,635,1395,957,285,285,1620
1,4323,1766,656,56,2196,1681,2828,776,2695,2695,3338,2560,2560,427,2695
2,4323,1766,656,56,3484,455,2382,26,26,419,1395,888,1395,888,888
3,4323,1766,884,5468,11,1374,1579,1672,1672,1672,1672,1672,1068,1672,1672
4,4323,1766,884,5468,1304,2118,2043,2910,2910,2910,2910,2553,2863,2509,503
5,4323,1766,656,5468,1304,539,3444,373,461,1127,3195,3195,2458,3250,2458
6,4323,1766,656,1149,359,1759,1837,121,2358,2560,2560,3321,2807,3242,2934
7,4323,1766,656,1554,1304,2946,1367,1615,1937,1877,1526,1526,1526,2233,1526
8,4323,1766,656,56,11,343,343,343,2644,23,2657,2000,1445,2657,2644
9,4323,1766,884,2328,6515,2847,6184,5,950,832,3419,3357,5065,2405,3810
10,4323,1766,884,6610,4031,1608,492,492,1095,2192,1057,1095,82,3535,6811
11,4323,1766,884,56,819,1970,3231,2185,2185,3231,3231,3231,1732,3231,3231
12,4323,1766,656,56,2603,3025,1460,3441,3441,3441,3441,473,2245,257,2245
13,4323,1766,656,2756,6743,3025,3441,2889,2889,290,3441,290,3441,3441,290
14,4323,1766,656,497,2603,3025,1460,3441,1460,290,3441,473,2388,3441,473
15,4323,1766,656,2756,396,396,961,1883,1239,1705,2289,2804,2804,2804,2804
16,4323,1766,656,2756,3527,2168,2588,2804,1883,1239,2289,2804,2289,2289,2804
17,4323,1766,656,56,3338,824,961,2608,961,2608,2608,824,3468,3468,2608
18,4323,1766,884,2381,391,3515,3459,138,1519,1739,1739,1739,56,1739,56
19,4323,1766,884,504,1304,1304,2355,2355,569,1739,2355,2355,1022,1739,569
20,4323,1766,656,2840,1148,3393,3133,3133,3133,354,354,354,354,354,354
21,4323,1766,1568,4948,3488,1398,4586,2092,2092,2092,3998,2092,3998,2092,3275
22,4323,1766,884,2125,710,3371,3150,3371,3371,3371,3371,3371,3664,4403,3150
23,4323,1766,3836,4341,710,2009,476,3631,2092,2092,4679,6194,1500,1500,2725
24,4323,1766,884,2038,6,3089,1095,3089,787,5320,787,473,1890,787,787
25,4323,1766,884,2793,1443,3025,787,450,1213,787,787,787,787,787,787
26,4323,1766,884,2793,359,256,787,1890,787,787,1095,787,1831,787,787
27,4323,1766,5467,1149,1279,1681,1400,545,344,1681,3348,3504,344,3189,1490
28,4323,1766,884,2652,1899,3155,3155,1382,3525,1306,3222,2437,3155,3155,2437
29,4323,1766,884,330,3383,2689,51,2298,1940,2298,2298,1940,1940,2298,1940
30,4323,1766,3836,4948,1820,2043,690,238,238,1124,1739,1739,1787,2907,1157
31,4323,1766,884,1554,1852,238,2994,3028,3028,3028,2515,3028,1433,3028,6845
32,4323,1766,884,3289,1820,1076,389,2254,1433,1433,1433,3099,1433,1433,2783
33,4323,1766,884,5026,6973,1171,2138,3503,22,3555,2138,2138,2138,3706,3503
34,4323,1766,656,5266,2990,1452,1706,3053,3153,1744,3153,3153,2423,1522,722
35,4323,1766,656,4615,4078,2322,801,1828,4213,5034,4398,3346,4213,3346,3346
36,4323,1766,884,1124,1304,3024,50,554,569,605,1987,1987,554,461,1987
37,4323,1766,884,504,2103,1315,1315,2424,340,2424,2268,319,319,522,1315
38,4323,1766,2681,2652,2684,2014,2252,5651,3024,1987,674,1987,1987,173,1987
39,4323,1766,2681,585,1820,917,3130,1568,271,271,1676,271,271,4460,271
40,4323,1766,884,1286,1112,1124,3203,3271,11,1301,3199,1301,3199,487,271
41,4323,1766,1568,4948,5774,1820,1450,1764,2737,6754,1477,2737,564,288,564
42,4323,1766,884,1554,2946,2154,3340,3199,1717,1717,108,2645,2645,2645,1508
43,4323,1766,656,1286,2946,580,2310,1217,2310,2310,2310,160,160,160,144
44,4323,1766,2681,585,1855,568,1907,2169,1868,1728,926,1728,1760,132,1760
45,4323,1766,5467,2381,558,1253,853,755,59,2821,336,323,2862,336,3145
46,4323,1766,2681,2652,5774,3328,2790,1134,393,393,393,393,2347,3261,2684
47,4323,1766,884,1156,2233,1395,1602,2398,343,343,2398,1602,343,1602,343
48,4323,1766,5467,2793,554,352,1995,352,1995,1995,1995,1995,1995,1995,1995
49,4323,1766,884,2793,2594,2836,3124,3407,3407,3407,3407,71,3407,3407,63
50,4323,1766,884,56,3059,2965,3071,2965,3018,3018,3018,3018,3018,3018,3018
51,4323,1766,656,56,3406,2965,2843,2843,2008,124,124,2008,2008,604,2008
52,4323,1766,884,2381,663,1110,1695,1695,843,2964,1695,2964,2964,177,4400
53,4323,1766,656,2298,3338,246,2804,3421,2008,1443,1443,1153,1443,2008,1443
54,4323,1766,2681,3197,2381,643,493,493,3514,2175,2175,2175,5544,5544,5544
55,4323,1766,884,6610,3966,2014,6440,5166,6946,6946,6946,1598,4704,6280,4704
56,4323,1766,884,2652,1332,5729,6703,6029,4704,634,6994,3150,2668,6374,5544
57,4323,1766,884,6711,11,3080,819,819,533,214,214,214,214,4514,1593
58,4323,1766,884,2652,171,1975,1027,3509,2501,1975,1975,1842,1975,1975,1975
59,4323,1766,3394,2866,1820,1605,978,1697,1697,3203,2434,526,1615,3263,934
60,4323,1766,5467,4615,1931,1931,1931,1931,1931,1931,1931,1931,1931,1190,2190
61,4323,1766,884,1857,1931,1931,1785,2307,389,1931,1931,2307,928,2307,324
62,4323,1766,884,2840,2840,3353,1938,389,94,1463,1463,2135,2152,1463,2152
63,4323,1766,656,2793,359,762,1693,2260,1364,351,560,351,351,351,1518
64,4323,1766,656,56,970,539,1854,970,2934,2934,2934,2934,2934,2934,2934
65,4323,1766,656,1156,819,2136,3196,2466,343,2732,1852,1852,1852,1852,3031
66,4323,1766,884,2652,307,1888,93,1629,3336,2060,965,1629,2060,138,5698
67,4323,1766,884,216,1804,1071,3148,2612,2612,2525,3148,2050,3300,3300,2243
68,4323,1766,884,2652,2981,1213,1194,1194,556,2292,556,1462,885,689,2292
69,4323,1766,656,2328,481,1242,480,1547,561,561,1242,480,1804,6126,232
70,4323,1766,5467,2125,457,2262,2236,2236,379,561,1590,1250,379,1250,488
71,4323,1766,884,3164,1804,3405,435,361,2525,603,884,659,659,2810,2810
72,4323,1766,884,1286,1862,535,1268,3510,1264,2370,2268,2268,2979,1032,2268
73,4323,1766,2681,1337,2920,2784,1337,3257,1181,152,387,1545,2158,1502,1790
74,4323,1766,884,3289,3443,3039,112,2583,2557,738,2188,1357,1357,2045,1531
