Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	0	0.0	2.685	19.884	2.97	0.0	2.187	19.776	2.927
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	1	0.0	4.754	28.452	7.904	0.0	3.955	26.811	6.73
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	2	0.0	14.235	32.186	15.379	0.0	9.914	32.878	14.582
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	3	0.0	30.671	35.079	22.646	0.0	20.377	34.591	19.923
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	4	0.0	44.133	35.382	26.379	0.0	30.422	34.307	21.941
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	5	0.0	53.863	36.949	30.672	0.0	39.536	38.271	28.125
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	6	0.0	61.158	38.983	34.915	0.0	47.878	40.01	31.53
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	7	0.0	66.684	39.84	36.979	0.0	52.619	40.19	32.667
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	8	0.0	71.307	40.913	39.834	0.0	57.19	42.434	36.333
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	9	0.0	73.52	42.668	42.798	0.0	60.28	44.528	39.557
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	10	0.0	77.187	42.978	44.777	0.0	64.144	44.335	40.3
