Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	19	0.0	28.185	50.434	25.795	0.0	24.727	48.383	23.21
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	39	0.0	26.972	50.753	26.8	0.0	22.901	50.829	25.231
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	79	0.0	24.186	53.473	27.813	0.0	21.268	51.048	24.649
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	99	0.0	23.826	51.327	26.005	0.0	21.953	49.855	23.861
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	89	0.0	21.088	43.558	18.676	0.0	18.65	40.65	16.296
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi_R2/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	89	0.0	21.064	43.557	18.675	0.0	18.686	40.649	16.295
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	19	0.0	28.185	50.434	25.795	0.0	24.727	48.383	23.21
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	39	0.0	26.972	50.753	26.8	0.0	22.901	50.829	25.231
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	79	0.0	24.186	53.473	27.813	0.0	21.268	51.048	24.649
ig_resnext101_32x8d	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	99	0.0	23.826	51.327	26.005	0.0	21.953	49.855	23.861
