Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
resnetrs101	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/resnetrs101/config_resnetrs101_MagFace_SGD.yaml	222	19	0.0	20.019	11.398	4.689	0.0	18.482	12.298	4.821
resnetrs101	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/resnetrs101/config_resnetrs101_MagFace_SGD.yaml	222	39	0.0	21.112	12.698	5.416	0.0	19.791	13.076	5.206
resnetrs101	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/resnetrs101/config_resnetrs101_MagFace_SGD.yaml	222	79	0.0	23.502	14.365	6.348	0.0	20.944	15.142	6.337
resnetrs101	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/resnetrs101/config_resnetrs101_MagFace_SGD.yaml	222	99	0.0	19.407	13.734	5.911	0.0	15.576	14.523	5.533
resnetrs101	/cmlscratch/sdooley1/merge_timm/FR-NAS/configs_multi/resnetrs101/config_resnetrs101_MagFace_SGD.yaml	222	100	0.0	19.611	13.702	5.903	0.0	15.732	14.487	5.537
resnetrs101	configs_multi/resnetrs101/config_resnetrs101_MagFace_SGD.yaml	222	19	0.0	24.587	8.101	8.431	0.0	22.277	8.34	8.373
resnetrs101	configs_multi/resnetrs101/config_resnetrs101_MagFace_SGD.yaml	222	39	0.0	25.413	8.933	9.648	0.0	24.257	8.816	9.254
resnetrs101	configs_multi/resnetrs101/config_resnetrs101_MagFace_SGD.yaml	222	79	0.0	28.383	9.961	11.15	0.0	21.617	10.516	11.0
resnetrs101	configs_multi/resnetrs101/config_resnetrs101_MagFace_SGD.yaml	222	99	0.0	27.558	9.846	10.814	0.0	19.802	10.398	10.763
resnetrs101	configs_multi/resnetrs101/config_resnetrs101_MagFace_SGD.yaml	222	100	0.0	25.908	9.846	10.78	0.0	20.297	10.363	10.742
