Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	0	0.0	4.898	4.51	0.888	0.0	4.02	4.547	0.813
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	1	0.0	35.935	10.423	7.054	0.0	24.109	9.288	5.363
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	2	0.0	58.761	21.106	18.167	0.0	43.347	15.735	11.497
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	3	0.0	74.096	39.009	43.423	0.0	58.722	33.903	30.235
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	4	0.0	84.455	41.098	52.861	0.0	72.342	42.85	46.989
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	5	0.0	88.515	40.809	56.096	0.0	80.684	43.769	53.181
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	6	0.0	91.92	41.052	59.681	0.0	86.511	43.823	57.11
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	7	0.0	93.151	40.491	60.672	0.0	89.301	42.964	57.903
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	8	0.0	94.068	40.617	62.367	0.0	90.571	43.448	60.468
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	9	0.0	94.565	40.915	63.485	0.0	91.737	43.599	61.903
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	10	0.0	94.906	40.77	63.986	0.0	92.287	43.799	62.627
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	11	0.0	94.971	41.263	64.859	0.0	92.038	44.08	63.053
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	12	0.0	95.115	41.423	65.0	0.0	92.391	44.391	63.846
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	13	0.0	95.312	41.651	65.56	0.0	92.666	44.57	63.654
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	14	0.0	95.39	42.063	66.146	0.0	91.972	45.501	65.144
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	15	0.0	95.102	42.064	65.641	0.0	92.837	45.369	65.048
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	16	0.0	95.469	42.416	66.309	0.0	92.378	45.993	65.792
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	17	0.0	95.181	42.728	66.431	0.0	92.431	46.269	65.937
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	18	0.0	95.01	43.24	67.113	0.0	92.509	46.85	66.763
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	19	0.0	95.207	43.193	66.855	0.0	92.627	46.366	66.175
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	20	0.0	94.945	43.491	67.332	0.0	92.287	47.059	66.689
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	21	0.0	95.063	43.106	67.337	0.0	92.339	47.054	66.788
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	22	0.0	95.037	43.743	67.52	0.0	92.064	47.381	67.184
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	23	0.0	94.644	44.161	67.363	0.0	91.881	47.595	66.643
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	24	0.0	95.155	44.172	67.801	0.0	91.396	47.974	67.588
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	25	0.0	95.076	44.454	68.159	0.0	91.344	48.145	66.973
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	26	0.0	94.46	44.757	68.241	0.0	91.278	48.619	68.04
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	27	0.0	94.997	44.756	68.295	0.0	91.291	48.974	68.597
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	28	0.0	94.971	44.902	68.208	0.0	91.265	48.902	68.177
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	29	0.0	94.749	44.843	68.231	0.0	91.265	49.138	68.495
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	30	0.0	94.631	45.0	68.365	0.0	90.807	49.553	68.71
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	31	0.0	94.316	45.414	68.52	0.0	90.807	49.929	68.942
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	32	0.0	94.591	45.543	68.603	0.0	90.807	49.756	68.272
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	33	0.0	94.631	45.571	69.123	0.0	90.872	49.549	68.722
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	34	0.0	94.644	45.532	68.747	0.0	90.505	50.225	69.318
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	35	0.0	94.421	45.815	69.027	0.0	90.335	50.043	68.543
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	36	0.0	94.421	45.967	68.702	0.0	90.1	50.494	69.171
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	37	0.0	94.709	45.546	68.929	0.0	90.584	50.191	69.306
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	38	0.0	94.212	46.327	69.163	0.0	89.694	50.369	68.703
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	39	0.0	94.434	46.26	69.804	0.0	89.851	51.083	69.867
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	40	0.0	94.316	46.264	69.289	0.0	89.497	50.764	68.705
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	41	0.0	94.29	46.31	69.475	0.0	90.113	50.539	69.141
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	42	0.0	94.002	46.4	69.334	0.0	89.445	50.942	69.453
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	43	0.0	94.054	46.722	69.361	0.0	89.13	51.131	69.432
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	44	0.0	94.159	46.244	68.841	0.0	89.864	51.196	70.022
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	45	0.0	94.225	46.674	69.281	0.0	89.157	51.308	69.726
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	46	0.0	94.028	46.843	69.633	0.0	89.235	51.759	70.254
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	47	0.0	94.081	46.609	69.602	0.0	88.947	51.649	70.197
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	48	0.0	94.46	46.597	69.357	0.0	89.772	51.691	70.487
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	49	0.0	94.094	46.848	69.678	0.0	89.078	52.109	71.003
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	50	0.0	93.91	46.844	69.734	0.0	89.065	52.195	70.544
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	51	0.0	94.12	47.068	70.079	0.0	88.882	51.681	69.609
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	52	0.0	94.487	46.585	69.518	0.0	89.183	52.027	70.318
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	53	0.0	94.329	47.455	70.621	0.0	89.117	51.948	70.358
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	54	0.0	94.369	47.141	70.283	0.0	88.58	52.138	70.452
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	55	0.0	94.735	46.997	70.224	0.0	89.353	52.009	70.792
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	56	0.0	94.395	47.036	70.069	0.0	89.288	52.303	71.033
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	57	0.0	94.068	47.102	69.951	0.0	88.646	52.413	70.988
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	58	0.0	93.74	47.387	70.118	0.0	88.554	52.346	70.409
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	59	0.0	94.199	47.435	70.36	0.0	88.292	52.598	70.987
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	60	0.0	94.408	47.385	70.523	0.0	88.436	52.601	71.033
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	61	0.0	93.884	47.282	69.976	0.0	88.214	52.816	71.432
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	62	0.0	93.91	47.484	70.268	0.0	87.729	52.974	71.23
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	63	0.0	94.251	47.319	69.943	0.0	88.083	52.624	70.581
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	64	0.0	94.526	47.326	70.427	0.0	89.091	52.754	71.608
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	65	0.0	94.146	47.53	70.064	0.0	88.947	52.941	71.426
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	66	0.0	94.356	47.326	70.113	0.0	88.672	52.908	71.346
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	67	0.0	94.578	47.462	70.643	0.0	88.449	52.742	71.103
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	68	0.0	94.094	47.527	70.384	0.0	88.698	52.747	70.8
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	69	0.0	94.369	47.328	70.405	0.0	88.698	52.873	71.225
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	70	0.0	94.565	47.246	70.288	0.0	89.366	52.434	70.785
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	71	0.0	94.408	47.397	70.539	0.0	89.13	52.947	71.623
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	72	0.0	94.238	47.839	70.984	0.0	88.449	53.448	72.04
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	73	0.0	93.95	48.217	71.235	0.0	87.978	53.316	71.887
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	74	0.0	94.434	47.428	70.135	0.0	88.253	52.923	71.193
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	75	0.0	94.395	47.996	71.44	0.0	88.253	53.435	72.344
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	76	0.0	94.814	47.633	71.112	0.0	88.921	53.004	71.698
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	77	0.0	94.775	47.825	71.273	0.0	88.777	53.199	71.905
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	78	0.0	94.762	47.758	71.183	0.0	88.829	53.071	71.646
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	79	0.0	94.46	47.879	71.146	0.0	88.554	53.291	71.501
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	80	0.0	94.67	47.593	71.048	0.0	88.646	53.169	71.782
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	81	0.0	94.657	47.844	71.425	0.0	88.672	53.358	72.098
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	82	0.0	94.565	47.791	70.865	0.0	88.869	53.2	71.483
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	83	0.0	94.644	47.811	71.217	0.0	88.934	53.227	72.247
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	84	0.0	94.578	47.902	70.927	0.0	88.423	53.309	71.648
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	85	0.0	94.709	48.09	71.517	0.0	88.672	53.319	71.963
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	86	0.0	94.801	48.048	71.703	0.0	88.711	53.787	72.715
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	87	0.0	94.329	48.349	71.308	0.0	87.899	53.823	72.055
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	88	0.0	94.382	48.16	71.455	0.0	88.724	53.546	72.13
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	89	0.0	94.447	48.392	71.595	0.0	88.698	53.659	72.4
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	90	0.0	94.329	48.255	71.47	0.0	88.724	53.481	71.735
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	91	0.0	94.447	48.59	71.634	0.0	88.711	53.91	72.404
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	92	0.0	94.513	48.577	71.85	0.0	88.554	53.913	72.474
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	93	0.0	94.303	48.83	71.778	0.0	88.227	54.182	72.588
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	94	0.0	94.316	49.056	72.094	0.0	87.991	54.402	72.809
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	95	0.0	94.382	49.062	72.113	0.0	87.716	54.307	72.733
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	96	0.0	94.487	48.995	72.062	0.0	87.913	54.281	72.77
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	97	0.0	94.316	49.194	72.16	0.0	87.729	54.567	72.982
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	98	0.0	94.46	49.234	72.125	0.0	87.651	54.554	72.831
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	99	0.0	94.199	49.18	72.178	0.0	87.664	54.613	73.032
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	100	0.0	94.408	49.286	72.172	0.0	87.48	54.675	73.09
