Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	0	0.0	4.466	6.843	1.103	0.0	4.715	5.923	0.914
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	1	0.0	4.007	2.29	0.285	0.0	3.968	1.731	0.2
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	2	0.0	2.619	40.465	1.604	0.0	2.41	35.157	1.421
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	3	0.0	2.567	1.362	0.122	0.0	1.742	0.912	0.091
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	4	0.0	2.606	1.104	0.085	0.0	2.135	0.909	0.071
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	5	0.0	0.799	0.27	0.031	0.0	0.877	0.256	0.023
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	6	0.0	0.419	nan	0.016	0.0	0.393	0.242	0.012
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	7	0.0	0.262	0.42	0.026	0.0	0.196	0.377	0.023
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	8	0.0	0.773	3.407	0.134	0.0	0.511	3.031	0.122
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	9	0.0	1.166	2.706	0.153	0.0	0.891	2.562	0.13
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	10	0.0	1.218	2.325	0.173	0.0	1.231	2.39	0.137
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	11	0.0	1.139	2.874	0.168	0.0	1.061	2.874	0.15
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	12	0.0	1.467	3.19	0.192	0.0	1.179	2.975	0.171
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	13	0.0	1.663	2.191	0.236	0.0	1.349	1.97	0.21
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	14	0.0	1.912	2.007	0.289	0.0	1.296	1.815	0.258
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	15	0.0	1.82	2.322	0.378	0.0	1.847	2.18	0.333
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	16	0.0	1.964	3.054	0.475	0.0	1.572	2.987	0.434
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	17	0.0	2.344	3.367	0.519	0.0	1.493	3.341	0.498
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	18	0.0	2.213	3.73	0.549	0.0	1.847	3.249	0.531
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	19	0.0	1.82	4.751	0.643	0.0	1.598	4.293	0.599
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	20	0.0	2.279	4.63	0.698	0.0	1.794	4.362	0.637
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	21	0.0	2.161	4.597	0.753	0.0	1.689	4.317	0.677
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	22	0.0	2.148	4.979	0.841	0.0	1.689	4.601	0.738
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	23	0.0	2.279	5.51	0.89	0.0	1.925	5.077	0.811
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	24	0.0	2.135	6.055	0.982	0.0	1.572	5.548	0.895
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	25	0.0	2.279	6.647	1.108	0.0	1.807	6.155	1.009
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	26	0.0	1.702	7.069	1.216	0.0	1.86	6.581	1.128
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	27	0.0	1.951	8.02	1.39	0.0	1.467	7.417	1.287
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	28	0.0	2.017	9.02	1.613	0.0	1.598	8.433	1.494
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	29	0.0	1.729	10.081	1.845	0.0	1.244	9.436	1.693
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	30	0.0	1.598	10.957	2.024	0.0	1.624	10.28	1.872
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	31	0.0	1.506	11.585	2.157	0.0	1.441	10.883	2.016
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	32	0.0	1.375	11.959	2.219	0.0	1.27	11.304	2.084
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	33	0.0	1.716	12.288	2.379	0.0	1.061	11.566	2.123
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	34	0.0	1.624	12.425	2.415	0.0	1.296	11.553	2.103
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	35	0.0	1.401	12.587	2.493	0.0	1.218	11.531	2.14
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	36	0.0	1.519	12.842	2.612	0.0	1.231	11.789	2.208
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	37	0.0	1.532	13.254	2.735	0.0	1.048	12.223	2.303
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	38	0.0	1.886	13.578	2.889	0.0	1.349	12.685	2.369
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	39	0.0	2.017	13.82	2.984	0.0	1.65	13.043	2.525
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	40	0.0	2.305	14.22	3.169	0.0	1.493	13.53	2.692
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	41	0.0	2.619	14.405	3.27	0.0	1.716	13.81	2.862
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	42	0.0	2.789	14.479	3.37	0.0	2.122	13.924	2.969
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	43	0.0	2.92	14.573	3.51	0.0	2.2	14.212	3.124
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	44	0.0	3.025	14.473	3.563	0.0	2.108	14.434	3.29
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	45	0.0	3.523	14.298	3.611	0.0	2.266	14.493	3.42
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	46	0.0	3.706	14.258	3.674	0.0	2.122	14.595	3.547
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	47	0.0	3.968	14.403	3.82	0.0	2.619	14.831	3.676
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	48	0.0	4.178	14.544	3.955	0.0	2.58	14.987	3.808
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	49	0.0	4.361	14.589	4.092	0.0	3.091	15.045	3.917
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	50	0.0	4.348	14.704	4.228	0.0	3.169	15.1	4.036
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	51	0.0	4.872	14.743	4.342	0.0	3.104	15.066	4.119
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	52	0.0	4.361	14.722	4.441	0.0	3.287	15.031	4.236
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	53	0.0	5.029	14.709	4.531	0.0	3.274	15.065	4.331
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	54	0.0	5.16	14.709	4.627	0.0	3.483	15.11	4.432
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	55	0.0	5.265	14.672	4.701	0.0	3.772	15.103	4.518
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	56	0.0	5.513	14.668	4.764	0.0	4.034	15.065	4.607
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	57	0.0	5.801	14.663	4.836	0.0	4.374	15.015	4.675
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	58	0.0	5.946	14.699	4.915	0.0	4.426	14.937	4.719
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	59	0.0	5.998	14.683	4.992	0.0	4.322	14.814	4.748
convit_base	configs_unified_lr/convit_base/config_convit_base_ArcFace_AdamW_0.001_cosine.yaml	222	60	0.0	6.221	14.596	5.026	0.0	4.885	14.708	4.775
