Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	0	0.0	3.654	18.829	1.99	0.0	3.811	18.228	1.845
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	1	0.0	3.104	11.02	0.764	0.0	2.645	10.92	0.696
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	2	0.0	2.436	6.852	0.325	0.0	2.226	4.696	0.245
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	3	0.0	2.266	1.518	0.182	0.0	1.663	1.513	0.188
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	4	0.0	1.401	3.755	0.173	0.0	1.31	3.061	0.149
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	5	0.0	0.982	8.891	0.328	0.0	0.616	8.229	0.299
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	6	0.0	0.668	11.041	0.43	0.0	0.629	9.887	0.373
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	7	0.0	0.943	12.633	0.609	0.0	0.746	11.614	0.554
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	8	0.0	1.558	13.026	0.873	0.0	1.166	12.744	0.785
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	9	0.0	1.912	11.651	1.12	0.0	1.48	12.186	0.991
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	10	0.0	2.2	11.67	1.328	0.0	1.82	12.194	1.148
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	11	0.0	2.436	11.182	1.279	0.026	1.794	12.132	1.147
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	12	0.0	2.108	10.238	1.281	0.0	1.624	11.693	1.194
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	13	0.0	1.925	10.057	1.346	0.0	1.231	11.815	1.208
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	14	0.0	1.532	12.336	1.585	0.0	0.995	14.102	1.439
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	15	0.0	1.336	12.867	1.716	0.0	1.113	14.494	1.584
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	16	0.0	1.362	14.012	1.921	0.0	1.074	15.087	1.718
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	17	0.0	1.401	15.008	2.116	0.0	0.917	15.573	1.882
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	18	0.0	1.833	15.334	2.274	0.0	1.021	15.747	2.007
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	19	0.0	1.702	15.726	2.494	0.0	1.323	16.126	2.234
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	20	0.0	1.938	16.605	2.747	0.0	1.31	17.09	2.468
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	21	0.0	1.991	16.715	2.858	0.0	1.179	17.281	2.571
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	22	0.0	1.833	16.571	2.911	0.0	1.323	17.098	2.604
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	23	0.0	1.912	16.582	2.992	0.0	1.074	17.259	2.673
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	24	0.013	1.977	17.242	3.161	0.0	1.349	18.027	2.905
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	25	0.013	2.2	17.236	3.219	0.0	1.401	18.108	2.97
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	26	0.0	2.004	17.188	3.328	0.0	1.27	18.213	3.125
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	27	0.0	2.056	17.294	3.377	0.0	1.427	18.385	3.205
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	28	0.0	1.611	17.012	3.42	0.0	1.244	17.745	3.17
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	29	0.0	1.598	17.604	3.656	0.0	1.257	18.455	3.421
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	30	0.0	1.506	18.516	3.939	0.0	0.995	19.419	3.79
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	31	0.0	1.729	19.423	4.244	0.0	1.074	20.242	4.043
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	32	0.026	2.004	19.848	4.465	0.0	1.506	20.514	4.221
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	33	0.0	1.925	20.326	4.748	0.0	1.27	20.838	4.425
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	34	0.0	2.239	20.816	4.959	0.0	1.427	21.142	4.585
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	35	0.0	2.279	21.348	5.129	0.0	1.493	21.607	4.73
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	36	0.0	2.344	21.797	5.312	0.0	1.598	22.001	4.877
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	37	0.0	2.213	22.05	5.386	0.0	1.781	22.235	5.033
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	38	0.0	2.423	21.807	5.422	0.0	1.781	22.078	5.046
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	39	0.0	2.658	21.017	5.245	0.0	1.833	21.416	4.92
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	40	0.0	2.763	20.31	5.076	0.0	2.017	20.545	4.745
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	41	0.0	2.672	20.261	5.162	0.0	1.82	20.507	4.845
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	42	0.0	2.685	20.73	5.426	0.0	1.991	20.969	5.111
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	43	0.0	3.169	21.405	5.735	0.0	1.847	21.509	5.318
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	44	0.0	3.248	22.044	6.005	0.0	2.108	22.083	5.556
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	45	0.0	3.392	22.593	6.241	0.0	2.187	22.49	5.814
convit_base	configs_unified_lr/convit_base/config_convit_base_MagFace_AdamW_0.001_cosine.yaml	222	46	0.0	3.366	22.871	6.397	0.0	2.567	22.746	5.962
