ids,epoch_0,epoch_1,epoch_2
0,79,141,231
1,156,273,366
2,281,305,363
3,369,369,368
4,46,391,391
5,826,77,114
6,560,214,859
7,521,392,162
8,83,135,106
9,858,260,163
10,70,144,290
11,168,3,349
12,75,286,106
13,793,282,151
14,370,575,58
15,818,496,290
16,247,369,360
17,36,148,130
18,172,126,260
19,456,866,287
20,447,683,77
21,480,73,77
22,323,323,60
23,601,326,173
24,423,696,113
25,535,119,430
26,68,419,317
27,306,306,306
28,650,680,93
29,222,150,150
30,418,418,112
31,246,246,246
32,461,45,189
33,565,45,214
34,42,122,316
35,142,41,214
36,562,238,237
37,546,246,238
38,706,359,238
39,387,137,407
40,512,88,53
41,824,382,297
42,824,430,155
43,49,49,49
44,218,366,122
45,720,240,231
46,268,240,132
47,369,64,37
48,62,40,62
49,624,109,113
50,36,36,51
51,108,119,472
52,581,210,10
53,279,279,332
54,47,59,319
55,415,146,295
56,106,132,85
57,125,57,137
58,706,185,281
59,192,15,64
60,259,312,302
61,205,371,85
62,703,791,415
63,161,810,354
64,619,390,357
65,367,383,354
66,97,87,50
67,79,79,338
68,280,443,351
69,203,377,297
70,351,840,25
71,127,279,377
72,769,762,416
73,502,551,209
74,178,12,154
75,423,79,143
76,55,316,188
77,359,359,359
78,135,135,349
79,644,58,368
80,506,282,67
81,238,4,4
82,244,102,88
83,369,4,4
84,3,322,0
85,190,269,202
86,871,620,283
87,351,348,400
88,826,261,261
89,68,266,138
90,251,7,64
91,37,314,134
92,91,138,138
93,871,309,217
94,344,237,420
95,292,237,260
96,770,791,212
97,505,103,137
98,564,405,154
99,91,247,279
100,101,233,295
101,697,689,393
102,72,161,335
103,137,264,264
104,576,406,319
105,167,70,181
106,221,412,247
107,689,1,5
108,763,865,779
109,297,292,406
110,363,220,309
111,769,404,404
112,650,63,325
113,298,513,298
114,770,359,266
115,122,176,64
116,206,531,718
117,31,75,647
118,465,35,412
119,344,256,647
120,205,156,367
121,14,40,295
122,713,370,205
123,319,282,135
124,83,19,160
125,160,781,220
126,336,371,22
127,371,296,19
128,741,266,22
129,661,375,139
130,77,22,22
131,585,163,150
132,225,260,192
133,433,321,62
134,15,47,101
135,442,862,221
136,303,127,208
137,842,156,57
138,63,64,40
139,411,45,323
140,350,36,233
141,754,666,314
142,183,677,175
143,138,241,20
144,258,122,371
145,613,79,83
146,299,384,71
147,41,390,220
148,48,48,67
149,502,379,871
150,205,147,226
151,411,65,317
152,509,101,140
153,193,293,250
154,107,868,279
155,316,161,314
156,368,566,271
157,367,367,163
158,493,161,291
159,714,817,393
160,586,418,12
161,562,250,84
162,161,221,197
163,539,503,74
164,204,204,429
165,410,270,55
166,192,305,421
167,801,216,252
168,798,152,310
169,326,326,326
170,146,12,752
171,11,126,634
172,49,275,363
173,423,5,423
174,3,847,422
175,584,729,593
176,355,358,11
177,461,461,584
178,101,101,101
179,101,101,101
180,840,314,300
181,189,189,315
182,432,168,37
183,44,88,293
184,391,47,167
185,76,161,45
186,421,316,283
187,324,210,369
188,702,579,360
189,266,368,188
190,375,368,368
191,782,196,250
192,555,17,424
193,223,82,82
194,424,152,407
195,735,366,361
196,205,581,160
197,94,35,357
198,192,359,94
199,258,258,258
200,323,230,57
201,476,707,313
202,125,68,430
203,404,182,329
204,88,197,89
205,573,497,317
206,9,0,328
207,295,300,437
208,404,396,262
209,436,70,43
210,535,46,294
211,159,159,159
212,344,309,229
213,252,252,380
214,830,159,85
215,286,335,138
216,112,339,144
217,416,183,72
218,459,156,48
219,57,387,41
220,422,422,422
221,160,351,71
222,361,10,273
223,137,125,24
224,584,428,389
225,334,334,334
226,6,88,404
227,350,128,128
228,220,220,220
229,363,66,468
230,363,50,17
231,16,319,216
232,607,594,216
233,456,389,395
234,47,12,76
235,9,12,277
236,196,709,195
237,577,91,41
238,221,334,182
239,145,152,58
240,246,418,385
241,819,234,98
242,279,250,406
243,266,266,296
244,113,331,282
245,25,67,67
246,781,781,571
247,159,468,793
248,682,159,761
249,169,193,62
250,273,75,230
251,205,405,406
252,292,99,377
253,166,338,98
254,666,576,107
255,87,278,296
256,241,205,199
257,81,380,582
258,213,140,226
259,7,205,354
260,626,479,271
261,43,43,290
262,380,217,210
263,37,37,37
264,128,128,128
265,128,128,342
266,128,128,128
267,309,34,309
268,74,368,141
269,600,407,382
270,359,32,338
271,694,410,213
272,221,414,391
273,89,795,375
274,760,176,200
275,392,392,166
276,131,131,131
277,41,187,320
278,515,143,348
279,584,212,96
280,96,21,96
281,96,442,96
282,102,116,161
283,435,130,292
284,180,354,384
285,553,156,280
286,467,873,364
287,351,840,351
288,208,710,677
289,405,76,430
290,763,48,282
291,71,77,387
292,558,699,701
293,95,95,95
294,412,317,416
295,780,45,323
296,45,458,262
297,378,393,43
298,305,355,247
299,684,82,555
300,609,398,261
301,368,32,165
302,380,421,383
303,390,333,34
304,373,70,107
305,401,761,263
306,861,724,18
307,736,474,237
308,124,667,546
309,217,179,275
310,264,423,97
311,151,287,46
312,861,415,84
313,8,51,161
314,40,406,84
315,338,338,338
316,338,737,338
317,801,506,72
318,182,298,298
319,84,372,215
320,108,404,57
321,871,87,87
322,795,782,389
323,228,228,228
324,327,45,76
325,154,129,45
326,400,678,330
327,406,40,15
328,273,273,137
329,286,267,7
330,855,65,61
331,300,763,418
332,181,812,261
333,361,74,334
334,151,48,74
335,814,151,324
336,358,82,74
337,73,401,401
338,302,324,244
339,854,398,12
340,182,53,102
341,214,436,436
342,231,258,43
343,422,269,86
344,622,37,70
345,298,535,404
346,752,696,108
347,430,268,117
348,75,649,175
349,775,127,10
350,341,225,519
351,84,404,268
352,757,234,295
353,307,42,102
354,325,298,298
355,279,603,188
356,125,467,57
357,235,235,365
358,356,73,129
359,208,817,751
360,172,159,260
361,69,138,120
362,91,155,436
363,630,424,423
364,785,571,683
365,384,423,423
366,345,1,76
367,47,247,241
368,854,391,138
369,68,178,698
370,267,318,677
371,82,137,407
372,270,138,122
373,733,144,331
374,326,358,63
375,203,316,203
376,650,274,197
377,253,264,253
378,99,181,418
379,97,647,668
380,319,38,394
381,446,289,385
382,671,512,321
383,321,321,321
384,704,608,228
385,59,63,257
386,320,761,187
387,811,410,344
388,844,175,292
389,105,694,247
390,3,22,95
391,271,240,70
392,247,160,367
393,578,336,25
