ids,epoch_0,epoch_1,epoch_2
0,4118,598,2373
1,4118,3942,2373
2,4118,598,2843
3,5751,598,1432
4,5267,598,1315
5,5646,4932,814
6,5646,3919,5990
7,5646,2026,3470
8,4118,2554,1629
9,5646,5826,2088
10,5646,1222,2088
11,5646,5826,2088
12,3055,1350,2373
13,4118,1895,2373
14,2038,598,1629
15,5646,5826,1290
16,5646,5771,2943
17,5646,4835,2943
18,6091,5993,1315
19,5646,6013,1290
20,4118,598,202
21,4118,598,598
22,3055,1895,2373
23,3055,3942,2373
24,3995,3919,2373
25,5646,3919,393
26,5646,3919,2373
27,5267,5353,2088
28,3055,5826,2373
29,5646,5826,202
30,5646,3919,814
31,5646,3919,305
32,5646,3919,814
33,5646,3919,1290
34,2038,5826,2373
35,4118,4313,2912
36,5646,1717,2088
37,5646,109,2088
38,5646,109,2088
39,4118,3942,2373
40,5646,4932,1820
41,6993,1458,6373
42,5646,3919,393
43,2038,3942,2373
44,3055,1350,2373
45,3055,3942,1629
46,3055,3942,1629
47,5646,3942,202
48,5646,3919,814
49,5751,1350,393
50,5646,1717,2088
51,3055,1350,1315
52,4118,965,1372
53,5646,1717,814
54,5646,5826,393
55,5646,5826,393
56,5646,5826,202
57,3055,1895,2373
58,4118,3942,1629
59,5646,3942,3328
60,5646,5511,474
61,5646,3919,1629
62,5646,5511,2088
63,5646,1222,2088
64,4118,598,2843
65,5267,5971,3470
66,4118,1458,2912
67,4118,1458,2534
68,4118,1458,2912
69,4118,4313,6373
70,4118,965,1432
71,4118,5636,6373
72,5646,5511,474
73,5646,3919,4103
74,5646,3919,4103
75,4118,598,2534
76,3055,5826,393
77,5267,598,3470
78,2038,3942,1315
79,3055,3942,3328
80,3055,3919,1432
81,5646,3919,393
82,3408,1350,393
83,5646,3919,393
84,6091,5826,202
85,4118,598,1315
86,2038,5826,202
87,4118,1458,1432
88,5646,1163,2088
89,5646,5826,2088
90,2038,598,1290
91,5751,2026,2088
92,5646,109,2088
93,5646,3942,2088
94,3055,3942,2373
95,5646,1717,1820
96,5646,3919,4103
97,4118,1458,2912
98,5646,3919,2373
99,5646,5771,2088
100,5646,1163,814
101,5646,4025,814
102,5646,5826,202
103,4118,1458,6373
104,5646,5826,393
105,6091,1222,1315
106,6091,598,2176
107,5646,3919,474
108,4118,1458,5382
109,4118,1458,6459
110,6993,1222,1629
111,3408,3919,2373
112,5646,5826,2373
113,44,1350,2373
114,5646,4025,2088
115,5646,1717,1290
116,5646,4025,6263
117,3055,1350,1290
118,5646,3919,1290
119,5646,3919,393
120,5267,5971,1820
121,5646,5826,202
122,5267,2026,1290
123,5646,3919,1629
124,5751,1222,285
125,6993,1222,2176
126,6091,5826,202
127,6993,598,1629
128,6091,5826,202
129,5646,1163,2088
130,5267,1222,1290
131,5646,2026,202
132,6993,598,1629
133,5646,3919,474
134,5646,3919,2088
135,5646,3919,1990
136,4118,1895,2373
137,4118,965,2373
138,5646,3919,814
139,3408,3919,1990
140,5646,3919,4103
141,5646,3377,393
142,5646,3919,393
143,5646,109,2088
144,4118,3942,1629
145,4118,1458,2176
146,4118,598,598
147,6993,1222,2534
148,4118,1458,6373
149,5646,5636,5927
150,5646,5511,2088
151,3408,3919,4103
152,5646,3919,305
153,5646,3919,2273
154,5646,5771,2088
155,5646,5826,2088
156,5751,2554,2088
157,5646,1163,2088
158,5646,3919,393
159,5646,5993,2310
160,5646,1717,2088
161,5646,5511,4103
162,5646,3919,2373
163,5646,3919,2373
164,5646,3919,1990
165,5646,3942,3328
166,6091,598,202
167,4118,1222,1629
168,4118,4313,2912
169,3055,3942,1629
170,5646,3919,1432
171,5267,1222,1820
172,6091,598,1315
173,4118,598,2176
174,5646,4833,2088
175,4118,1458,1432
176,3055,598,1315
177,5646,4025,5990
178,5646,3919,814
179,5646,3919,814
180,5646,5826,2943
181,5646,6526,1290
182,5646,5826,393
183,5646,3919,4103
184,5646,5511,2088
185,5646,3919,4103
186,5646,1350,3516
187,4118,965,1432
188,5646,4932,393
189,5646,3942,202
190,5751,3942,1629
191,5646,5826,2088
192,6993,1222,2534
193,3055,3942,202
194,4118,598,1502
195,5646,5826,202
196,5646,5971,285
197,3055,5826,202
198,4118,598,1629
199,4118,598,1629
200,3055,1895,2373
201,5646,4932,393
202,3408,3919,1432
203,5646,3919,4103
204,5646,3919,305
205,5646,5511,4103
206,5646,3919,4103
207,5646,4932,2088
208,3408,3919,4103
209,5267,1222,2088
210,4118,1458,105
211,5267,1222,1315
212,2038,3942,1315
213,6091,5993,1820
214,6993,1222,1315
215,5646,2026,2088
216,5646,3919,393
217,5646,3919,285
218,3055,5826,2373
219,4118,598,2534
220,6993,1222,2534
221,4118,1458,2534
222,4118,1458,6373
223,4118,965,1432
224,4118,965,2373
225,44,3919,2373
226,5646,3919,2373
227,3055,1350,2373
228,4118,598,2534
229,5267,1222,4811
230,6993,1222,2534
231,5646,5971,1290
232,5646,2032,1290
233,5267,2882,202
234,5646,5511,4103
235,5646,3919,4103
236,5646,5511,4103
237,5646,5826,3470
238,5646,3919,393
239,5267,598,285
240,5646,3919,305
241,5646,4025,814
242,5646,5511,474
243,3055,3942,3328
244,5646,3919,393
245,4118,1458,6373
246,6993,2032,5187
247,5267,1222,1739
248,5267,1222,4811
249,5646,3919,814
250,4118,4313,6373
251,5646,3919,1290
252,4118,1458,2912
253,5646,3919,814
254,5646,3377,393
255,4118,1458,6373
256,5646,3919,393
257,6091,598,4811
258,5646,5511,2088
259,5646,3919,1432
260,5646,4025,1290
261,5646,109,2088
262,5646,1717,1315
263,5646,5826,393
264,5646,1350,2373
265,2605,1350,2373
266,44,1350,2373
267,3055,598,1629
268,3055,5826,202
269,6993,598,2534
270,5267,5971,1315
271,5646,1717,2088
272,5646,3919,2088
273,5646,2554,1290
274,5646,3919,393
275,5646,5511,1290
276,6993,598,1629
277,6993,1222,2534
278,4118,598,1629
279,5646,3919,4103
280,5646,3919,4103
281,5646,4025,4103
282,5646,5826,393
283,3055,2554,1290
284,5751,3942,2373
285,4118,1458,6459
286,4118,1458,2912
287,4118,1458,5461
288,4118,3942,1432
289,3995,1895,2373
290,6091,598,598
291,4118,1458,2534
292,4118,1458,6373
293,4118,2032,105
294,5646,3919,474
295,5646,3919,305
296,5646,5511,2088
297,5646,5993,1315
298,6993,598,1315
299,4118,3942,1315
300,6091,5771,1315
301,6091,598,1315
302,6091,598,3470
303,6993,1222,1315
304,6091,1222,202
305,6993,1222,1315
306,5646,5511,2088
307,5646,503,2088
308,5646,1717,1820
309,4118,1458,1315
310,4118,1458,6373
311,4118,598,1315
312,5646,5511,305
313,5646,3919,4103
314,5646,5511,474
315,5646,4025,5990
316,5646,4932,3508
317,4118,598,2912
318,5646,1350,2373
319,3408,1350,2373
320,5646,3919,2373
321,2038,4313,2912
322,4118,1458,2912
323,4118,1458,696
324,5646,3919,4103
325,5646,3919,4103
326,5646,3919,4103
327,5646,1717,2088
328,4118,4313,2373
329,2038,1350,1315
330,5646,4932,814
331,5646,4932,474
332,5646,4932,474
333,3055,3942,2373
334,3055,3942,2373
335,4118,1895,2373
336,3055,3942,2373
337,3055,3942,2373
338,2605,3942,2373
339,5646,1717,2088
340,5646,5511,393
341,5646,5826,1290
342,3055,3942,1629
343,5646,109,2088
344,5646,109,2088
345,5646,3919,2373
346,3995,3919,2373
347,3995,1350,2373
348,5646,3919,4103
349,4118,965,6373
350,2038,1350,3846
351,3408,3919,2373
352,5646,5826,393
353,5646,3377,393
354,3995,1350,2373
355,5646,5826,393
356,4118,1458,2373
357,5646,3919,1290
358,3995,3919,4103
359,4118,2882,1432
360,6091,1222,1315
361,5646,1717,2088
362,5646,2026,2088
363,4118,598,2176
364,5646,4932,6263
365,4118,598,2176
366,5646,3919,4103
367,5646,1717,2088
368,5646,1717,2088
369,5646,3919,4103
370,2605,1350,1939
371,3055,1895,2373
372,5646,2026,3470
373,5646,5826,202
374,3055,3942,285
375,4118,4313,2912
376,3055,1895,2912
377,6993,1458,1315
378,5646,3919,2088
379,4118,598,6956
380,5646,2026,2088
381,5646,6526,474
382,5646,4025,1990
383,5646,4932,305
384,4118,2032,2912
385,4118,3942,285
386,6993,1222,1315
387,5646,1717,2088
388,5646,4932,1820
389,5646,4025,1820
390,5646,2026,202
391,5267,1222,1315
392,5646,1163,2088
393,4118,4313,1432
394,5646,5826,285
395,4118,598,2534
396,6091,5826,2373
397,4118,4313,1432
398,5646,3942,3328
399,4118,598,1629
400,6091,5826,202
401,5646,4932,1315
402,4118,1458,6373
403,5646,3919,1290
404,5646,5971,2310
405,5646,3919,393
406,5646,3919,393
407,3408,3919,4103
408,4118,3942,2373
409,4118,598,2373
410,4118,965,6373
411,6993,1222,1315
412,5751,5826,202
413,6993,1222,2534
414,4118,965,1432
415,4118,965,6373
416,5646,3919,393
417,6993,3942,1315
418,5267,1222,202
419,4118,3942,1629
420,5646,5511,2088
421,5646,5511,4103
422,5646,2026,2088
423,5646,3919,2088
424,2038,598,1315
425,5267,1222,3470
426,5646,5826,202
427,5267,5971,202
428,5646,3919,393
429,4118,598,1629
430,6993,598,1629
431,5646,5826,202
432,5267,1222,3470
433,5267,598,1290
434,5646,2026,1290
435,5646,1163,2088
436,6091,2032,2912
437,5646,7005,6263
438,4118,1458,2912
439,5646,3919,2912
440,4118,1458,6459
441,4118,1458,2534
442,6993,1222,2534
443,5267,1222,3470
444,5646,2026,2088
445,5646,5771,2088
446,5646,3919,4103
447,6993,1222,202
448,5646,2026,3470
449,6993,598,202
450,5646,3919,2273
451,5646,3919,474
452,3055,3942,2373
453,4118,598,2176
454,4118,1458,2912
455,4118,1458,4684
456,5751,3942,3108
457,5646,3919,1290
458,5751,598,1315
459,2605,3942,1432
460,2605,1895,2373
461,3055,1895,2373
462,5646,3919,4103
463,5646,5511,4103
464,5646,4025,4103
465,5646,2026,285
466,6993,1222,202
467,5646,3377,393
468,5646,5511,393
469,5646,4932,393
470,5646,5511,1290
471,5267,1222,1315
472,4118,965,1432
473,4118,598,1315
474,4118,598,6373
475,6993,1222,1315
476,6993,1222,1315
477,5646,1163,3470
478,6993,1222,1629
