Model	config_file	seed	epoch
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	0
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	1
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	2
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	3
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	4
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	5
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	6
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	7
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	8
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	9
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	10
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	11
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	12
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	13
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_SGD_0.1_cosine.yaml	222	14
