ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21
0,402,59,188,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
1,143,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
2,198,123,143,59,59,59,87,423,59,59,59,59,59,59,59,59,59,59,59,59,59,59
3,254,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
4,197,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
5,418,250,362,112,233,339,339,61,99,206,339,213,140,99,99,99,140,99,140,362,99,99
6,133,0,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
7,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
8,338,647,67,162,162,162,162,162,162,293,154,162,162,162,162,162,814,162,162,373,162,162
9,144,394,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
10,243,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
11,144,144,163,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
12,425,72,48,72,174,358,2,143,358,428,296,225,59,143,54,54,421,421,2,435,421,225
13,137,67,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,59,137,137,137
14,394,283,350,145,143,225,143,225,428,423,423,421,435,390,54,54,143,54,54,143,54,54
15,14,300,300,300,3,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
16,45,246,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
17,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
18,126,126,338,338,338,338,338,337,337,337,337,337,107,338,107,337,337,337,337,382,337,337
19,319,333,398,333,333,333,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
20,798,83,50,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
21,46,324,357,152,324,223,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324
22,648,324,435,324,137,137,137,282,405,282,324,405,405,324,324,324,324,405,282,282,282,410
