Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	0	0.0	10.045	14.606	5.289	0.0	8.499	14.614	4.713
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	1	0.0	32.281	15.459	9.785	0.0	22.734	16.11	8.613
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	2	0.0	42.352	15.09	10.97	0.0	30.749	16.518	10.349
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	3	0.0	49.319	15.136	11.655	0.0	36.76	16.137	10.792
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	4	0.0	53.366	15.553	12.404	0.0	41.278	15.614	11.037
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	5	0.0	61.066	14.735	12.99	0.0	49.804	15.617	12.203
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	6	0.0	64.301	14.509	13.346	0.0	52.632	15.48	12.468
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	7	0.013	68.439	13.868	13.244	0.0	55.317	15.33	12.676
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	8	0.0	70.024	14.028	13.705	0.0	57.19	15.119	12.718
ig_resnext101_32x8d	configs_multi/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW.yaml	222	9	0.013	71.045	13.819	13.682	0.0	58.905	15.134	13.065
