ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38
0,1524,1311,2525,1380,770,351,3119,2772,3119,3297,1478,770,1061,3119,1789,351,3518,2507,3518,1380,2820,3220,351,3348,1307,2793,3380,1755,71,1442,2008,1789,3380,638,2970,3018,604,2514,23
1,1524,909,2525,2142,1443,3156,3119,2772,3213,3403,1478,770,1061,3119,1644,351,3518,2507,3518,124,352,3220,2559,3348,1755,2793,3380,1755,71,1442,2008,1789,2559,638,2832,3518,604,2832,1789
2,310,2473,3297,1093,2642,3525,3413,2401,3213,3297,1380,3392,3525,2401,1789,2764,3518,2507,2401,725,352,3220,2559,3348,1755,2217,3380,1755,71,167,2008,1789,3380,725,2832,3018,2114,167,23
3,2843,2009,3069,355,825,1981,758,826,1624,2876,685,825,839,758,1948,2432,1243,2001,24,2952,355,496,609,2356,2788,3269,2218,1665,3117,1509,3200,2432,1984,355,355,836,897,3117,355
4,3420,2551,3069,355,608,1981,758,826,1555,2876,1023,825,839,2145,1948,2432,3117,2876,1731,3311,355,3311,2829,2356,1611,3269,2218,1665,3117,2652,3200,2432,1984,1208,355,2728,897,3117,115
5,1185,758,2489,3140,825,839,758,826,1624,2876,3140,2432,2540,1103,1948,1718,1243,3251,2710,2952,633,3311,1716,3072,3187,3269,2240,1665,685,2551,3200,2432,2937,1010,1136,836,1136,3117,1103
6,1185,3221,2876,2137,298,1288,1472,1524,3401,1970,2096,3495,98,1472,3314,7019,147,143,2025,1472,2448,2146,369,1524,2096,2025,278,3034,1492,1524,278,903,1798,2865,1798,2146,1524,866,2865
7,700,2473,2154,1235,3495,2406,1472,1524,952,974,2448,690,332,1472,3314,7019,2773,143,690,1472,2448,2146,369,1524,2096,2025,278,3034,1492,1524,713,903,2121,2121,1798,2146,5,866,632
8,3400,1608,2882,1959,690,1254,1472,1524,2274,1970,2025,825,866,1472,3314,7019,2773,719,2025,1632,2448,2146,369,1524,2096,2025,278,7019,1492,1881,821,2744,2121,2121,1798,2146,1524,866,1500
9,553,649,235,1479,799,1385,1675,553,2680,1433,2860,2518,3132,3254,224,5052,444,3132,2561,2845,633,588,2206,211,945,442,196,966,1433,2586,211,444,2080,879,778,423,3448,2531,1758
10,700,2473,2561,728,799,1302,1473,553,3008,1433,2910,1473,1302,2586,224,5052,966,3132,2561,1389,953,1889,6,588,945,442,196,1456,1433,2586,211,2428,1244,780,2561,1966,3448,2561,1456
11,3661,2473,235,728,2740,1302,1473,1966,2403,1433,2910,1473,2638,2716,224,126,3379,3132,2561,1389,633,1966,6,1857,945,442,196,1456,1433,389,211,2428,1244,1044,1807,3406,1807,3287,1456
12,6153,2473,3297,635,1443,1841,1651,1833,3213,3297,1380,1443,3525,2793,1644,351,3138,2507,1149,146,1638,3220,351,3348,3332,2793,2514,2142,71,1036,3418,2507,3380,2793,1024,3018,3202,1036,65
13,1524,2473,79,642,1114,937,409,801,3213,2970,1380,1114,1841,3119,1644,351,1135,2507,2567,3061,2820,1406,351,1796,1055,1170,221,13,2820,801,518,2507,1419,725,2970,3018,296,1036,23
14,598,2473,3297,3304,2543,3156,2570,1833,3213,3297,1380,2614,1841,2793,3018,351,1135,2507,2401,2765,1751,3220,351,3348,1905,1170,1752,1759,2469,420,3059,2507,566,1759,2970,3018,2453,1380,23
