Model	config_file	seed	epoch
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	0
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	1
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	2
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	3
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	4
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	5
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	6
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	7
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	8
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	9
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	10
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	11
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	12
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	13
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	14
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	15
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	16
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	17
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	18
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	19
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	20
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	21
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	22
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	23
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	24
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	25
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	26
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	27
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	28
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	29
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	30
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	31
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	32
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	33
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	34
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	35
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	36
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	37
resnet50	configs_unified_lr/resnet50/config_resnet50_MagFace_SGD_0.1_cosine.yaml	222	38
