Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	0	0.0	14.261	25.569	12.008	0.0	11.066	26.008	10.954
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	1	0.0	39.235	12.86	8.763	0.0	28.313	11.836	6.925
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	2	0.0	39.471	8.341	5.723	0.0	26.794	8.983	5.29
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	3	0.0	47.407	8.399	6.356	0.0	33.211	9.315	6.124
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	4	0.0	49.869	8.411	6.819	0.0	36.747	9.683	6.772
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	5	0.0	56.862	8.3	7.211	0.0	41.867	9.555	7.12
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	6	0.0	58.8	8.435	7.508	0.0	44.618	9.438	7.373
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	7	0.0	61.551	8.636	8.0	0.0	47.826	9.669	7.785
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	8	0.0	65.06	8.533	8.222	0.0	53.261	9.346	7.953
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	9	0.0	67.797	8.673	8.738	0.0	53.732	9.905	8.448
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	10	0.0	69.12	8.278	8.388	0.0	57.478	9.473	8.468
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	11	0.0	71.792	8.748	9.109	0.0	60.437	9.985	9.075
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	12	0.0	72.027	8.861	9.333	0.0	61.551	9.967	9.223
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	13	0.0	74.096	8.797	9.423	0.0	64.432	9.774	9.278
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	14	0.0	74.489	8.996	9.812	0.0	65.008	9.626	9.412
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	15	0.0	75.616	8.832	9.714	0.0	67.3	9.892	9.735
hrnet_w64	configs_multi/hrnet_w64/config_hrnet_w64_MagFace_SGD.yaml	222	16	0.0	76.702	8.848	9.948	0.0	67.771	9.972	9.959
