Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	0	0.0	5.016	23.323	3.951	0.0	5.278	19.653	3.44
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	1	0.0	4.924	16.233	2.638	0.0	5.291	13.47	2.276
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	2	0.0	4.924	9.66	1.541	0.0	5.029	7.943	1.328
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	3	0.0	4.832	5.856	0.939	0.0	5.055	4.809	0.809
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	4	0.0	4.806	3.881	0.625	0.0	5.029	3.193	0.539
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	5	0.0	4.767	2.849	0.457	0.0	5.042	2.351	0.395
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	6	0.0	4.636	2.292	0.361	0.0	4.976	1.897	0.314
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	7	0.0	4.623	1.982	0.305	0.0	4.911	1.643	0.266
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	8	0.0	4.505	1.808	0.269	0.0	4.885	1.501	0.235
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	9	0.0	4.518	1.715	0.247	0.0	4.819	1.424	0.216
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	10	0.0	4.531	1.667	0.232	0.0	4.728	1.384	0.203
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	11	0.0	4.4	1.651	0.221	0.0	4.662	1.371	0.194
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	12	0.0	4.322	1.665	0.215	0.0	4.597	1.382	0.188
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	13	0.0	4.191	1.698	0.211	0.0	4.505	1.41	0.185
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	14	0.0	4.125	1.743	0.208	0.0	4.479	1.447	0.183
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	15	0.0	4.073	1.799	0.207	0.0	4.374	1.494	0.182
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	16	0.0	4.047	1.87	0.207	0.0	4.295	1.553	0.183
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	17	0.0	4.02	1.957	0.208	0.0	4.243	1.626	0.184
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	18	0.0	4.02	2.053	0.21	0.0	4.191	1.707	0.186
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	19	0.0	3.994	2.161	0.213	0.0	4.073	1.796	0.189
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	20	0.0	4.02	2.272	0.216	0.0	4.034	1.889	0.193
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	21	0.0	3.916	2.399	0.221	0.0	3.942	1.996	0.197
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	22	0.0	3.876	2.539	0.226	0.0	3.903	2.113	0.201
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	23	0.0	3.889	2.681	0.231	0.0	3.85	2.232	0.206
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	24	0.0	3.798	2.834	0.237	0.0	3.824	2.36	0.212
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	25	0.0	3.719	2.989	0.243	0.0	3.811	2.491	0.217
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	26	0.0	3.614	3.151	0.25	0.0	3.772	2.627	0.223
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	27	0.0	3.497	3.321	0.257	0.0	3.745	2.771	0.23
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	28	0.0	3.483	3.488	0.264	0.0	3.719	2.914	0.236
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	29	0.0	3.457	3.657	0.272	0.0	3.601	3.058	0.243
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	30	0.0	3.444	3.83	0.279	0.0	3.549	3.206	0.25
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	31	0.0	3.392	4.011	0.287	0.0	3.575	3.363	0.258
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	32	0.0	3.353	4.193	0.295	0.0	3.523	3.522	0.266
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	33	0.0	3.379	4.375	0.303	0.0	3.549	3.682	0.274
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	34	0.0	3.353	4.557	0.312	0.0	3.536	3.843	0.283
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	35	0.0	3.366	4.742	0.321	0.0	3.562	4.009	0.292
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	36	0.0	3.366	4.931	0.331	0.0	3.549	4.181	0.303
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	37	0.0	3.326	5.106	0.339	0.0	3.497	4.343	0.313
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	38	0.0	3.287	5.294	0.349	0.0	3.444	4.52	0.324
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	39	0.0	3.287	5.48	0.358	0.0	3.418	4.695	0.336
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	40	0.0	3.287	5.655	0.368	0.0	3.405	4.866	0.348
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	41	0.0	3.274	5.835	0.379	0.0	3.392	5.042	0.36
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	42	0.0	3.208	6.012	0.39	0.0	3.366	5.22	0.373
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	43	0.0	3.274	6.196	0.402	0.0	3.392	5.406	0.386
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	44	0.0	3.261	6.378	0.412	0.0	3.366	5.593	0.4
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	45	0.0	3.261	6.531	0.421	0.0	3.431	5.754	0.413
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	46	0.0	3.222	6.677	0.43	0.0	3.392	5.911	0.425
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	47	0.0	3.169	6.842	0.439	0.0	3.379	6.086	0.437
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	48	0.0	3.169	6.995	0.447	0.0	3.444	6.249	0.45
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	49	0.0	3.182	7.122	0.454	0.0	3.47	6.388	0.46
swin_base_patch4_window7_224	configs_multi/swin_base_patch4_window7_224/config_swin_base_patch4_window7_224_CosFace_SGD.yaml	222	50	0.0	3.143	7.264	0.461	0.0	3.497	6.54	0.471
