Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	0	0.0	0.327	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	1	0.0	0.327	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	2	0.0	0.262	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	3	0.0	0.327	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	4	0.0	0.34	nan	0.0	0.301	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	5	0.0	0.144	nan	0.0	0.301	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	6	0.0	0.327	nan	0.0	0.301	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	7	0.0	0.249	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	8	0.0	0.314	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	9	0.0	0.393	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	10	0.0	1.585	nan	0.001	0.0	0.052	nan	0.0
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	11	0.0	18.779	nan	0.014	0.0	3.235	nan	0.011
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	12	0.0	18.112	0.685	0.06	0.0	14.157	0.684	0.052
tf_efficientnet_b7_ns	configs_multi/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_MagFace_AdamW.yaml	222	13	0.0	4.4	1.211	0.138	0.0	3.483	1.284	0.12
