Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	0	0.0	13.109	35.105	13.395	0.0	10.621	32.347	11.764
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	1	0.0	10.856	29.673	9.905	0.0	9.193	27.314	8.705
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	2	0.0	9.023	29.385	9.013	0.0	7.622	27.201	7.909
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	3	0.0	8.29	34.181	10.914	0.0	7.255	32.434	9.796
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	4	0.0	8.984	36.501	14.128	0.0	8.159	35.62	13.014
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	5	0.0	11.38	23.029	9.402	0.0	10.333	22.635	8.744
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	6	0.0	9.442	7.103	2.471	0.0	8.722	7.027	2.369
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	7	0.0	9.193	8.541	3.131	0.0	9.167	8.531	2.975
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	8	0.0	8.944	8.541	3.091	0.0	7.871	8.603	2.931
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	9	0.0	8.814	8.239	3.003	0.0	8.421	8.268	2.853
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	10	0.0	8.827	8.735	3.151	0.0	7.936	8.498	2.933
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	11	0.0	8.892	8.43	3.009	0.0	8.093	8.29	2.815
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	12	0.0	9.062	8.747	3.21	0.0	8.277	8.568	3.045
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	13	0.0	9.233	10.086	3.734	0.0	8.185	9.831	3.526
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	14	0.0	9.573	8.903	3.387	0.0	8.918	8.602	3.136
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	15	0.0	9.914	9.729	3.685	0.0	8.827	9.446	3.441
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	16	0.0	10.058	9.697	3.775	0.0	9.075	9.205	3.463
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	17	0.0	10.11	9.983	3.895	0.0	9.796	9.859	3.701
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	18	0.0	10.673	9.997	3.982	0.0	9.639	9.901	3.831
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	19	0.0	10.516	9.805	3.894	0.0	10.359	9.727	3.716
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	20	0.0	11.341	10.45	4.261	0.0	11.276	10.291	4.058
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	21	0.0	12.664	10.555	4.441	0.0	11.184	10.006	4.016
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	22	0.0	11.799	10.35	4.395	0.0	11.812	9.953	4.024
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	23	0.0	12.127	10.901	4.556	0.0	11.498	10.49	4.184
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	24	0.0	13.161	10.622	4.547	0.0	12.074	10.363	4.179
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	25	0.0	13.646	11.284	4.783	0.0	12.009	10.916	4.464
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	26	0.0	14.039	11.029	4.821	0.0	12.415	10.931	4.529
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	27	0.0	13.947	12.067	5.3	0.0	12.638	11.868	4.879
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	28	0.0	14.523	11.533	5.131	0.0	12.926	11.424	4.803
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	29	0.0	15.296	11.436	5.118	0.0	13.659	11.372	4.751
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	30	0.0	15.217	11.911	5.428	0.0	13.659	11.721	4.965
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	31	0.0	15.715	12.131	5.554	0.0	14.471	11.901	5.025
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	32	0.0	15.348	12.633	5.652	0.0	13.724	12.363	5.238
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	33	0.0	15.702	12.728	5.814	0.0	14.196	12.875	5.549
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	34	0.0	16.226	12.178	5.562	0.0	14.982	11.977	5.179
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	35	0.0	16.409	12.301	5.644	0.0	14.235	12.134	5.231
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	36	0.0	16.147	12.834	5.88	0.0	14.55	12.656	5.47
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	37	0.0	17.051	12.669	5.93	0.0	14.89	12.287	5.402
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	38	0.0	16.763	12.606	5.912	0.0	15.191	12.25	5.42
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	39	0.0	17.287	13.047	6.179	0.0	15.034	12.461	5.508
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	40	0.0	17.863	13.281	6.259	0.0	15.781	13.331	5.977
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	41	0.0	17.679	12.872	6.081	0.0	15.754	12.844	5.715
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	42	0.0	17.837	12.687	6.001	0.0	15.414	12.761	5.68
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	43	0.0	17.863	13.157	6.295	0.0	15.506	12.829	5.692
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	44	0.0	17.837	13.141	6.324	0.0	15.519	13.004	5.818
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	45	0.0	19.081	13.149	6.418	0.0	15.898	13.021	5.901
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	46	0.0	19.303	13.781	6.745	0.0	16.435	13.617	6.194
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	47	0.0	19.801	13.373	6.573	0.0	15.99	13.37	6.055
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	48	0.0	19.421	13.097	6.383	0.0	16.54	13.234	5.969
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	49	0.0	20.01	13.177	6.462	0.0	16.592	13.46	6.076
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	50	0.0	20.325	13.267	6.527	0.0	16.763	13.676	6.253
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	51	0.0	21.137	13.589	6.724	0.0	17.287	13.49	6.215
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	52	0.0	20.626	13.441	6.597	0.0	16.566	13.744	6.343
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	53	0.0	21.333	13.673	6.823	0.0	17.431	13.671	6.295
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	54	0.0	21.451	13.737	6.916	0.026	17.706	13.641	6.348
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	55	0.0	21.464	13.774	6.898	0.0	17.077	13.879	6.481
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	56	0.0	21.359	13.664	6.843	0.0	16.998	13.573	6.312
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	57	0.0	21.425	13.695	6.944	0.0	17.182	13.781	6.414
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	58	0.0	22.197	13.693	6.955	0.0	17.444	14.286	6.726
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	59	0.0	21.922	14.112	7.251	0.0	17.771	14.231	6.717
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	60	0.0	21.883	14.203	7.324	0.0	17.457	14.287	6.754
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	61	0.026	22.617	13.56	7.025	0.0	17.823	13.596	6.403
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	62	0.026	22.905	13.733	7.051	0.0	17.758	13.511	6.348
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	63	0.0	23.153	14.127	7.382	0.0	17.771	14.034	6.653
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	64	0.0	23.062	13.936	7.328	0.0	18.452	13.943	6.644
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	65	0.0	23.625	13.826	7.315	0.0	18.295	13.956	6.679
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	66	0.0	23.389	14.12	7.512	0.0	19.199	13.969	6.732
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	67	0.0	23.599	14.117	7.457	0.0	18.937	14.349	6.897
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_MagFace_SGD.yaml	222	68	0.0	23.481	13.911	7.286	0.0	19.146	14.511	7.012
