Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	0	0.0	1.558	2.514	0.208	0.0	1.558	2.017	0.176
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	1	0.0	2.279	0.652	0.076	0.0	2.816	0.524	0.07
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	2	0.0	1.493	1.217	0.11	0.0	1.454	1.007	0.094
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	3	0.0	0.969	2.278	0.189	0.0	1.375	1.942	0.172
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	4	0.0	1.336	3.174	0.259	0.0	1.441	2.794	0.236
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	5	0.0	1.82	nan	0.004	0.0	0.144	nan	0.002
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	6	0.0	0.707	nan	0.001	0.0	0.026	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	7	0.0	0.498	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	8	0.0	0.537	nan	0.0	0.0	0.013	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	9	0.0	0.354	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	10	0.0	0.38	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	11	0.0	0.485	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	12	0.0	0.55	nan	0.0	0.0	0.013	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	13	0.0	0.485	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	14	0.0	0.419	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	15	0.0	0.419	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	16	0.0	0.419	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	17	0.0	0.406	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	18	0.0	0.249	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	19	0.0	0.432	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	20	0.0	0.393	nan	0.0	0.0	0.0	nan	0.0
vit_large_patch16_224	configs_multi/vit_large_patch16_224/config_vit_large_patch16_224_CosFace_SGD.yaml	222	21	0.0	0.471	nan	0.0	0.0	0.0	nan	0.0
