ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
0,15,1490,3444,6258,2764,4553,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
1,15,660,1401,2970,1990,4553,858,5121,5975,6366,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
2,15,1490,3444,1613,6507,6732,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
3,15,1490,2193,2468,6507,779,858,5121,5975,6366,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,4982
4,15,1490,4347,1613,2910,6242,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
5,15,1490,3444,2468,6507,779,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
6,15,660,3444,2970,1513,6732,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,4982,5028
7,15,660,3444,2468,6507,6732,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,4982
8,15,660,3444,2468,6507,779,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,4982
9,15,1490,3444,4693,3721,4553,858,5121,5975,6366,3667,4178,1798,585,5245,4126,4126,2901,4982,5028,5028
10,15,1490,5895,1613,1990,4553,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
11,15,5993,3408,1613,229,6732,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
12,2009,660,1401,2970,1990,6242,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
13,818,660,3127,2970,1990,779,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
14,3112,660,2618,2970,1990,779,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
15,15,1490,3127,4867,6507,4553,858,5121,5975,1973,3667,6979,1798,585,5245,4126,4126,2901,4982,5028,5028
16,15,660,3444,2468,1683,779,858,5121,5975,6366,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
17,2009,660,1401,4867,1990,4553,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
18,15,660,3127,1639,1990,6242,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
19,15,1490,2193,2468,6507,4553,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
20,15,1490,3127,4867,6751,6732,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
21,15,2704,6470,6683,6751,6732,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
22,15,1490,4347,1049,1990,4553,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,4982
23,15,1490,4347,4332,6751,4553,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
24,2009,660,1401,551,1990,4553,858,5121,5975,6366,3667,6979,6711,585,5245,4126,4126,2901,4982,4982,4982
25,15,2704,3127,1613,1990,6242,858,5121,5975,6366,3667,4178,1798,585,5245,4126,4126,2901,4982,5028,5028
26,2009,1490,1401,4867,1990,4553,858,5121,5975,6366,3667,4178,1798,585,5245,4126,4126,2901,4982,5028,4982
27,15,1490,3444,2468,3234,779,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
28,15,5993,6470,1613,1990,6732,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,4982,5028
29,15,1490,4347,1613,6507,4553,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
30,15,2704,4665,4224,6235,6242,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
31,15,1490,1401,551,1990,6732,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
32,15,2704,3408,2219,3234,6242,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
33,15,1490,4347,3545,1990,4553,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
34,2009,660,3444,4693,1513,4553,858,5121,5975,6366,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
35,15,660,3444,1049,2935,4553,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
36,15,2704,3127,2219,3234,6242,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
37,2009,660,1401,551,1990,4553,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,4982
38,2009,660,1401,551,2215,4553,858,5121,5975,6366,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
39,15,1490,3164,2219,2547,779,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
40,15,2704,4665,3134,6235,6242,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
41,15,2704,6470,2219,3234,6242,858,5121,5975,1973,3667,6979,6711,585,5245,4126,4126,2901,4982,5028,5028
