ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25
0,53,203,53,53,259,53,361,394,394,394,394,53,319,323,500,122,361,138,344,344,233,154,234,320,289,317
1,53,53,102,53,53,79,53,144,53,43,53,7,53,282,466,485,485,671,634,768,192,372,280,280,708,126
2,53,53,53,53,53,53,53,53,139,114,53,114,53,114,53,180,180,495,180,492,177,21,437,541,69,362
3,347,12,12,9,347,305,496,53,305,55,305,305,305,347,305,136,372,78,78,78,470,56,98,224,347,249
4,53,166,347,345,347,347,603,603,603,347,603,533,586,586,586,533,549,549,726,778,623,347,329,484,377,387
5,53,347,347,347,347,347,347,347,30,247,347,347,362,347,177,362,259,362,259,259,259,347,257,450,347,347
6,347,12,166,12,12,78,354,12,12,249,12,12,206,12,251,206,283,283,623,484,325,346,12,175,12,12
7,15,12,28,12,177,66,26,12,334,12,12,12,334,334,362,446,12,446,446,446,103,446,671,175,175,175
8,53,347,347,347,12,12,346,15,12,102,29,33,595,595,416,595,487,322,322,12,712,12,12,747,12,12
9,53,53,261,274,261,261,261,700,567,155,811,155,804,804,313,109,307,6,615,538,538,552,23,277,261,261
10,261,261,46,128,261,261,261,261,420,420,205,205,583,205,506,205,756,727,720,182,261,727,249,261,370,515
11,53,261,399,245,127,271,668,668,127,127,127,127,18,18,18,18,128,193,18,18,18,123,445,347,261,261
12,347,15,15,15,15,412,412,218,218,189,189,189,69,412,620,97,97,178,196,374,15,794,573,118,118,15
13,347,28,15,15,137,68,68,68,137,137,211,211,211,114,39,595,595,541,759,524,524,114,126,713,713,713
14,347,347,12,327,15,12,45,12,293,317,652,383,540,383,309,293,657,657,657,548,224,620,106,190,190,165
15,53,203,203,165,203,21,21,21,21,621,82,540,68,86,382,364,364,287,287,503,109,581,390,203,203,203
16,12,53,203,99,207,376,203,203,203,203,203,207,207,203,203,207,613,613,326,84,446,523,203,3,3,314
17,53,203,203,597,245,71,71,71,71,391,391,613,613,728,728,728,377,377,496,496,281,493,524,493,792,351
18,12,231,3,231,3,3,3,3,3,3,107,107,595,595,595,595,297,652,373,775,216,380,399,71,71,597
19,53,368,231,231,231,231,231,231,320,328,578,380,231,231,130,26,561,165,715,231,616,231,231,78,671,17
20,53,231,231,56,383,231,231,718,231,507,512,507,287,297,788,788,30,30,708,708,708,231,550,771,231,231
21,53,368,206,30,209,368,474,368,689,6,474,440,6,715,215,215,215,11,236,233,262,698,439,368,630,706
22,53,245,231,368,368,368,368,540,368,100,197,197,690,284,495,603,38,38,55,55,55,368,10,364,540,420
23,261,261,215,368,368,368,368,31,746,31,746,746,263,263,643,643,796,796,791,741,594,25,454,25,766,485
24,261,80,51,163,80,163,163,163,163,163,393,671,302,548,317,314,314,37,143,335,335,41,351,248,248,351
25,80,80,112,439,80,54,271,418,418,418,374,374,112,112,419,419,184,184,719,719,490,351,490,490,490,490
26,261,80,88,88,794,80,794,794,794,794,794,794,794,80,794,401,401,401,184,184,194,194,169,80,80,80
27,347,323,207,323,323,213,323,750,326,64,145,479,429,429,786,348,348,348,323,323,336,323,589,336,323,323
28,53,323,33,323,0,216,508,438,438,438,438,491,348,625,417,457,457,454,417,672,275,454,490,684,323,526
29,53,245,189,323,323,323,323,323,323,261,243,323,323,323,323,26,323,188,323,323,195,423,223,188,323,188
30,166,245,245,33,33,33,245,245,245,467,498,245,498,498,650,650,498,266,266,704,666,134,498,498,245,245
