ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4
0,6388,4575,3648,6807,1356
1,6122,4575,3648,6807,1356
2,6122,4575,3648,6807,1247
3,1766,3716,3648,6151,1252
4,1766,3716,3648,2226,515
5,1766,4575,3648,5181,1252
6,1766,4575,3648,6999,3480
7,1766,4575,3648,2226,1252
8,1766,6379,3648,6807,2603
9,6122,4575,3648,5805,1495
10,6122,4575,3648,1487,2643
11,6122,4575,3648,1487,1925
12,4109,4575,1462,224,1789
13,1766,4575,3648,224,286
14,1766,4575,3648,6807,286
15,1766,3716,3648,5135,2603
16,6122,4575,3648,6807,2122
17,6122,4575,3648,6807,1789
18,1766,6379,3648,4328,152
19,6122,4575,3648,2226,1252
20,6122,4575,3648,2226,1252
21,1766,3716,4884,2120,4426
22,6122,4575,3648,155,2470
23,6122,3716,3648,4454,4426
24,2169,4575,3648,97,2643
25,1766,3716,3648,5135,152
26,6122,4575,3648,224,3480
27,1766,3716,3648,5135,1356
28,1463,3716,3648,3543,2470
29,6122,4575,3648,6807,1252
30,1766,3716,4884,4454,4426
31,6122,4575,3648,734,1495
32,1766,3716,3648,734,505
33,6122,4575,3648,382,375
34,6122,4575,3648,6807,2122
35,6122,4575,3648,6807,2122
36,1766,3716,3648,734,157
37,2933,4575,3648,224,1495
38,2933,3129,1462,224,5166
39,1463,3716,4884,877,157
40,1463,3716,3648,653,3469
41,1766,3716,4884,629,2470
42,6122,4575,3648,2226,1495
43,1766,4575,3648,2226,1252
44,1766,3716,3648,734,157
45,6122,4575,3648,224,2643
46,4109,3716,3648,734,2470
47,1766,3716,3648,224,1495
48,6122,4575,3648,224,3480
49,1766,4575,3648,224,1478
50,1766,3716,3648,6151,1356
51,1766,6379,3648,1782,1789
52,6122,4575,3648,2501,1927
53,1766,4575,3648,6807,3480
54,1766,3716,5049,224,2721
55,6122,6379,3648,224,5166
56,2169,4575,1462,224,6617
57,6122,3716,3648,1487,2026
58,6122,4575,3648,155,2470
59,4109,1436,1462,224,157
60,6122,4575,3648,4964,6796
61,6122,4575,3648,5135,6796
62,6122,4575,3648,6807,6796
63,6122,4575,3648,224,3480
64,1463,4575,3648,1782,1252
65,1766,6379,3648,6151,1252
66,6122,4575,3648,155,3351
67,6122,4575,3648,155,120
68,6388,4575,1462,224,1838
69,6122,865,1462,155,1838
70,2169,4575,1462,155,1838
71,1463,3716,1462,224,1838
72,1766,3716,3648,6151,1495
73,4109,4575,4884,764,6375
74,6122,4575,3648,1487,2088
75,6122,4575,3648,97,2643
76,6122,4575,3648,2120,2088
77,1766,3716,4884,734,2721
78,6122,4575,3648,3444,1925
79,6122,4575,3648,6807,228
80,4109,3716,4884,3343,228
81,1766,6379,3648,5181,3423
82,1766,3716,4884,2120,157
83,1766,3716,3648,734,157
84,6122,3716,3648,224,3480
85,2933,4575,1462,155,6617
86,2169,4575,574,155,1838
87,4109,1436,3648,224,5166
88,2169,4575,1462,155,1838
89,1766,4575,3648,3980,2721
90,4109,865,1462,224,1838
91,2169,4575,1462,224,1838
92,4109,865,1462,224,1838
93,6122,4575,3648,6807,2204
94,1766,3716,3648,5135,41
95,6122,4575,3648,6807,852
96,1766,4575,3648,6807,1483
97,1463,3716,3648,155,7010
98,6122,4575,3648,6080,3922
99,6122,4575,3648,155,286
100,1766,3716,3648,2120,3043
101,2933,4575,3648,155,1195
102,2169,4575,3648,155,1838
103,6122,3716,3648,2266,157
104,1766,3716,4884,3343,5166
105,5637,3716,4884,734,1251
106,1463,3716,4884,5730,3030
107,6122,4575,3648,30,2721
108,6122,4575,3648,224,5166
109,2933,4575,1462,224,2470
110,6122,4575,3648,2452,1495
111,4109,3716,3648,224,1495
112,6122,4575,3648,155,2470
113,6122,4575,3648,877,2470
114,6122,4575,3648,2226,2026
115,1766,3716,3648,734,1252
116,1766,3716,3648,2120,1252
117,6122,3716,3648,3936,4951
118,6122,3716,4884,5730,2470
119,6388,4575,3648,399,157
120,2933,4575,1462,224,2584
121,6122,4575,3648,2226,3423
122,1463,3716,3648,30,4882
123,1463,3716,3648,629,2470
124,6122,4575,3648,155,1495
125,6122,4575,3648,224,157
126,6122,4575,3648,6807,1789
127,6122,4575,3648,5135,1495
128,6122,3716,3648,1487,1252
129,1766,3716,4884,734,3030
130,1766,3716,3648,734,3030
131,1766,3716,3648,2120,505
132,4109,4575,1462,224,1813
133,1766,1436,1462,224,6617
134,4109,865,1462,1067,1838
135,1766,6379,3648,1901,2470
136,6122,4575,3648,224,1495
137,6122,3716,3648,734,2470
138,6122,3716,3648,734,1925
139,2169,4575,3648,3980,2721
140,1766,3716,3648,1487,1925
141,6122,4575,3648,224,5440
142,4109,3716,5049,155,3480
143,6122,4575,1462,155,5440
144,1766,6379,3648,6807,2204
145,6122,4575,3648,6807,852
146,1766,6379,3648,4328,4177
147,1766,3716,4884,2266,157
148,6122,4575,3648,2226,157
149,1766,6379,3648,3444,157
150,1766,3716,4884,4454,157
151,6122,3716,3648,6999,1495
152,6122,4575,3648,734,3030
153,1463,3716,3648,2226,2782
154,1766,3716,3648,1487,2026
155,1766,3716,4884,734,1356
156,2169,4575,3648,224,1908
157,6122,4575,3648,2226,1925
158,6122,4575,3648,5135,2088
159,1766,4575,3648,2120,157
160,6122,4575,3648,224,2470
161,6122,4575,3648,6922,1908
162,6122,3716,3648,2226,2088
163,6122,3716,3648,5135,1495
164,1463,3716,3648,1668,2721
165,4109,4575,1462,224,5166
166,1463,3716,3648,1487,2283
167,6122,4575,3648,224,1478
168,6122,4575,574,155,2470
169,6122,4575,3648,155,2470
170,6122,4575,1462,224,6393
171,6122,4575,3648,734,1594
172,1766,3716,3648,734,1251
173,6122,4575,3648,224,228
174,6122,3716,3648,6136,228
175,6122,4575,3648,97,1594
176,6122,4575,3648,3343,2721
177,6122,4575,3648,382,1908
178,6122,3716,3648,6151,1908
179,6122,4575,3648,6807,3423
180,1766,3716,3648,1487,152
181,1766,4575,3648,6807,2122
182,1463,4575,3648,6999,152
183,4109,4575,1462,155,6115
184,2933,4575,1462,224,1838
185,6122,4575,3648,6807,6115
186,1766,3716,3648,3543,3480
187,6122,3716,3648,5135,3151
188,4109,4575,1462,224,3480
189,6122,4575,3648,399,2470
190,6122,4575,3648,2226,2470
191,6122,4575,3648,6807,2643
192,6122,4575,3648,3980,2470
193,4109,4575,3648,155,2026
194,6122,4575,3648,6922,2026
195,4109,4575,5236,224,5166
196,6122,4575,3648,155,2470
197,6122,4575,3648,224,2470
198,4109,3716,3648,30,2470
199,6122,3716,4884,2266,2395
200,6122,4575,3648,2226,1495
201,1766,1436,3648,224,3480
202,6122,4575,3648,734,2395
203,4109,3716,3648,155,5166
204,6122,4575,3648,2226,2088
205,6122,4575,3648,155,2721
206,6122,4575,3648,2226,2721
207,2933,4575,1462,155,1478
208,1463,3716,5049,224,228
209,1463,3716,3648,4454,3030
210,1766,3716,3648,4964,6796
211,1766,3716,4884,5730,6375
212,1766,3716,3648,734,2470
213,6122,4575,3648,1487,2653
214,6122,4575,3648,155,1789
215,1766,4575,3648,97,852
216,4109,4575,3648,224,1478
217,6122,4575,3648,224,1495
218,6122,3716,3648,224,1495
219,6122,4575,3648,155,6115
220,2169,4575,1462,4328,1838
221,6122,4575,3648,155,1813
222,6122,4575,3648,6807,1925
223,1463,3716,3648,1782,1495
224,6122,4575,3648,6999,3480
225,1463,4575,3648,155,3097
226,6122,4575,3648,224,1908
227,6122,4575,3648,155,2204
228,6122,4575,3648,2226,157
229,1766,4575,3648,6807,286
230,6122,4575,3648,2226,286
231,6122,4575,3648,6922,2026
232,1766,6379,3648,97,1252
233,6122,3716,3648,5730,1495
234,1766,3716,4884,734,4426
235,1463,3716,3648,30,1495
236,1766,3716,4884,5111,4426
237,6122,4575,3648,30,2721
238,1766,3716,4884,734,2721
239,1766,6379,3648,734,2721
240,6122,4575,3648,764,2470
241,1766,6379,3648,224,1838
242,6122,4575,3648,6999,1495
243,1766,3716,3648,5135,2603
244,1766,4575,3648,6807,2603
245,1766,3716,3648,5135,3480
246,6388,4575,3648,6807,2122
247,1766,4575,3648,1782,3480
248,1463,3716,3648,2501,286
249,1766,4575,3648,3444,3480
250,6122,4575,3648,1782,2026
251,6122,4575,3648,2226,1252
252,6122,4575,3648,224,5166
253,6388,4575,1462,155,1838
254,6122,4575,3648,6999,5166
255,1766,3716,3648,734,1251
256,6122,4575,3648,734,1251
257,1463,4575,3648,734,2721
258,6122,4575,3648,6999,1789
259,6122,4575,1462,155,1838
260,1463,4575,3648,155,1463
261,1766,3716,3648,734,402
262,6122,4575,3648,1487,1495
263,1766,6379,3648,6151,2721
264,1766,4575,3648,1782,3480
265,6122,4575,3648,155,3351
266,6122,4575,3648,1487,3480
267,6122,3716,3648,764,4426
268,6122,4575,3648,155,189
269,6122,4575,3648,155,1838
270,6122,4575,3648,224,1908
271,6122,4575,3648,629,2470
272,6122,4575,3648,5920,1908
273,6122,4575,3648,734,2721
274,1766,3716,4884,4454,1925
275,6122,3716,3648,6136,2721
276,5637,3716,4884,5730,1495
277,6122,3716,3648,5181,1252
278,1766,3716,3648,399,1959
279,1766,3716,3648,1858,1927
280,6122,3716,3648,1782,3480
281,6122,3716,3648,2226,3043
282,6122,4575,3648,224,2088
283,1766,3716,3648,1782,228
284,6122,3716,3648,224,2721
285,1766,3716,3648,471,2470
286,2169,4575,3648,30,3244
287,1463,3716,3648,6136,228
288,6122,4575,3648,1782,2549
289,1463,3716,3648,2266,505
290,2169,4575,3648,6807,2643
291,1766,3716,3648,1487,1495
292,1766,4575,3648,1487,1495
293,6122,4575,3648,6807,1252
294,6122,4575,3648,6922,2643
295,6122,4575,3648,6807,1789
296,1766,6379,3648,3444,4828
297,1766,3716,3648,1487,2026
298,6122,3716,3648,224,2643
299,1463,3716,3648,1487,163
300,6122,4575,3648,155,1478
301,6122,4575,3648,1782,1927
302,6122,3716,3648,155,1478
303,6122,4575,3648,2226,2395
304,1766,3716,3648,2120,157
305,6122,4575,3648,2226,157
306,1463,3716,3648,224,1252
307,1766,6379,3648,3444,1252
308,1463,4575,5236,224,3480
309,1766,4575,4884,3343,4426
310,2169,4575,3648,764,2470
311,2933,4575,1462,155,1195
312,6122,4575,3648,155,2643
313,1766,3716,3648,2120,144
