ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46
0,652,652,797,255,446,446,255,351,351,351,351,351,351,351,147,147,147,147,102,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,708,321,321,757,247,693,801,159,159,179,257,257,257,41,182,303,303,303,303,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,489,489,463,594,623,717,717,86,86,86,149,149,149,273,273,273,273,147,53,147,147,147,147,147,147,147,147,147,147,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,42,174,174,174,174,174,104,486,149,225,166,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,193,193,533,231,231,231,231,463,463,165,290,290,554,223,205,35,35,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,287,178,178,178,178,178,178,178,178,178,178,178
5,675,675,675,675,493,245,12,12,104,104,231,6,6,88,88,88,295,295,295,295,295,308,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,636,133,190,190,190,145,646,263,281,26,26,26,26,256,105,105,105,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,360,360,360,360,360,360,360,360,360,360,360,360,360
7,717,645,19,19,717,53,347,347,23,23,91,91,213,213,213,213,309,309,309,309,309,309,295,295,295,295,295,295,295,295,309,309,309,309,309,309,309,309,309,309,309,384,384,384,384,384,384
8,804,804,766,766,281,281,273,366,218,218,218,308,297,297,297,41,41,41,41,202,202,202,202,202,202,202,208,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,385,385,385,385
9,515,515,515,238,171,171,165,165,106,3,322,322,173,142,142,173,173,125,125,125,125,125,125,125,125,125,125,125,125,125,125,242,125,242,125,125,125,125,125,125,125,125,125,125,125,125,125
10,588,282,282,253,253,253,284,129,129,129,129,284,284,229,215,739,739,57,173,173,173,173,173,173,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,21,21,21,254,254,254,254,254
