ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25
0,2624,3898,3054,6981,1785,4241,1333,3570,3054,1333,1526,1931,696,52,4883,1931,4073,6169,3245,1219,1931,180,533,3366,2934,5456
1,6204,4241,805,2862,1842,2226,1149,2025,1642,5007,926,926,926,5007,2594,926,1681,926,926,1861,1525,596,6451,1525,4731,966
2,4152,2642,1147,1899,539,138,539,391,1222,56,1887,3717,56,6622,455,455,1602,6573,2741,1646,497,1759,56,1646,3882,4128
3,4152,2642,3243,1147,1301,5995,3420,1073,2136,3526,2885,395,2615,1354,1646,1646,1803,539,1843,1803,1646,1646,1646,1646,1602,1646
4,4152,2642,3243,1899,2078,2399,539,1833,773,2910,2266,2910,1554,1428,1428,2910,3442,391,1715,539,265,2266,2910,2910,2266,2933
5,4152,6057,3649,1147,6253,1780,1930,2466,680,3526,2904,2904,1526,1304,1027,1304,2230,2904,569,539,569,3106,569,2230,1602,569
6,6204,3353,805,974,2765,3313,908,908,908,1780,1156,2862,2055,1970,1780,1156,908,1427,2775,720,1156,909,2142,2142,1018,1115
7,4152,4241,3243,2135,1602,285,539,1304,3641,3641,1887,2904,6258,2732,2615,1035,2732,5797,946,3431,1073,2233,5953,1035,5953,1428
8,2624,4241,1094,821,1629,2399,138,6316,3459,1499,1780,1499,1519,2399,3273,6316,1709,2142,2142,3017,4747,285,2466,1780,6035,2466
9,6204,3898,470,2162,2385,2162,2385,314,3512,220,1308,2405,6276,6276,2777,220,212,6276,912,1308,3140,2847,220,1308,2729,3810
10,4152,392,3057,2126,4305,5901,1874,6365,2855,1131,5901,4764,3706,5928,5901,2699,1916,1431,2855,2699,1431,1431,6920,1431,1103,1431
11,4152,2642,138,1298,1126,3403,2366,1403,1153,2657,6361,2366,2793,490,1306,490,3213,3213,3213,3265,492,3213,1306,1306,2508,1306
12,6204,529,221,1430,2930,2498,1077,2930,1585,1190,1585,1190,1190,2151,2151,1190,6267,1585,971,290,1190,1190,1190,1190,2939,2939
13,194,3353,3000,3048,3516,2454,409,689,2362,1718,444,2971,90,494,689,751,46,46,46,685,689,1387,3098,2747,685,2506
14,6204,4241,221,2074,372,3441,12,290,2427,3441,2603,3896,290,3441,6842,437,124,3896,3441,3441,80,3441,1205,3441,12,2930
15,4152,3353,1247,2836,2603,2560,549,549,123,6595,6595,1985,6595,1799,6595,6595,549,6595,1799,2897,6595,6595,6595,6595,6595,6595
16,6204,3898,221,2836,578,2289,2534,2771,3376,2771,3376,2771,961,1239,1265,1329,2771,2771,1004,2764,2289,1463,3376,2771,2771,2771
17,6204,4241,2618,2836,265,787,125,1010,2947,2947,2947,494,131,2947,2947,2947,2226,494,2947,841,2947,6561,6168,147,1585,6168
