ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25
0,6144,4752,6740,1519,2111,593,593,593,2441,2441,2885,2441,569,569,569,569,569,569,569,165,165,165,165,2441,3199,2441
1,2747,3404,5098,5098,5098,5098,5803,2628,2628,2529,2865,2865,2865,3188,2628,2628,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529
2,5598,5114,6163,3730,852,455,455,455,2275,2865,2865,2628,2628,1887,2628,2628,680,680,680,680,680,680,2805,2805,2805,2805
3,4094,4400,593,3730,2111,5468,593,2310,2628,2314,2314,2314,2314,2314,2314,875,875,2314,2885,2314,875,875,875,875,2628,875
4,6058,5114,4352,3730,4008,1715,3313,2078,2078,6863,2078,2078,2078,2078,2078,2078,2078,2628,2628,2955,2078,2549,2549,1810,2549,875
5,4094,4400,593,3730,5235,5468,593,593,2310,2310,2314,2314,2628,2628,2628,2628,2628,2628,146,875,2628,2628,2628,875,875,875
6,4094,4823,593,3730,5098,2560,593,2628,2628,2628,2628,2628,2628,2628,2628,2628,2628,2628,2628,2628,1970,2628,1970,875,875,875
7,4094,5889,593,3730,3730,2111,455,455,1887,665,875,875,875,875,875,875,875,146,875,875,875,875,875,875,1304,5953
8,4094,4400,593,3730,5098,5098,455,455,2628,2628,2628,2628,2628,2628,2628,2628,2628,3202,1584,875,3018,875,875,875,875,875
9,2747,3404,4568,3730,6665,1715,1715,1715,2159,2159,2159,2159,1014,1014,2630,2630,2630,2851,2851,2851,2630,2876,2876,2876,2876,2876
10,1009,898,4352,3730,3730,5786,5786,6764,6764,6085,5786,5786,4640,4640,4640,4640,4640,4640,4640,4640,981,981,981,4640,4640,981
11,1009,898,4352,3730,3990,3990,5803,5803,580,490,580,580,580,580,3199,490,490,490,490,490,490,490,490,2279,490,490
12,1759,1759,114,1804,5098,1149,1149,1149,424,424,210,424,1149,136,620,1863,210,620,620,620,620,620,620,620,6375,3098
13,4094,1759,593,1519,2523,1860,599,2310,599,2506,2506,2506,855,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506,2506
14,4094,1443,593,1519,2523,1715,1715,408,408,408,408,408,413,413,413,458,2880,3369,112,3369,3369,413,413,954,954,954
15,2060,5036,114,3730,2111,2111,593,593,593,2458,1029,2458,2458,1855,1855,2355,1855,1855,1855,2885,1855,1855,1855,1855,1855,1855
16,4094,1443,1519,1519,5098,5098,852,852,852,1715,1304,3484,100,100,100,3484,821,821,821,3073,3383,1304,3442,3442,3073,3073
17,4752,4752,5098,3730,5098,1715,1715,593,593,2628,2529,2529,2529,2529,2314,2314,2529,2529,2529,2529,2529,2529,2529,2529,2529,2529
18,1977,4400,4096,455,455,455,455,455,3383,3383,3383,3383,875,1027,2621,1027,1027,1027,1027,1027,1913,1913,1913,1913,3442,3442
19,2747,3404,4568,3730,852,2111,539,2355,2355,2355,1000,1000,1000,1000,2441,2355,2355,2355,2355,2355,2441,2441,2441,2441,3199,3199
