ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10
0,1411,3906,213,5322,657,1147,4537,1957,5397,3779,3400
1,1940,3906,213,5467,657,3208,4672,1957,6937,221,1247
2,1411,3906,213,5322,657,1147,4537,1957,250,221,7019
3,1411,3906,6872,5322,1794,1147,4537,1957,250,2473,5692
4,681,3906,6872,5322,3462,1147,6346,1957,250,2473,2398
5,1411,3906,6872,5322,1794,1147,4537,1957,250,2473,6424
6,681,3906,5770,5322,1794,1147,4537,1957,250,1868,7019
7,1411,3906,213,5322,3462,2153,1959,1957,250,2473,6424
8,1411,3906,213,5322,1794,1147,4537,1957,250,2473,7019
9,1940,3906,213,1628,3297,3208,1959,1991,250,5658,2095
10,1940,3906,213,1628,3297,5029,1959,1337,4305,1516,3030
11,1940,3906,213,5322,3462,1147,4537,1957,4305,221,7019
12,1411,6086,213,5322,657,5029,1959,1957,3345,1868,1617
13,1411,6086,6872,5322,657,1147,4537,1957,5397,2473,7019
14,681,3906,213,5322,1794,1147,4537,1957,250,2423,1247
15,681,3906,213,5322,1794,5029,1959,1337,4305,2473,2398
16,681,3906,213,5322,657,1147,4537,1957,5397,2473,3400
17,1940,3906,213,1628,657,3208,1959,1957,250,221,1247
18,1411,32,5770,5322,3462,1147,4537,1957,5397,2473,3400
19,1411,3906,213,5322,3297,3208,1959,1957,250,4520,2162
20,681,3906,213,5322,657,3208,4537,1957,250,4520,7020
21,681,3906,5770,5322,3462,4932,1959,3364,4755,3729,5632
22,681,3906,213,1628,1331,5029,1959,1337,5397,3779,5211
23,681,3906,213,1628,1331,5029,1959,1337,2436,5658,5632
24,1940,3906,213,1628,3297,5029,1959,1337,1096,937,973
25,681,3906,5770,5322,3462,2153,6346,1957,4305,6012,3030
26,1940,3906,213,1628,3297,5029,1959,4115,6380,1516,29
27,681,3906,5770,5322,3462,1147,4537,1957,250,2473,7019
28,681,3906,213,5322,3462,2153,1959,1337,4305,2473,1503
29,1940,3906,213,1628,3297,5029,1959,1337,4305,1516,3030
30,681,3906,5770,5322,3462,4932,6215,4342,4755,2473,4886
31,681,3906,213,1628,1331,5029,1959,1337,3345,1516,1503
32,681,3906,5770,5322,3462,4932,1959,3364,4305,919,3030
33,681,3906,213,1628,1331,5029,1959,1957,250,221,29
34,1940,3906,213,1628,657,3208,1937,1957,250,4520,29
35,681,3906,213,5467,657,6418,4672,1957,3376,221,6424
36,681,3906,5770,5322,1794,2153,1959,1957,4305,2473,1503
37,1940,3906,213,1628,3297,5029,1959,998,3345,744,29
38,681,3906,213,1628,3297,5029,1959,1337,3345,744,2292
39,681,3906,5770,5322,3462,2153,6346,1957,4305,2473,1503
40,681,3906,5770,5322,3462,2153,6346,1957,4305,7044,4248
41,1411,3906,5770,5322,3462,4932,6215,4342,4755,1911,3030
42,681,3906,213,1628,3297,5029,1959,1337,4305,5658,2095
43,681,3906,213,5322,3462,1147,6346,1957,250,2473,2633
44,1411,6086,6872,5322,3462,4932,1959,3364,4755,2473,3030
45,681,3906,213,5322,657,1147,4537,1957,5397,2473,7019
46,681,3906,213,5322,1794,5029,1959,1337,3345,3907,1503
47,1411,3906,5770,5322,3462,1147,6346,1957,4305,2473,1503
48,1940,3906,213,1628,3297,3208,4537,1957,4305,221,29
49,681,3906,213,5322,3462,2153,6346,1957,4305,2473,1503
50,1411,3906,5770,5322,3462,2153,6346,1957,4755,2473,2398
51,681,3906,5770,5322,1794,1147,4537,1957,250,2473,7019
52,681,3906,213,5322,657,3208,1937,1957,5397,221,7019
53,681,3906,213,5322,657,1147,4537,1957,250,2473,1247
54,681,3906,5770,4208,3462,4932,6215,4342,3360,919,1503
55,681,6086,213,5322,1331,5029,1959,1337,3345,2321,1503
56,1940,3906,213,1628,3297,5029,1959,4115,3345,3290,223
57,1940,3906,213,5322,3462,5029,4537,1957,4305,1516,4248
58,681,3906,5770,5322,3297,1147,1937,1957,5397,221,1617
59,1411,3906,213,5322,3462,2153,4537,1957,4305,744,241
60,681,3906,213,5322,657,1147,4537,1957,250,221,7019
61,1940,3906,213,1628,657,3208,1959,1957,250,4520,2162
62,681,3906,213,5322,3462,5029,1959,1337,250,2473,1503
63,1940,3906,213,1628,3297,5029,4672,1957,6937,221,1617
64,681,3906,213,5322,657,1147,4537,1957,250,221,1247
65,1411,3906,5770,5322,3462,1147,6346,1957,250,2473,2633
66,1940,3906,213,1628,3297,3208,1959,4115,6380,937,29
67,1940,3906,213,1628,3297,5029,1959,1337,4305,1516,3030
68,681,5550,213,1628,657,5029,1959,1957,1420,744,1503
69,1940,3906,213,1628,657,3208,1937,1957,2837,2317,1077
70,1940,3906,213,1114,657,3208,1937,1957,3899,221,1617
71,681,3906,213,5322,3462,2153,6346,1957,4305,2473,1503
72,681,3906,5770,5322,3462,4932,1959,1976,4755,2431,3030
73,1940,3906,213,1628,3462,5029,1959,1337,4305,3907,5632
74,1940,3906,213,1628,3297,5029,1959,1337,4305,1516,3030
75,681,3906,213,5322,657,1147,4537,1957,5397,2473,7019
76,1411,3906,213,5322,3297,5029,1959,1957,250,2473,5211
77,681,3906,5770,4208,3462,4932,1959,1337,3360,919,1503
78,1411,3906,213,5322,3297,5029,1959,1991,250,2473,2095
79,681,3906,213,5322,3297,5029,1959,1337,250,3779,5211
80,1940,3906,213,4208,3462,5946,1959,4342,6467,1516,3030
81,1411,3906,5770,5322,1794,1147,4537,1957,250,2473,1247
82,1411,3906,5770,5322,3462,2153,1959,1957,4755,2473,2398
83,681,3906,5770,5322,1794,1147,4537,1957,4305,2473,2398
84,1940,3906,213,1628,1331,5029,1959,1337,4305,221,1503
85,1940,3906,213,1628,657,3208,1984,998,3899,2322,29
