ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26
0,621,621,618,714,597,472,214,540,800,673,203,53,53,53,53,53,53,53,78,53,53,53,53,53,53,53,53
1,141,742,231,308,208,301,301,285,257,182,281,203,312,53,378,378,89,216,312,53,312,671,53,378,378,53,378
2,784,79,540,626,114,208,381,243,381,339,381,377,381,381,257,130,362,362,257,362,381,147,53,362,149,362,736
3,215,215,380,295,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,708,708,42,303,491,80,736,463,308,328,91,224,224,224,224,224,295,224,224,224,308,224,224,224,308,347,224
5,675,675,149,525,664,347,28,190,347,347,6,347,6,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,273,337,145,481,79,367,329,318,208,318,86,86,263,318,245,245,303,360,68,132,314,12,68,360,12,360,290
7,446,334,645,425,425,342,100,462,339,115,115,88,88,88,88,68,68,166,303,274,68,68,364,364,19,68,364
8,366,264,30,481,231,41,19,661,203,400,19,257,68,68,725,329,251,329,251,281,202,231,202,281,251,281,202
9,515,702,702,159,116,106,196,173,612,612,1,612,801,32,173,323,517,517,260,254,260,260,71,284,173,517,71
10,493,282,610,205,255,493,510,588,510,321,74,86,314,4,78,78,671,260,472,323,323,472,472,86,80,472,472
11,245,220,418,70,676,173,347,115,182,161,361,68,255,255,333,283,364,41,41,41,367,283,41,367,367,268,41
12,290,412,233,18,489,259,259,139,196,97,97,339,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,221,73,68,68,23,23,571,189,227,789,150,87,87,87,87,192,87,87,139,139,139,139,87,139,139,139,139
14,700,32,396,145,337,337,337,264,264,337,177,45,378,378,177,378,177,378,177,15,177,15,15,15,15,15,15
15,541,188,265,104,712,19,263,19,257,203,86,273,75,273,273,273,342,329,342,273,273,203,273,203,273,203,203
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,597,597,270,149,213,87,280,225,216,49,203,203,203,273,203,203,203,203,203,203,203,203,203,203,203,203,203
18,314,3,517,269,685,325,150,339,190,339,148,121,257,590,231,231,231,257,231,149,35,231,231,231,231,231,231
19,578,809,578,106,185,702,106,517,770,770,100,95,36,231,362,231,231,231,231,231,231,231,231,231,231,231,231
20,684,88,706,115,699,805,147,362,362,362,381,381,381,231,381,231,381,231,231,231,231,231,231,231,231,231,91
21,808,209,437,574,706,724,724,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,758,89,758,758,219,350,560,618,170,618,618,348,618,618,267,32,507,32,731,662,618,662,57,384,513,560,57
23,510,58,726,791,778,173,719,804,368,431,661,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
24,206,313,89,338,147,52,170,800,369,369,229,360,260,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,303,303,322,28,33,148,303,80,80,714,396,740,21,80,21,80,80,80,80,80,80,80,80,80,80,80,80
26,370,69,399,358,745,292,297,147,147,101,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
27,34,34,34,308,339,70,711,810,19,105,231,386,257,257,257,323,323,364,323,323,323,323,364,323,323,323,323
28,657,520,490,490,68,791,236,396,802,14,14,385,22,335,22,22,22,22,22,22,202,22,22,385,22,381,385
29,658,457,520,261,367,804,295,109,341,341,341,341,341,79,341,53,53,323,364,410,218,323,323,323,323,323,323
30,454,630,76,408,245,245,130,695,245,245,110,245,132,245,245,245,245,245,245,245,245,245,245,245,245,245,245
31,373,373,373,309,612,319,20,383,290,351,12,220,224,334,334,334,384,334,245,0,245,245,245,245,245,245,184
32,197,197,319,516,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
33,43,173,214,309,574,218,762,803,194,194,731,731,4,317,274,274,629,618,503,804,742,548,274,742,274,572,236
34,407,478,86,174,321,321,810,321,525,321,100,321,321,362,19,321,321,321,321,321,321,321,321,321,321,321,321
35,514,514,500,177,480,685,321,685,625,625,128,429,429,321,321,321,802,569,768,420,674,420,569,478,569,687,109
36,171,171,167,312,627,340,224,340,340,292,268,237,112,224,224,292,270,270,270,340,224,270,40,270,270,270,40
37,321,191,222,421,221,65,65,261,119,119,119,119,119,119,238,119,119,238,119,119,119,119,270,119,119,14,629
38,32,722,203,719,44,305,259,206,403,403,229,403,118,86,271,99,314,703,102,168,45,45,373,107,44,270,222
39,129,185,255,263,660,547,195,195,195,132,166,166,132,387,166,166,166,166,166,166,166,166,166,166,166,166,166
40,54,54,28,365,404,208,34,231,505,197,505,541,224,224,245,224,7,224,224,6,166,166,166,166,166,166,166
41,714,354,370,249,343,777,807,807,662,807,807,807,641,641,132,807,807,185,807,593,185,185,166,185,387,166,339
42,80,445,753,628,274,115,295,295,105,303,60,303,303,360,208,28,32,28,28,28,28,28,28,295,32,28,28
43,249,580,580,397,287,65,65,295,295,265,174,93,93,224,28,174,28,28,28,28,28,28,28,28,28,28,28
44,28,28,28,340,28,392,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
45,130,130,685,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,517,760,383,313,249,65,65,65,65,14,14,14,14,166,20,20,130,130,130,130,130,130,130,130,130,130,130
47,60,80,284,365,256,129,301,129,280,280,334,208,346,208,339,206,206,206,206,121,206,121,314,314,339,347,91
48,418,167,40,286,729,355,174,174,301,161,161,161,161,161,161,161,161,385,161,161,161,161,161,161,161,161,161
49,470,542,151,574,692,210,681,703,361,58,161,379,72,161,161,103,103,103,161,207,103,103,161,103,161,161,103
50,294,294,153,789,493,103,255,161,385,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
51,303,717,86,766,145,337,810,58,339,161,161,161,161,103,80,103,103,251,251,251,103,207,207,103,207,377,103
52,314,363,290,174,285,52,319,333,314,314,388,347,280,161,161,3,161,103,327,327,327,327,207,103,103,103,327
53,87,146,132,51,551,15,125,366,156,225,191,49,49,280,280,280,349,191,400,349,380,342,377,60,161,103,207
54,287,93,272,344,167,375,89,394,16,16,16,16,16,16,16,16,16,660,338,37,114,299,114,114,160,229,209
55,53,197,272,123,632,314,548,734,734,734,734,795,253,735,735,735,735,735,735,735,735,735,735,735,735,16,678
56,596,241,181,150,233,382,506,424,377,690,690,317,690,690,690,618,676,690,229,74,234,365,16,16,16,567,567
57,654,654,189,517,673,329,329,223,334,223,23,385,23,23,223,157,367,157,166,367,182,367,367,261,182,237,367
58,346,346,377,353,377,285,779,88,45,337,337,145,145,145,145,145,145,145,145,337,145,395,145,337,140,794,283
59,13,13,367,210,379,296,610,308,308,610,292,20,323,179,40,306,388,347,735,195,255,255,255,367,255,367,388
60,325,533,427,480,769,547,177,667,667,702,362,150,231,362,362,656,95,362,95,95,19,95,95,95,95,95,95
61,6,289,306,520,58,547,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
62,203,203,143,319,351,319,325,362,362,362,362,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
63,382,86,790,477,102,251,161,161,269,269,269,269,269,269,269,379,269,157,269,269,157,157,269,157,174,269,157
64,166,710,362,366,400,366,339,79,174,366,174,174,174,366,174,174,174,174,174,174,174,174,174,174,174,174,174
65,179,580,303,174,174,312,105,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
66,459,647,364,402,370,358,140,320,364,364,60,541,200,22,420,368,211,356,211,368,808,403,701,200,403,403,66
67,471,211,471,384,363,282,69,175,222,222,222,222,222,355,222,393,37,403,393,66,345,66,376,66,66,376,376
68,90,137,181,3,353,305,305,288,288,99,99,99,66,293,293,393,99,296,393,393,356,66,66,393,66,66,355
69,581,581,660,301,787,275,275,275,99,99,181,181,196,181,219,222,222,222,222,222,222,222,222,222,222,222,222
70,126,126,270,13,13,380,222,5,222,222,82,222,222,181,222,317,181,222,181,181,222,181,222,222,222,222,181
71,161,192,251,414,376,509,159,293,293,380,293,222,376,66,259,222,222,259,222,222,222,222,222,222,222,222,222
72,140,140,695,371,301,252,252,28,101,388,162,148,6,268,290,245,245,136,245,245,245,245,6,6,245,6,6
73,21,21,660,141,69,21,348,348,348,356,771,771,48,74,62,148,555,364,413,658,53,306,31,413,53,695,306
74,252,252,616,10,252,252,106,77,106,226,153,77,153,144,180,180,8,144,8,8,124,124,240,124,124,124,354
75,337,506,336,73,264,252,252,330,207,63,207,366,366,105,224,111,8,312,106,65,111,106,8,8,8,8,8
76,42,470,276,7,290,397,247,250,397,332,252,193,171,171,8,171,8,8,8,8,8,8,8,8,8,8,124
