ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26
0,194,529,6912,2974,1072,2502,1222,5911,83,1148,5205,821,52,4354,1333,2382,6221,3126,1333,2111,4883,2707,3968,4883,6981,1999,3127
1,6204,529,6912,2974,2456,2087,4537,1054,3345,6303,1228,1986,926,1715,2087,2947,6885,801,1966,1668,6418,6701,3960,1287,926,1442,1767
2,2937,529,6912,2974,2456,2087,1222,5911,3376,2990,5205,2530,1271,5776,612,2382,3869,533,487,3649,4860,2695,6636,533,6258,3649,533
3,3883,529,2266,2974,1072,2087,5235,595,529,1148,2389,1674,3366,1313,1201,1309,1404,749,3313,3353,3353,2223,2302,1914,343,749,2523
4,3883,529,2177,2974,2456,2087,1222,911,2386,3369,769,1674,1554,1715,824,2885,787,6003,1892,1858,1377,840,1554,2000,2382,2398,2586
5,2937,529,2177,2974,2456,2087,1222,2560,2386,3369,2389,218,3484,1715,1201,1854,1404,1148,3250,2383,1739,2223,3120,1739,2047,749,1247
6,6204,529,6912,2974,2456,2087,1222,911,529,3369,1382,1032,1427,3089,1477,1477,1404,100,100,1930,1377,1427,1658,2000,3209,2398,1164
7,2937,529,6912,321,2456,3552,4537,595,2511,576,5205,1674,3484,6032,1216,2695,4101,5386,7026,6477,531,4285,4920,1309,1286,4010,1286
8,2937,529,2177,2974,2456,6693,6476,3031,1153,3369,943,1275,52,1460,1858,1477,1404,5386,1966,1858,1499,5620,363,3459,2399,389,3256
9,194,529,2266,2974,1072,2502,4571,3425,6418,3188,1030,664,4926,1715,2880,108,3473,2847,664,2847,6418,4059,1182,6286,1030,3473,710
10,2937,529,2266,2974,4305,4109,3626,6485,2557,5507,3394,6148,4020,3820,6421,228,4426,5126,4029,5901,5815,6839,986,4312,6175,6698,5592
11,3883,529,2266,2974,4305,2502,1477,2516,6954,2358,372,2366,2832,3089,1477,3318,953,887,1528,1668,3002,526,1079,348,3318,2366,1169
