ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24
0,321,321,79,618,284,621,80,325,714,32,569,477,539,797,714,477,657,496,657,657,477,660,797,615,806
1,141,170,321,515,161,144,301,508,301,301,301,275,380,44,320,400,285,44,225,306,534,80,534,45,117
2,584,362,698,632,245,809,809,273,539,572,782,463,601,463,601,539,539,177,539,539,539,463,539,539,539
3,215,215,60,34,645,366,712,702,413,347,347,347,347,257,347,347,42,42,104,162,216,347,192,28,26
4,42,42,708,42,42,711,303,54,42,42,42,42,11,11,121,187,11,42,7,11,42,170,88,132,213
5,675,675,33,134,149,12,667,664,42,42,357,100,357,357,362,357,357,357,281,312,294,281,281,26,281
6,485,273,806,145,260,281,366,79,366,263,263,263,149,263,145,149,263,263,102,263,263,149,263,366,366
7,127,127,658,362,308,347,645,432,309,28,250,250,213,392,231,610,111,702,413,40,162,40,379,347,370
8,175,800,177,674,149,810,792,295,406,256,367,281,342,273,295,609,576,609,103,103,281,103,190,281,256
9,515,760,811,702,106,60,60,326,79,397,485,31,121,62,10,798,62,543,250,391,520,255,250,458,151
10,493,493,282,727,615,119,184,374,691,741,65,229,198,198,404,198,695,198,804,198,459,119,332,236,198
11,245,220,71,418,108,247,34,293,251,225,241,145,573,147,136,808,570,808,182,347,214,182,808,214,214
12,412,259,259,632,3,162,156,241,613,613,613,613,613,613,613,613,613,613,165,747,613,613,613,613,592
13,137,137,73,68,255,713,583,51,87,23,23,285,23,285,285,285,196,3,80,196,196,87,208,82,196
14,322,32,89,446,421,365,208,86,86,105,139,86,0,105,141,264,264,337,157,264,400,157,264,400,157
15,364,265,265,143,735,677,677,170,170,360,360,686,360,360,6,139,303,121,346,313,313,362,313,203,54
16,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,597,597,270,32,149,149,347,273,647,400,273,273,273,87,273,87,194,51,273,194,53,87,49,49,273
18,314,314,379,3,170,309,206,190,23,375,375,375,325,174,174,806,806,806,208,806,23,806,806,23,325
19,578,578,809,578,129,40,42,231,60,274,567,604,554,554,554,547,192,42,702,42,547,702,547,547,42
20,684,88,88,271,255,256,54,54,54,458,601,54,54,54,458,54,147,147,404,147,458,147,147,580,362
21,808,808,808,557,600,724,706,718,706,724,724,437,724,724,724,724,724,724,440,724,724,437,437,413,437
22,388,758,89,380,130,60,162,269,65,65,290,100,170,65,373,310,189,310,100,310,417,310,46,73,321
23,337,510,337,558,313,799,502,755,437,556,598,68,755,737,598,778,661,549,173,512,173,173,173,173,173
24,370,92,147,89,137,89,252,310,388,388,388,137,38,10,358,325,106,210,210,309,295,192,466,189,189
25,303,303,271,586,303,166,303,262,166,262,108,33,243,33,80,243,252,243,498,8,252,236,363,69,156
26,370,399,69,275,275,40,516,322,766,766,353,292,292,766,44,188,292,292,292,354,44,44,44,44,270
27,149,149,149,479,45,481,722,379,474,711,337,625,613,711,346,711,6,346,23,613,613,590,613,23,775
28,289,289,657,289,490,448,490,419,314,472,472,385,590,103,730,489,450,450,59,766,621,766,283,313,59
29,243,457,457,243,111,31,11,204,804,320,58,88,58,58,78,58,323,219,100,729,58,103,347,31,150
30,454,454,64,199,789,440,761,697,638,783,521,519,469,571,83,145,519,593,593,673,673,145,562,33,11
31,373,373,108,667,403,9,45,274,383,3,384,384,65,297,192,255,165,14,109,264,340,340,310,264,366
32,197,197,197,623,800,245,27,245,589,166,171,589,245,245,463,245,245,245,245,245,245,245,245,166,245
33,43,43,811,214,758,194,353,47,386,132,690,647,123,581,581,581,647,524,211,421,509,421,630,3,685
34,782,407,627,407,647,174,528,647,321,321,321,321,321,321,567,321,321,321,567,480,321,86,480,321,629
35,514,514,514,620,460,789,19,629,629,19,789,177,177,19,19,321,19,36,36,760,321,19,19,36,36
36,171,171,174,608,54,397,464,132,47,47,47,47,47,47,371,25,318,318,318,318,318,104,47,47,104
37,321,736,736,51,221,65,183,65,65,133,118,393,735,338,284,123,284,338,166,166,166,20,338,166,117
38,32,32,32,203,277,236,278,278,690,278,18,181,305,133,421,181,181,181,181,181,181,181,181,181,305
39,129,456,456,234,295,171,570,389,262,262,187,187,405,646,405,392,392,405,405,392,392,405,392,392,405
40,95,54,95,293,80,80,280,322,329,614,614,157,614,140,22,614,140,381,653,736,30,119,30,503,119
41,354,354,354,651,311,217,545,352,672,197,387,382,387,284,145,244,289,289,49,289,289,249,307,307,307
42,451,249,249,130,448,211,194,35,618,155,618,312,618,618,371,66,282,185,618,28,384,238,383,216,22
43,220,580,580,580,397,169,169,169,111,106,268,347,274,11,256,366,131,366,11,131,131,131,131,404,404
44,28,28,28,28,28,28,323,213,28,28,28,28,392,28,147,28,28,28,764,6,106,326,360,6,28
45,130,130,59,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,157,10,157,589,233,233,109,195,84,14,735,168,469,373,506,253,506,253,469,340,738,740,265,173,221
47,354,60,80,312,9,206,60,80,80,379,301,285,179,328,303,328,335,263,303,303,313,303,303,145,303
48,40,40,335,607,247,103,647,202,174,89,319,319,161,161,161,174,161,107,161,161,81,174,161,207,207
49,470,470,519,151,574,764,764,0,641,313,313,570,570,123,225,103,225,159,319,632,319,319,319,319,349
50,294,294,294,250,179,642,183,754,248,342,651,47,356,346,263,130,125,161,23,23,41,23,161,218,218
51,303,303,423,237,667,58,283,456,189,456,456,456,456,456,337,337,337,337,145,337,251,337,337,251,251
52,314,314,314,363,66,544,313,313,356,399,380,145,241,377,208,377,377,241,208,161,283,208,283,145,161
53,132,132,132,540,159,381,257,312,363,809,51,173,328,346,179,179,316,191,281,3,51,281,281,145,281
54,344,344,344,496,262,14,388,89,89,89,89,89,158,89,201,201,201,201,201,201,244,244,244,244,735
55,53,632,147,120,169,734,123,335,678,394,394,335,335,734,747,114,391,335,476,391,61,196,714,129,129
56,596,596,596,513,51,570,513,105,380,382,133,105,133,126,288,126,186,376,105,107,126,107,183,421,119
57,654,654,654,189,517,161,375,517,334,156,140,257,257,329,485,329,205,329,329,205,205,329,387,329,257
58,346,346,44,184,346,248,248,395,356,356,225,225,53,53,45,178,178,178,178,225,178,353,218,225,225
59,13,13,13,367,427,206,557,184,431,184,184,293,44,293,195,308,44,44,175,44,188,379,379,175,403
60,643,174,166,88,132,171,273,386,455,273,231,231,231,95,388,757,757,757,95,699,134,626,134,550,258
61,804,6,6,804,774,528,362,714,6,140,95,42,470,413,413,95,42,547,413,362,754,754,303,723,231
62,203,203,324,445,255,161,800,800,273,91,223,223,800,36,162,443,797,443,714,373,443,443,443,443,36
63,382,86,480,536,687,179,107,402,355,125,188,255,91,107,107,107,319,161,319,251,319,107,147,251,251
64,166,95,533,397,264,366,309,30,270,308,270,30,256,224,224,256,26,256,256,263,367,400,404,404,404
65,179,179,179,179,174,303,303,174,312,174,23,174,174,174,309,174,23,179,0,144,179,309,179,174,224
66,320,320,364,364,402,370,370,459,18,168,578,364,465,614,369,205,205,205,358,316,590,205,205,205,205
67,471,471,211,328,10,312,366,340,360,352,384,354,322,384,389,285,334,334,384,334,334,334,381,381,192
68,90,90,137,53,208,265,388,316,541,305,305,388,168,376,305,99,305,183,175,322,322,305,74,338,338
69,581,581,489,794,301,301,32,323,123,123,145,275,123,145,145,123,123,403,794,126,794,794,196,274,196
70,126,790,790,275,609,175,71,133,32,142,108,284,570,570,338,5,13,82,284,82,284,82,107,284,335
