ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24
0,53,53,422,121,408,126,150,263,208,53,131,263,53,53,53,53,53,53,53,53,53,53,53,53,53
1,278,338,583,301,750,619,263,35,53,100,53,53,53,53,53,53,53,53,53,53,225,53,53,53,53
2,53,53,22,13,686,280,318,339,213,613,53,147,100,53,147,53,53,147,53,53,53,53,53,53,53
3,347,347,347,245,432,6,42,347,220,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,347,347,293,370,347,35,496,309,42,6,347,334,24,395,187,347,347,187,347,347,347,347,347,347,347
5,423,597,773,140,129,208,131,362,213,347,35,347,224,347,131,347,347,347,347,347,347,347,347,347,347
6,752,166,307,174,170,88,159,224,129,129,208,303,395,208,255,370,370,65,65,370,12,370,65,370,132
7,810,292,746,578,200,567,147,334,364,364,364,42,42,28,42,42,28,28,28,31,325,31,31,325,31
8,495,309,654,51,217,736,789,251,384,100,115,207,318,202,202,275,275,202,275,275,251,251,251,275,251
9,347,347,368,261,261,276,247,71,534,714,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
10,347,347,261,261,261,440,592,170,110,261,649,450,296,296,286,296,296,296,511,541,74,511,511,261,261
11,347,261,261,261,558,328,281,80,23,182,385,159,260,283,242,86,261,416,261,261,261,261,261,261,261
12,432,78,309,259,327,222,208,342,15,462,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,133,618,354,87,107,293,102,51,51,125,125,125,87,125,273,125,543,139,664,273,139,139,139,139,572
14,229,779,470,758,454,479,177,36,15,342,15,281,273,15,15,15,15,15,15,15,15,15,15,15,15
15,347,347,203,86,203,634,362,80,203,329,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
16,347,105,72,203,206,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
17,347,347,91,283,203,584,203,203,203,329,203,225,225,225,225,225,225,225,203,225,225,203,203,203,225
18,347,231,45,231,593,137,114,283,190,148,257,283,231,231,231,231,231,231,231,231,231,231,231,231,231
19,347,231,231,35,479,474,93,75,35,144,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
20,347,347,102,231,231,200,100,53,53,303,53,53,91,231,231,231,231,231,231,231,231,231,231,231,231
21,347,347,352,241,368,638,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
22,347,347,440,390,174,6,340,221,277,384,240,240,240,236,240,137,798,368,368,368,368,368,247,368,368
23,347,347,261,368,261,69,271,221,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
24,347,347,130,66,36,149,381,251,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
25,347,347,184,261,261,347,185,223,80,80,80,101,80,80,80,80,80,80,80,80,80,80,80,80,80
26,347,347,261,261,368,683,205,147,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
27,347,323,737,323,580,93,171,312,23,93,131,146,102,323,20,20,20,323,20,323,323,323,323,323,323
28,347,347,351,52,185,195,195,83,245,187,334,22,334,14,323,323,323,323,22,323,323,323,323,323,323
29,347,347,80,261,261,618,347,323,323,147,109,364,323,364,323,323,323,323,323,323,323,323,323,323,323
30,99,245,366,245,184,711,45,245,197,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
31,66,245,245,347,139,84,103,347,6,187,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
32,347,368,411,245,784,385,245,14,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245
33,321,236,55,321,85,557,5,5,447,5,656,776,656,656,656,656,656,656,408,480,438,435,364,408,408
34,347,347,321,393,346,811,157,390,321,36,321,321,100,100,321,100,321,321,321,321,321,321,321,321,321
35,314,556,487,590,347,411,588,794,447,434,751,356,356,356,356,356,665,665,665,665,321,736,36,321,321
36,347,366,604,270,422,208,367,91,178,379,379,270,270,270,270,270,270,270,270,270,270,270,270,270,270
37,347,347,261,261,261,41,213,212,391,555,119,379,119,7,84,119,7,102,379,200,205,270,379,379,379
38,115,53,69,605,114,125,130,229,678,84,55,55,55,55,55,107,313,107,45,115,163,3,45,45,45
39,166,166,250,168,197,231,326,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
40,347,38,705,13,253,231,301,166,220,28,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
41,347,273,350,241,385,69,253,506,387,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166
42,347,347,261,28,28,10,60,192,105,224,65,71,28,129,65,28,28,28,327,28,28,28,28,28,28
43,592,569,599,210,713,174,360,171,93,334,31,28,28,28,28,28,28,28,28,28,28,28,28,28,28
44,309,375,562,259,264,68,759,28,28,223,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
45,766,667,74,711,134,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
46,347,347,80,170,77,7,96,20,130,20,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
47,792,130,674,185,139,714,162,339,70,70,70,22,162,162,162,206,147,130,130,130,130,130,130,130,130
48,318,161,100,321,165,11,80,241,241,161,161,161,207,161,161,161,161,161,207,161,207,161,161,161,161
49,347,86,540,79,455,738,391,248,248,35,301,103,103,161,103,161,103,103,103,161,103,161,207,161,349
50,14,737,259,145,161,334,103,140,161,361,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161
51,170,66,101,285,175,88,208,327,140,225,255,225,207,207,161,207,207,207,207,207,207,207,207,207,207
52,312,53,123,207,697,763,364,392,182,256,161,103,3,103,207,207,103,207,103,207,207,207,103,103,207
53,484,580,508,258,684,7,182,86,225,319,323,5,207,207,103,103,103,103,60,60,103,103,103,103,103
54,735,315,141,606,16,622,394,403,5,338,16,394,338,16,313,16,313,16,16,16,114,16,16,16,16
55,668,469,87,550,735,678,16,735,678,678,678,678,678,678,678,678,678,678,735,678,678,678,678,678,678
56,16,154,297,420,420,678,107,107,338,338,16,516,16,16,16,16,16,612,137,612,16,16,16,16,16
57,347,347,261,261,261,389,109,78,309,257,100,100,253,367,367,227,367,339,367,347,367,367,367,367,367
58,347,347,367,367,367,158,114,348,82,378,382,82,382,382,145,145,382,382,382,382,382,382,145,382,382
59,331,79,224,56,366,320,206,240,73,286,286,286,156,387,341,345,367,341,367,367,367,367,367,367,367
60,95,95,245,95,92,794,41,134,177,19,95,95,19,95,95,367,95,95,95,95,95,95,95,95,95
61,347,347,261,261,261,78,532,30,35,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
62,347,368,599,21,680,194,185,346,100,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
63,53,200,382,159,318,718,323,161,148,174,148,174,211,188,385,385,188,179,211,179,179,179,58,179,179
64,347,174,256,174,145,269,79,208,131,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
65,196,255,620,548,601,318,179,26,174,295,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
66,347,347,66,80,727,633,283,75,385,278,66,403,403,66,403,66,66,66,66,66,66,66,66,66,66
