Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	0	0.0	4.479	17.815	3.093	0.0	4.754	15.509	2.869
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	1	0.0	3.889	12.594	1.807	0.0	4.309	11.106	1.72
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	2	0.0	3.732	10.023	1.27	0.0	3.785	8.477	1.137
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	3	0.0	3.667	11.668	1.566	0.0	3.536	9.428	1.299
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	4	0.0	3.497	21.023	3.056	0.0	3.326	17.178	2.497
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	5	0.0	3.038	23.504	2.704	0.0	2.947	21.944	2.784
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	6	0.0	2.357	12.388	0.93	0.0	2.449	11.056	0.911
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	7	0.0	2.37	6.788	0.457	0.0	2.58	5.969	0.427
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	8	0.0	2.763	3.076	0.221	0.0	2.528	2.747	0.215
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	9	0.0	2.488	4.6	0.39	0.0	2.37	4.073	0.375
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	10	0.0	1.951	23.416	1.588	0.0	1.781	24.496	1.648
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	11	0.0	1.467	31.932	2.239	0.0	1.624	35.516	2.406
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	12	0.0	1.506	32.271	1.793	0.0	1.532	35.903	1.896
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	13	0.0	1.977	30.335	1.189	0.0	1.755	31.667	1.245
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	14	0.0	1.794	12.886	0.525	0.0	1.977	14.148	0.642
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	15	0.0	2.004	5.988	0.298	0.0	2.174	7.275	0.407
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	16	0.0	2.41	4.063	0.248	0.0	2.2	5.214	0.344
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	17	0.0	2.606	2.969	0.209	0.0	2.645	3.815	0.292
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	18	0.0	3.117	2.07	0.165	0.0	3.143	2.564	0.217
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	19	0.0	3.837	1.439	0.132	0.0	3.759	1.69	0.163
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	20	0.0	4.348	1.071	0.11	0.0	4.492	1.188	0.131
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	21	0.0	5.016	0.894	0.095	0.0	4.701	0.942	0.111
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	22	0.0	4.806	0.837	0.087	0.0	4.584	0.857	0.101
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	23	0.0	4.073	0.828	0.085	0.0	4.007	0.845	0.097
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	24	0.0	3.549	0.849	0.088	0.0	3.588	0.874	0.098
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	25	0.0	3.195	0.899	0.092	0.0	3.431	0.932	0.102
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	26	0.0	2.96	0.979	0.099	0.0	2.803	1.012	0.108
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	27	0.0	2.737	1.072	0.112	0.0	2.789	1.098	0.115
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	28	0.0	2.645	1.149	0.124	0.0	2.383	1.169	0.126
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	29	0.0	2.645	1.197	0.136	0.0	2.554	1.216	0.138
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	30	0.0	2.75	1.246	0.149	0.0	2.803	1.266	0.151
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	31	0.0	2.724	1.293	0.166	0.0	2.907	1.319	0.166
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	32	0.0	2.907	1.343	0.181	0.0	2.933	1.371	0.185
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	33	0.0	3.208	1.391	0.201	0.0	2.947	1.42	0.208
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	34	0.0	3.614	1.439	0.228	0.0	3.248	1.468	0.232
coat_lite_small	configs/coat_lite_small/config_coat_lite_small_CosFace_Adam.yaml	222	35	0.0	3.916	1.485	0.254	0.0	3.156	1.512	0.259
