Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	0	0.0	5.382	17.4	3.692	0.0	5.631	17.073	3.409
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	1	0.0	4.597	30.202	5.658	0.0	5.003	29.018	5.335
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	2	0.0	5.448	11.096	2.271	0.0	5.265	10.688	2.132
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	3	0.0	6.286	12.516	2.99	0.0	6.43	12.064	2.808
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	4	0.0	7.74	15.875	4.425	0.0	7.779	15.076	4.087
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	5	0.0	9.521	20.025	6.458	0.0	9.416	18.678	5.832
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	6	0.0	12.061	23.129	8.591	0.0	11.76	21.298	7.601
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	7	0.0	15.61	24.499	10.449	0.0	14.51	22.311	9.043
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	8	0.0	21.464	25.146	12.291	0.0	17.981	22.587	10.314
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	9	0.0	29.007	25.865	14.476	0.0	22.355	22.774	11.641
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	10	0.0	37.834	27.629	17.757	0.0	27.711	23.696	13.5
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	11	0.0	47.905	30.2	22.158	0.0	34.586	25.447	16.045
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	12	0.0	57.006	33.299	27.747	0.0	42.025	28.25	19.694
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	13	0.0	65.545	36.089	33.759	0.0	49.908	31.555	24.358
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	14	0.0	72.826	38.208	39.532	0.0	57.727	34.847	29.687
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	15	0.0	78.588	39.683	44.779	0.0	64.563	37.801	35.397
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	16	0.0	83.119	40.55	49.087	0.0	70.953	40.011	40.742
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	17	0.0	86.577	41.071	52.578	0.0	75.969	41.598	45.494
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	18	0.0	89.065	41.336	55.291	0.0	80.094	42.632	49.357
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	19	0.0	90.794	41.477	57.519	0.0	83.368	43.283	52.478
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	20	0.0	92.182	41.54	59.336	0.0	85.726	43.729	55.069
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	21	0.0	93.164	41.583	60.766	0.0	87.703	44.03	57.105
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	22	0.0	93.832	41.612	61.969	0.0	89.183	44.242	58.764
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	23	0.0	94.316	41.643	62.997	0.0	90.296	44.428	60.206
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	24	0.0	94.827	41.706	63.897	0.0	91.056	44.601	61.431
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	25	0.0	95.115	41.745	64.674	0.0	91.671	44.737	62.428
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	26	0.0	95.299	41.785	65.317	0.0	92.116	44.844	63.24
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	27	0.0	95.482	41.831	65.861	0.0	92.601	44.982	64.021
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	28	0.0	95.652	41.888	66.333	0.0	93.098	45.099	64.667
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	29	0.0	95.757	41.947	66.757	0.0	93.164	45.233	65.287
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	30	0.0	95.888	42.006	67.152	0.0	93.439	45.369	65.868
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	31	0.0	95.914	42.089	67.493	0.0	93.518	45.526	66.375
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	32	0.0	96.097	42.165	67.805	0.0	93.688	45.683	66.845
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	33	0.0	96.215	42.243	68.089	0.0	93.858	45.819	67.248
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	34	0.0	96.15	42.32	68.34	0.0	93.884	45.965	67.644
coat_lite_small	configs_unified_lr/coat_lite_small/config_coat_lite_small_CosFace_AdamW_0.001_cosine.yaml	222	35	0.0	96.176	42.408	68.56	0.0	94.028	46.114	67.992
