ids,epoch_0
0,54
1,86
2,198
3,743
4,210
5,375
6,797
7,731
8,731
9,256
10,754
11,191
12,384
13,546
14,354
15,26
16,213
17,247
18,148
19,503
20,223
21,826
22,793
23,427
24,318
25,204
26,533
27,306
28,402
29,745
30,418
31,478
32,585
33,819
34,359
35,275
36,681
37,489
38,255
39,730
40,6
41,348
42,375
43,49
44,63
45,376
46,244
47,214
48,370
49,49
50,51
51,261
52,558
53,193
54,279
55,454
56,74
57,297
58,814
59,72
60,458
61,769
62,452
63,247
64,272
65,643
66,261
67,542
68,704
69,57
70,840
71,677
72,524
73,77
74,128
75,162
76,174
77,359
78,265
79,538
80,82
81,709
82,200
83,551
84,507
85,506
86,613
87,435
88,261
89,91
90,759
91,855
92,237
93,859
94,199
95,380
96,475
97,690
98,564
99,332
100,29
101,606
102,316
103,348
104,812
105,169
106,210
107,101
108,795
109,751
110,394
111,196
112,569
113,452
114,621
115,143
116,868
117,119
118,480
119,862
120,619
121,640
122,870
123,205
124,67
125,582
126,609
127,266
128,456
129,418
130,682
131,815
132,109
133,132
134,430
135,405
136,243
137,459
138,259
139,752
140,140
141,828
142,858
143,562
144,269
145,542
146,586
147,413
148,264
149,714
150,32
151,73
152,787
153,495
154,838
155,370
156,819
157,347
158,98
159,556
160,139
161,279
162,102
163,473
164,234
165,134
166,26
167,580
168,295
169,75
170,469
171,435
172,754
173,275
174,717
175,87
176,6
177,787
178,101
179,101
180,556
181,181
182,344
183,651
184,585
185,684
186,182
187,793
188,321
189,398
190,365
191,295
192,823
193,554
194,371
195,522
196,98
197,792
198,265
199,258
200,16
201,290
202,404
203,465
204,418
205,458
206,1
207,161
208,401
209,761
210,488
211,159
212,260
213,361
214,16
215,182
216,353
217,500
218,827
219,583
220,659
221,619
222,228
223,297
224,26
225,376
226,63
227,204
228,220
229,240
230,744
231,319
232,188
233,522
234,791
235,7
236,291
237,253
238,589
239,683
240,418
241,130
242,754
243,196
244,65
245,348
246,455
247,236
248,232
249,204
250,377
251,462
252,715
253,530
254,261
255,571
256,321
257,320
258,393
259,391
260,292
261,121
262,595
263,37
264,128
265,117
266,128
267,267
268,58
269,407
270,320
271,611
272,683
273,783
274,378
275,368
276,131
277,252
278,771
279,699
280,596
281,794
282,212
283,767
284,617
285,408
286,687
287,374
288,208
289,430
290,290
291,77
292,696
293,95
294,454
295,457
296,866
297,733
298,704
299,21
300,597
301,210
302,522
303,27
304,488
305,716
306,511
307,753
308,868
309,446
310,542
311,523
312,139
313,512
314,449
315,338
316,508
317,733
318,875
319,39
320,184
321,826
322,515
323,712
324,570
325,102
326,796
327,335
328,135
329,65
330,573
331,361
332,588
333,773
334,326
335,275
336,74
337,650
338,401
339,181
340,529
341,436
342,580
343,733
344,43
345,225
346,79
347,75
348,605
349,873
350,501
351,318
352,92
