ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14
0,231,24,24,59,99,59,59,59,59,59,59,59,59,59,59
1,437,531,663,59,59,59,59,59,59,59,59,59,59,59,59
2,561,561,561,59,59,59,59,59,59,59,59,59,59,59,59
3,313,313,313,99,59,59,59,99,59,59,59,59,59,59,59
4,320,367,309,156,99,59,59,162,59,59,59,59,59,59,59
5,828,88,196,99,59,59,59,99,59,272,59,59,59,59,59
6,259,764,764,162,59,59,59,59,59,59,59,59,59,59,59
7,648,422,422,162,59,99,59,59,59,59,59,59,59,59,59
8,787,787,261,380,59,59,59,162,59,59,59,59,59,59,59
9,632,632,413,391,59,59,59,59,59,59,59,59,59,59,59
10,70,70,70,144,59,59,59,162,59,59,59,59,59,59,59
11,251,144,144,144,59,59,59,162,59,59,59,59,59,59,59
12,563,563,563,298,59,59,59,59,59,99,59,59,59,59,59
13,575,575,575,324,99,59,59,59,59,345,59,59,59,59,59
14,825,459,459,54,59,59,59,59,59,144,59,59,59,59,59
15,314,611,362,166,59,59,59,59,59,59,59,59,59,59,59
16,139,139,178,300,59,59,59,99,59,59,59,59,59,59,59
17,300,247,247,300,59,59,59,59,59,59,59,59,59,59,59
18,493,382,382,169,59,59,59,59,59,59,59,59,59,59,59
19,540,540,540,272,59,59,59,162,59,59,59,59,59,59,59
20,491,491,491,139,59,59,59,59,59,59,59,59,59,59,59
21,467,853,467,324,59,59,59,59,59,144,59,59,59,59,59
22,420,469,326,54,59,59,59,59,59,430,59,59,59,59,59
23,692,286,7,35,59,59,59,59,59,59,59,59,59,59,59
24,482,482,628,313,59,59,59,99,59,59,59,59,59,59,59
25,204,396,396,430,59,59,59,99,59,59,59,59,59,59,59
26,698,556,556,430,59,59,59,59,59,59,59,59,59,59,59
27,306,306,306,306,59,59,59,99,59,59,59,59,59,59,59
28,483,706,644,391,59,59,59,59,59,54,59,59,59,59,59
29,571,454,319,306,162,59,59,162,59,59,59,59,59,59,59
30,769,418,418,99,59,59,59,162,59,59,59,59,59,59,59
31,385,385,385,166,59,59,59,59,59,59,59,59,59,59,59
32,115,98,438,166,59,59,59,59,59,59,59,59,59,59,59
33,51,51,51,166,59,59,59,59,59,59,59,59,59,59,59
34,241,256,773,72,59,59,59,59,59,306,59,59,59,59,59
35,192,17,205,72,59,59,59,99,59,59,59,59,59,59,59
36,393,4,4,369,59,272,59,59,59,59,59,59,59,59,59
37,143,43,261,306,99,59,59,59,59,59,59,59,59,59,59
38,513,869,869,238,59,59,59,59,59,59,59,59,59,59,59
39,333,371,823,54,59,59,59,59,59,300,59,59,59,59,59
40,6,6,317,78,59,59,59,59,59,59,59,59,59,59,59
41,156,87,240,78,59,59,59,162,59,59,59,59,59,59,59
42,65,458,254,49,99,59,59,59,59,59,59,59,59,59,59
43,49,49,49,49,59,59,59,59,59,59,59,59,59,59,59
44,670,365,670,49,59,59,59,99,59,59,59,59,59,59,59
45,778,97,97,7,59,59,59,59,59,59,59,59,59,59,59
46,438,802,802,78,59,59,59,59,59,50,59,59,59,59,59
47,720,720,720,179,99,99,59,59,59,59,59,59,59,59,59
48,575,625,200,430,59,59,59,59,59,59,59,59,59,59,59
49,103,338,481,313,59,59,59,59,59,59,59,59,59,59,59
50,140,697,666,313,59,59,59,59,59,99,59,59,59,59,59
51,261,215,733,408,59,59,59,99,59,59,59,59,59,59,59
52,262,738,718,59,59,59,59,59,59,59,59,59,59,59,59
53,279,284,284,308,59,59,59,59,59,59,59,59,59,59,59
54,361,361,361,298,59,59,59,59,59,59,59,59,59,59,59
55,841,834,834,49,59,59,59,162,59,59,59,59,59,59,59
56,465,418,559,300,59,59,59,162,59,59,59,59,59,59,59
57,429,429,151,410,300,59,59,59,59,306,59,59,59,59,59
58,484,484,825,234,59,59,59,59,59,59,59,59,59,59,59
59,209,792,792,410,99,59,59,99,59,59,59,59,59,59,59
60,331,487,679,345,59,99,59,99,59,59,59,59,59,59,59
61,444,8,362,415,99,59,59,59,59,59,59,59,59,59,59
62,55,452,452,415,59,59,59,59,59,59,59,59,59,59,59
63,169,533,291,410,59,59,59,59,59,59,59,59,59,59,59
64,382,333,253,148,59,59,59,59,59,59,59,59,59,59,59
65,178,783,783,148,59,59,59,59,59,59,59,59,59,59,59
66,443,527,561,7,59,59,59,162,59,59,59,59,59,59,59
67,665,71,71,359,59,59,59,59,59,59,59,59,59,59,59
68,704,686,22,238,99,99,59,99,59,59,59,59,59,59,59
69,57,203,26,377,59,59,59,59,59,162,59,59,59,59,59
70,789,834,834,92,59,59,59,162,59,59,59,59,59,59,59
71,273,267,420,109,59,162,59,59,59,306,162,59,59,59,59
72,522,74,74,218,59,59,59,99,59,59,59,59,59,59,59
73,842,272,687,277,59,59,59,59,59,99,59,59,59,59,59
74,39,875,540,99,162,99,59,59,59,99,59,59,59,59,59
75,17,424,424,78,59,59,59,59,59,59,59,59,59,59,59
76,825,331,249,359,59,59,59,59,59,162,59,59,59,59,59
77,359,359,359,359,144,59,59,59,59,59,59,59,59,59,59
78,350,593,156,31,59,59,59,59,59,99,59,59,59,59,59
79,50,617,60,229,59,59,59,59,59,99,59,59,59,59,59
80,282,282,282,175,59,59,59,99,59,59,59,59,59,59,59
