Model	config_file	seed	epoch
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	0
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	1
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	2
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	3
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	4
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	5
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	6
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	7
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	8
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	9
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	10
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	11
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	12
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	13
convnext_large_384_in22ft1k	configs_unified_lr/convnext_large_384_in22ft1k/config_convnext_large_384_in22ft1k_MagFace_SGD_0.1_cosine.yaml	222	14
