Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	0	0.0	3.614	15.39	5.134	0.0	3.68	14.982	4.977
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	1	0.0	4.164	15.298	5.076	0.0	3.876	14.832	4.921
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	2	0.0	4.413	14.92	4.991	0.0	4.138	14.429	4.817
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	3	0.0	4.767	14.305	4.803	0.0	4.767	13.883	4.648
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	4	0.0	5.867	13.924	4.603	0.0	5.461	13.503	4.479
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	5	0.0	5.788	13.351	4.333	0.0	5.749	12.902	4.215
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	6	0.0	6.548	12.713	4.138	0.0	6.666	12.311	4.017
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	7	0.0	6.823	12.393	3.961	0.0	6.993	12.008	3.821
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	8	0.0	7.072	11.953	3.804	0.0	7.203	11.681	3.663
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	9	0.0	7.596	11.706	3.675	0.0	7.425	11.452	3.522
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	10	0.0	7.923	11.582	3.61	0.0	7.871	11.357	3.459
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	11	0.0	7.988	11.314	3.527	0.0	8.119	11.155	3.36
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	12	0.0	8.499	11.163	3.491	0.0	8.499	11.118	3.336
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	13	0.0	8.591	11.08	3.478	0.0	8.617	11.028	3.323
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	14	0.0	8.853	10.865	3.421	0.0	8.591	10.84	3.26
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	15	0.0	9.128	10.613	3.393	0.0	8.866	10.64	3.244
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	16	0.0	9.141	10.472	3.375	0.0	8.63	10.501	3.227
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	17	0.0	9.102	10.287	3.356	0.0	8.853	10.361	3.215
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	18	0.0	9.691	9.974	3.288	0.0	9.233	10.049	3.137
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	19	0.0	9.573	9.85	3.284	0.0	9.39	9.945	3.145
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	20	0.0	9.887	9.608	3.239	0.0	9.259	9.707	3.105
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	21	0.0	10.136	9.371	3.187	0.0	9.521	9.483	3.053
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	22	0.0	10.241	9.151	3.147	0.0	9.665	9.275	3.024
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	23	0.0	10.385	8.976	3.107	0.0	9.861	9.105	2.992
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	24	0.0	10.673	8.617	3.011	0.0	10.097	8.735	2.895
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	25	0.0	10.883	8.424	2.973	0.0	10.149	8.558	2.87
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	26	0.0	11.053	8.136	2.894	0.0	10.32	8.273	2.794
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	27	0.0	11.223	7.879	2.826	0.0	10.149	8.019	2.728
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	28	0.0	11.262	7.652	2.76	0.0	10.503	7.786	2.661
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	29	0.0	11.498	7.405	2.687	0.0	10.503	7.546	2.594
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	30	0.0	11.511	7.103	2.595	0.0	10.883	7.242	2.503
cspdarknet53	configs_multi/cspdarknet53/config_cspdarknet53_ArcFace_SGD.yaml	222	31	0.0	11.747	6.844	2.508	0.0	10.948	6.967	2.417
