Model	config_file	seed	epoch
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	0
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	1
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	2
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	3
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	4
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	5
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	6
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	7
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	8
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	9
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	10
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	11
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	12
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	13
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	14
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	15
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	16
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	17
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	18
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	19
densenet161	configs_unified_lr/densenet161/config_densenet161_ArcFace_AdamW_0.001_cosine.yaml	222	20
