Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	0	0.0	4.047	20.018	3.683	0.0	3.536	22.603	3.832
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	1	0.0	4.426	21.009	3.945	0.0	3.889	22.27	3.996
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	2	0.0	7.622	21.289	6.867	0.0	6.155	23.45	6.87
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	3	0.0	13.659	24.708	10.692	0.0	10.49	25.625	9.673
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	4	0.0	27.593	30.693	18.456	0.0	19.84	30.76	16.06
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	5	0.0	35.673	37.161	25.064	0.0	25.485	36.177	21.123
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	6	0.0	42.051	38.918	27.965	0.0	31.103	38.381	24.678
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	7	0.0	49.083	40.148	30.824	0.0	35.961	41.358	28.418
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	8	0.0	54.61	39.992	32.022	0.0	40.178	41.753	29.477
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	9	0.0	56.679	39.747	32.374	0.0	41.75	42.448	30.886
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	10	0.0	60.516	40.743	34.43	0.0	43.347	42.949	31.18
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	11	0.0	57.871	42.888	34.839	0.0	42.902	44.873	31.934
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	12	0.0	59.324	43.103	35.262	0.0	46.438	44.606	33.03
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	13	0.0	65.925	42.407	37.639	0.0	51.362	43.769	34.264
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	14	0.0	69.068	41.719	38.025	0.0	54.047	43.97	35.196
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	15	0.0	69.762	41.825	38.199	0.0	54.597	43.675	34.932
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	16	0.0	69.814	42.23	39.18	0.0	55.251	44.092	36.036
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	17	0.0	71.608	42.582	39.948	0.0	58.159	44.234	36.5
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	18	0.0	63.515	43.716	37.993	0.0	49.398	43.42	33.259
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	19	0.0	72.892	43.118	41.177	0.0	58.578	44.939	37.405
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	20	0.0	70.312	44.52	41.497	0.0	58.263	45.753	37.384
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	21	0.0	76.755	42.432	41.949	0.0	62.624	44.454	38.209
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	22	0.0	68.243	45.11	41.276	0.0	56.535	45.622	37.387
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	23	0.0	71.857	44.771	42.643	0.0	59.848	46.137	38.844
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	24	0.0	77.881	43.262	43.328	0.0	63.449	45.581	39.62
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	25	0.0	73.009	45.029	43.453	0.0	61.354	45.995	39.016
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	26	0.0	73.009	44.207	42.786	0.0	63.122	44.868	38.7
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	27	0.0	76.126	44.677	44.699	0.0	62.258	46.631	40.238
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	28	0.0	72.538	45.02	43.103	0.0	57.216	47.277	38.676
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	29	0.0	75.34	44.644	44.212	0.0	62.782	46.236	39.929
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	30	0.0	61.917	46.878	39.362	0.0	55.173	46.662	36.317
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	31	0.0	79.937	43.447	44.925	0.0	67.679	44.983	40.432
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	32	0.0	80.553	43.621	45.75	0.0	68.4	45.434	41.412
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	33	0.0	81.587	42.783	45.07	0.0	68.531	44.467	40.297
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	34	0.0	79.754	44.169	46.013	0.0	66.75	46.631	41.904
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	35	0.0	81.496	43.38	45.742	0.0	66.488	46.288	41.162
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	36	0.0	80.893	44.159	46.614	0.0	67.012	46.596	42.318
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	37	0.0	76.087	44.87	44.657	0.0	64.235	45.824	40.332
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	38	0.0	81.784	43.671	46.514	0.0	68.622	46.12	42.308
densenet161	configs_unified_lr/densenet161/config_densenet161_CosFace_AdamW_0.001_cosine.yaml	222	39	0.0	80.448	44.275	46.501	0.0	66.331	46.588	41.821
