ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6
0,6905,4118,2852,3345,2836,2843,1841
1,1849,6186,23,3345,965,2843,3189
2,1849,1438,723,2804,3518,1342,2217
3,1849,1438,4330,3300,902,1303,1489
4,1849,1882,723,284,198,1303,1489
5,1849,1882,597,3372,540,1912,1489
6,337,4592,1586,5220,2137,2521,3399
7,5391,6548,2118,858,2154,334,4330
8,4843,6165,3297,1174,20,1330,3399
9,6602,1882,5434,1972,1594,837,444
10,1849,1882,576,1011,3142,238,444
11,1849,1882,6236,2362,2740,238,1633
12,3073,4272,3131,2002,965,1850,777
13,1849,4272,6103,379,151,2577,1146
14,6172,2468,23,1966,2836,2836,3298
15,1849,1882,1891,1011,20,820,1567
16,3556,1882,1410,2356,1613,1091,2847
17,6172,4931,2646,3526,3233,1303,2636
18,6602,3288,703,737,2859,1267,3152
19,3556,4931,3545,3526,6041,1729,2689
20,1849,6186,23,5023,2994,4147,1803
21,1849,3354,1586,537,2974,2616,2194
22,1768,6256,3147,2453,20,810,1787
23,1849,2708,6103,2002,2649,1946,1946
24,6172,6548,3131,1033,85,1198,3122
25,1849,609,3516,718,132,360,3419
26,1849,609,1111,2131,1884,360,2673
27,6172,6548,3545,4900,2154,1809,3339
28,4046,3354,1586,148,923,5423,6062
29,337,782,5434,1174,3017,894,1381
30,6602,1882,2660,2362,1728,360,2696
31,1849,1882,873,24,1245,2942,3512
32,3556,4931,715,1011,1816,360,2696
33,1849,609,715,1177,1728,1595,2700
34,1849,1455,904,148,1273,3331,1681
35,3556,1455,4313,148,2649,1753,1681
36,3556,4760,4910,170,413,3030,3293
37,1849,1882,3545,1433,2338,119,1082
38,4199,609,2737,1384,2214,2163,772
39,1849,3354,3004,457,2734,1789,2388
40,3971,4343,3759,5220,2740,2120,448
41,6373,4118,6579,3823,437,1809,1615
42,3556,782,2865,698,921,323,418
43,1849,1438,23,3326,1525,405,418
44,6602,2848,23,2060,2733,3262,418
45,1849,1438,3368,197,5768,2101,154
46,1849,6548,23,1498,132,1298,2779
47,1849,2848,3112,197,132,1298,2068
48,1849,1882,5538,2720,1357,2464,1489
49,337,4118,1586,1174,1992,1368,155
50,5391,6548,5659,1174,355,1595,3082
51,1849,3288,703,3372,1758,4864,1113
52,1849,609,3303,4081,1992,1926,2702
