Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	0	0.0	6.116	45.415	14.858	0.0	6.378	42.647	13.739
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	1	0.0	27.685	41.447	27.035	0.0	21.477	41.268	25.271
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	2	0.0	53.117	38.371	32.486	0.0	38.672	39.896	30.092
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	3	0.0	66.54	41.19	40.093	0.0	53.313	41.782	35.937
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	4	0.0	77.004	42.308	46.585	0.0	63.973	44.598	43.116
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	5	0.0	82.923	42.467	49.391	0.0	70.705	43.015	43.181
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	6	0.0	88.449	41.335	51.553	0.0	79.466	44.767	49.788
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	7	0.0	91.16	41.074	53.689	0.0	83.46	43.705	50.225
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	8	0.0	92.928	41.693	57.192	0.0	86.799	43.699	52.084
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	9	0.0	94.199	41.681	59.206	0.0	89.248	44.94	57.077
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	10	0.0	95.01	41.359	60.033	0.0	90.388	44.369	57.602
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	11	0.0	95.534	41.168	60.629	0.0	91.291	43.907	57.47
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	12	0.0	95.796	40.641	59.993	0.0	92.012	43.5	57.764
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	13	0.0	96.517	40.796	62.22	0.0	93.112	43.957	60.191
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	14	0.0	96.674	40.054	61.462	0.0	93.701	43.336	59.599
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	15	0.0	96.739	40.019	62.095	0.0	94.12	43.095	60.398
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	16	0.0	97.132	40.176	63.029	0.0	94.395	43.456	61.448
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	17	0.0	97.093	40.758	64.656	0.0	94.605	43.755	62.927
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	18	0.0	96.805	39.661	62.513	0.0	94.866	42.838	61.4
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	19	0.0	97.184	40.657	65.102	0.0	95.128	43.871	63.847
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	20	0.0	97.407	40.423	65.034	0.0	95.194	43.48	63.123
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	21	0.0	97.119	40.387	64.548	0.0	94.932	43.469	62.84
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	22	0.0	97.459	40.492	65.596	0.0	95.443	43.588	63.534
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	23	0.0	97.643	40.576	65.915	0.0	95.639	43.613	64.159
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	24	0.0	97.42	40.574	65.158	0.0	95.377	43.238	62.694
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	25	0.0	97.577	40.408	65.659	0.0	95.665	43.643	64.329
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	26	0.0	97.577	41.04	67.212	0.0	95.482	44.039	65.244
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	27	0.0	97.748	40.768	66.597	0.0	95.731	43.955	65.364
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	28	0.0	97.682	40.903	66.431	0.0	95.665	44.039	65.417
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	29	0.0	97.446	40.809	66.902	0.0	95.561	44.061	65.575
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	30	0.0	97.577	40.894	66.746	0.0	95.652	44.163	65.431
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	31	0.0	97.734	41.209	67.446	0.0	95.849	44.151	65.146
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	32	0.0	97.669	41.06	67.41	0.0	95.613	44.704	66.644
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	33	0.0	97.342	41.475	67.004	0.0	95.508	44.317	64.577
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	34	0.0	97.787	41.198	67.33	0.0	95.705	44.578	65.764
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	35	0.0	97.682	41.349	67.104	0.0	95.94	44.583	66.029
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	36	0.0	97.381	41.27	66.693	0.0	95.547	44.797	65.856
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	37	0.0	97.656	41.693	67.78	0.0	95.312	44.986	66.344
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	38	0.0	97.708	41.905	68.629	0.0	95.469	45.289	67.55
dpn107	configs_unified_lr/dpn107/config_dpn107_CosFace_SGD_0.1_cosine.yaml	222	39	0.0	97.656	41.702	66.96	0.0	95.272	45.152	66.092
