Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	0	0.0	24.345	40.973	26.765	0.0	19.709	41.592	25.02
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	1	0.0	55.605	39.035	35.312	0.0	40.794	42.074	33.906
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	2	0.0	74.109	36.954	39.199	0.0	59.796	39.839	37.542
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	3	0.0	84.874	37.317	46.03	0.0	72.04	38.01	39.51
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	4	0.0	89.104	35.978	47.35	0.0	79.662	36.809	41.129
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	5	0.0	92.247	36.198	51.181	0.0	85.071	37.553	45.499
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	6	0.0	93.937	36.628	54.619	0.0	88.109	39.333	51.696
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	7	0.0	94.539	36.714	56.28	0.0	90.139	38.483	51.634
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	8	0.0	95.43	36.087	56.375	0.0	91.409	38.046	52.182
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	9	0.0	96.255	35.991	57.967	0.0	92.3	38.63	55.1
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	10	0.0	95.953	36.003	58.576	0.0	93.269	38.804	56.94
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	11	0.0	96.726	36.085	59.795	0.0	93.871	39.081	58.1
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	12	0.0	96.909	35.728	59.943	0.0	94.225	38.691	58.147
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	13	0.0	96.805	36.054	60.418	0.0	94.421	38.345	57.795
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	14	0.0	96.883	36.132	60.736	0.0	94.29	39.158	59.285
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	15	0.0	97.328	36.112	61.5	0.0	94.487	38.839	59.231
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	16	0.0	97.197	36.155	62.207	0.0	95.141	39.259	60.331
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	17	0.0	96.975	36.611	62.125	0.0	94.5	38.931	59.408
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	18	0.0	97.053	36.205	61.314	0.0	94.945	39.12	60.387
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	19	0.0	97.263	36.28	62.345	0.0	94.853	39.362	60.347
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	20	0.0	97.106	36.621	62.19	0.0	94.696	39.565	60.196
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	21	0.0	97.184	37.018	62.96	0.0	94.788	40.19	61.703
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	22	0.0	96.765	37.294	62.869	0.0	94.199	40.498	61.756
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	23	0.0	96.844	37.677	63.76	0.0	94.5	41.172	62.877
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	24	0.0	97.001	37.73	63.335	0.0	94.316	41.3	62.412
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	25	0.0	96.765	37.904	63.045	0.0	93.897	41.241	61.724
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	26	0.0	96.778	38.273	63.298	0.0	93.609	42.031	62.54
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	27	0.0	96.621	38.838	63.444	0.0	93.504	42.235	61.968
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	28	0.0	96.307	38.926	63.433	0.0	93.622	42.554	62.57
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	29	0.0	96.163	39.489	63.715	0.0	93.033	42.932	63.078
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	30	0.0	96.124	39.124	62.751	0.0	92.535	43.163	62.161
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	31	0.0	96.097	39.963	63.777	0.0	92.26	43.554	62.482
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	32	0.0	95.888	39.73	62.558	0.0	92.103	43.7	62.221
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	33	0.0	95.115	40.828	63.734	0.0	91.37	44.184	61.867
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	34	0.0	96.006	40.781	63.978	0.0	91.16	44.401	62.549
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	35	0.0	95.233	40.79	63.591	0.0	91.173	44.84	62.492
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	36	0.0	95.037	41.39	63.417	0.0	90.938	45.061	62.186
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	37	0.0	94.775	41.464	63.249	0.0	90.505	45.03	61.951
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	38	0.0	94.906	41.549	63.106	0.0	89.942	45.515	62.022
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	39	0.0	94.447	42.283	63.987	0.0	89.694	46.36	63.093
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	40	0.0	94.369	42.189	63.034	0.0	88.738	46.23	62.604
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	41	0.0	94.29	42.547	63.627	0.0	88.214	46.783	62.57
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	42	0.0	93.753	42.592	63.45	0.0	88.594	46.585	62.009
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	43	0.0	93.347	43.228	63.803	0.0	87.467	46.785	61.16
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	44	0.0	93.531	43.369	63.77	0.0	87.271	47.177	61.946
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	45	0.0	92.915	43.833	62.892	0.0	86.564	47.076	60.723
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	46	0.0	92.745	43.567	62.44	0.0	86.433	47.619	61.448
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	47	0.0	92.653	43.785	63.703	0.0	86.564	47.736	62.093
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	48	0.0	93.072	43.682	62.977	0.0	86.38	47.501	60.728
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	49	0.0	92.902	43.857	62.953	0.0	85.935	47.773	61.561
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	50	0.0	92.208	43.38	60.978	0.0	85.333	47.475	59.72
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	51	0.0	91.069	44.432	62.366	0.0	84.455	47.966	59.689
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	52	0.0	91.54	44.758	62.437	0.0	84.809	48.392	60.613
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	53	0.0	91.985	44.485	62.559	0.0	84.717	48.325	60.223
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	54	0.0	92.038	44.651	62.931	0.0	84.481	48.049	59.699
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	55	0.0	91.54	44.896	62.666	0.0	83.512	47.753	58.392
dpn107	configs_unified_lr/dpn107/config_dpn107_MagFace_SGD_0.1_cosine.yaml	222	56	0.0	91.737	44.738	61.928	0.0	83.683	47.875	58.952
