Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	0	0.0	16.278	24.051	11.543	0.0	12.768	24.617	11.006
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	1	0.0	49.057	20.14	15.329	0.0	36.747	19.542	12.918
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	2	0.0	56.823	7.512	6.121	0.0	42.247	8.069	5.593
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	3	0.0	62.205	8.872	7.739	0.0	47.145	9.859	7.405
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	4	0.0	66.082	8.948	8.267	0.0	53.104	10.132	8.172
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	5	0.0	69.316	9.283	8.912	0.0	55.016	10.117	8.477
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	6	0.0	71.412	9.257	9.312	0.0	57.975	10.336	8.956
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	7	0.0	73.232	9.37	9.551	0.0	60.83	10.44	9.329
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	8	0.0	74.319	9.275	9.732	0.0	62.952	10.575	9.612
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	9	0.0	75.301	9.604	10.306	0.0	64.759	10.543	9.908
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	10	0.0	76.964	9.392	10.244	0.0	66.867	10.335	9.977
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	11	0.0	77.933	9.631	10.556	0.0	68.046	10.45	10.169
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	12	0.0	78.523	9.53	10.621	0.0	70.312	10.566	10.573
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	13	0.013	78.981	9.668	10.943	0.0	70.953	10.509	10.562
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	14	0.0	80.16	9.58	10.826	0.0	72.027	10.537	10.759
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	15	0.0	79.243	9.598	10.918	0.0	72.001	10.662	10.943
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	16	0.0	80.775	9.903	11.526	0.0	72.63	10.786	11.236
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	17	0.0	80.841	9.649	11.324	0.0	73.127	10.732	11.204
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	18	0.026	81.443	9.746	11.489	0.0	74.175	10.851	11.392
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	19	0.013	81.482	9.733	11.456	0.0	74.555	10.668	11.384
ese_vovnet39b	configs_multi/ese_vovnet39b/config_ese_vovnet39b_MagFace_SGD.yaml	222	20	0.0	81.993	9.764	11.617	0.0	75.275	10.647	11.363
