Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	0	0.0	2.672	0.178	0.055	0.0	2.135	0.164	0.047
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	1	0.0	1.833	5.467	0.608	0.065	1.257	5.63	0.507
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	2	0.0	5.042	6.881	1.67	0.0	3.339	6.462	1.388
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	3	0.0	7.255	6.19	1.707	0.0	4.164	6.967	1.828
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	4	0.013	10.398	6.243	2.24	0.0	6.037	6.444	1.876
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	5	0.0	13.829	6.103	2.472	0.0	7.15	6.708	2.339
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	6	0.039	16.37	5.953	2.603	0.0	8.814	7.006	2.615
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	7	0.0	18.635	5.962	2.88	0.0	10.974	7.033	2.871
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	8	0.0	19.932	6.107	3.131	0.0	11.668	7.237	3.009
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	9	0.026	24.856	5.733	3.068	0.0	13.083	6.85	3.009
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	10	0.026	24.031	5.957	3.232	0.0	13.279	7.324	3.335
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	11	0.0	26.493	5.966	3.386	0.0	14.536	7.009	3.317
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	12	0.0	27.475	5.799	3.357	0.0	14.641	7.131	3.389
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	13	0.0	27.279	5.941	3.465	0.0	15.519	7.331	3.539
ghostnet_100	configs_unified_lr/ghostnet_100/config_ghostnet_100_MagFace_AdamW_0.001_cosine.yaml	222	14	0.0	29.453	5.364	3.266	0.0	16.134	6.939	3.453
