ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41
0,4752,5307,3601,2764,2326,1891,3080,1361,427,285,285,2560,285,2355,2560,2550,2550,2560,2560,1840,1623,1623,427,886,2550,2695,886,185,2388,2388,886,886,1101,886,427,2550,886,886,2388,2550,886,886
1,4752,5307,3703,164,242,1072,938,1361,427,973,285,3468,455,3468,1231,2550,1231,1231,2550,1231,2256,1231,427,1231,938,2256,1395,1231,322,3468,325,354,938,2388,2550,322,1602,1602,1602,1602,459,3346
2,4752,5307,1502,2628,1526,5869,705,2382,427,2906,2811,3425,285,2736,2534,2534,819,2695,1708,6203,3178,2695,3178,2000,2000,486,2000,2000,3178,3178,2000,486,2000,2000,486,3178,3178,3178,3178,3178,3178,3178
3,4752,5307,3703,2628,3203,1646,1852,3416,5709,3182,11,1374,2530,1374,1593,3182,445,3182,5286,2281,3182,5959,2011,1434,1434,1434,1434,1434,2011,1434,1434,1434,1434,1434,1434,1434,1434,1434,1434,253,2036,1434
4,4752,5307,1715,2289,2061,2118,4801,680,868,2897,3106,503,503,503,503,503,503,503,503,503,503,1882,1364,553,503,503,563,503,1149,1999,1149,1149,1149,503,503,1149,1364,1149,1149,1324,1149,1018
5,4752,5307,3703,6515,2061,539,469,2885,2885,3459,3271,134,3250,3250,3250,3250,503,1149,5286,2281,1149,1434,1149,1149,1434,1434,1434,1434,1149,1434,1434,1149,1434,1434,1434,1018,1434,1434,1434,1075,1434,1434
6,525,5307,6272,1872,951,1396,2545,2755,3263,1512,807,174,3263,795,174,795,1428,2585,2585,2585,1268,1268,791,165,1268,2585,1268,2578,363,3340,2585,363,1268,2434,1268,2434,3263,363,2434,2585,2789,174
7,4752,5307,1502,1464,1519,1554,945,2495,1073,778,2012,1073,1073,1526,2886,2886,6528,778,5398,1073,109,2917,5398,5398,2803,2917,2917,5398,4661,5398,2917,2917,2917,5398,2917,531,1656,1579,109,2917,1579,5398
8,2442,5307,6272,2289,951,3263,1036,1413,3263,174,2523,2466,1036,2970,2886,1689,2073,23,2530,2211,1664,2211,2266,2530,2211,531,2211,13,2211,2530,2211,2211,2211,2211,359,1535,2211,2211,553,205,2211,2211
9,4752,5307,3601,1407,443,2658,3372,473,6775,5431,2927,2999,6887,1180,5386,5250,2242,5250,5250,5250,2242,5250,4567,4567,4567,7015,123,186,123,4567,2242,7015,6469,2021,2021,2242,1231,5250,7015,1231,6469,7015
10,4752,5307,99,1119,1984,474,1740,1941,6775,243,1398,2612,1398,6046,2612,2612,2612,6941,2612,5591,2612,1171,6434,6661,6661,6941,6661,3980,811,51,3030,818,818,818,818,3030,818,3030,4197,5517,6040,6040
11,4752,4240,1336,3485,1519,988,1233,2021,3231,2021,3345,3231,2021,3072,2021,2834,2834,2021,2834,6176,2834,2834,3231,2021,3231,2021,2021,4531,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,7015,2021,7015,2021
12,4752,5307,3703,725,3231,290,3441,3401,2908,473,987,2771,2265,1180,3361,3361,3361,3361,3361,3361,3361,3361,2603,3361,3361,2603,3361,2771,2603,2603,2603,2245,2408,3361,2603,4628,2603,2603,2408,2408,2245,4910
13,4752,5307,3703,5620,6298,3942,3896,1004,3896,2146,6837,3896,3896,3025,3896,473,3896,6936,2603,2334,2334,1460,6640,2334,590,2245,1798,473,2265,3231,2334,3231,2334,5371,1062,2334,987,2334,3231,3231,987,4910
14,4752,5307,3703,4354,1737,2388,12,1004,290,3441,3441,346,2908,1705,3361,2265,2388,473,2388,3361,2408,1311,6164,3266,3266,911,2146,911,1311,2961,2146,2245,2408,1093,2245,992,2603,2408,3231,2408,2245,1311
15,4752,5307,99,3485,1924,3527,2804,2804,1883,2359,2804,550,3351,1231,2804,3315,1231,123,3315,1231,1474,123,3441,3441,3441,861,123,2804,1483,2804,2804,5521,3315,3315,2804,3315,1483,2289,1483,1483,3315,3315
16,4752,5307,3703,2168,1239,1004,2804,1239,2804,3527,2804,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2289,2804,2289,2289,2289,2289,2289,2289,1231,3441,1483,2289,4473,1231,1483,4700
17,4752,5307,5468,2168,1924,1819,1435,1435,3383,2168,1435,2608,1825,2608,69,1460,1474,1474,1474,1474,1474,1474,5887,1231,2608,1231,1231,1231,1474,1474,2608,5521,3315,2289,1231,3315,6373,2608,2608,2608,2608,2608
18,4752,680,3703,1464,1833,1899,2399,2399,3028,3256,3017,419,1760,2378,419,1760,3018,1760,2479,1666,574,3374,3374,419,419,1760,1760,3294,2378,419,1760,2378,1666,419,3213,419,1780,419,1780,3374,340,419
19,4752,5307,3601,2168,2163,928,354,2399,354,3459,2431,419,1760,3224,419,1739,3224,59,2479,3224,3224,2355,59,59,2479,3224,3224,3224,3224,3224,2355,3224,3224,2355,3224,2355,3224,3224,3459,3224,3224,419
20,4752,5307,99,2168,1526,2853,705,354,469,2479,354,419,2479,419,419,59,3224,59,59,3224,3224,59,1236,1236,3224,3224,3224,3224,3224,3224,3224,3224,3224,3459,3224,3224,3224,3224,3224,3224,3224,419
21,4158,1920,3031,4848,443,5126,1771,1916,784,1916,2092,1916,3998,1916,3998,1916,2092,4861,2092,2092,2092,2092,2092,2092,2092,2092,3816,2092,2092,2092,1500,2092,1500,1855,1500,5021,4905,2092,1500,1685,1500,1500
22,4752,5307,3601,1119,6361,1669,4897,1718,302,2660,5084,2773,3368,5084,3368,2755,4330,4330,618,1200,1200,5468,1345,3854,5383,1345,1509,1345,3232,5468,5468,1509,5468,3854,1509,1509,5468,5468,1325,1991,1325,5468
