Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ig_resnext101_32x8d	configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	0	0.0	4.047	22.698	4.563	0.0	3.051	24.931	4.68
ig_resnext101_32x8d	configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	1	0.0	10.791	26.907	10.501	0.0	9.298	25.807	9.572
ig_resnext101_32x8d	configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	2	0.0	26.427	34.654	19.851	0.0	21.503	34.17	18.683
ig_resnext101_32x8d	configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	3	0.0	42.693	38.961	28.815	0.0	33.185	37.933	25.212
ig_resnext101_32x8d	configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	4	0.0	54.597	40.67	33.334	0.0	44.329	40.126	29.839
ig_resnext101_32x8d	configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	5	0.0	64.157	42.523	38.345	0.0	53.274	42.115	34.142
ig_resnext101_32x8d	configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	6	0.0	72.787	42.966	41.747	0.0	60.987	44.195	38.427
ig_resnext101_32x8d	configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	7	0.0	75.039	44.278	44.141	0.0	65.833	45.77	41.638
ig_resnext101_32x8d	configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	8	0.0	79.138	44.964	47.252	0.0	69.945	46.792	44.547
ig_resnext101_32x8d	configs/ig_resnext101_32x8d/config_ig_resnext101_32x8d_CosFace_SGD.yaml	222	9	0.0	81.679	45.289	48.709	0.0	72.813	47.682	46.617
