Model	config_file	seed	epoch
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	0
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	1
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	2
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	3
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	4
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	5
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	6
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	7
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	8
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	9
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	10
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	11
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	12
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	13
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	14
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	15
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	16
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	17
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	18
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	19
ig_resnext101_32x8d	configs_unified_lr/ig_resnext101_32x8d/config_ig_resnext101_32x8d_MagFace_AdamW_0.001_cosine.yaml	222	20
