ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38
0,66,174,59,59,59,59,59,137,59,59,59,59,59,59,137,59,59,137,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
1,35,48,225,225,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
2,198,148,305,305,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
3,5,106,99,99,99,99,76,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,293,99,99,99,99,99,99,293,99,99
4,305,197,197,99,233,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
5,14,250,233,233,233,99,99,233,99,99,99,99,99,99,99,99,99,99,99,99,339,99,99,99,99,99,99,140,99,140,362,99,99,99,99,99,99,362,397
6,129,21,118,139,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
7,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
8,2,406,202,306,306,162,162,162,814,162,162,162,162,162,162,373,162,162,162,162,162,162,162,162,162,162,814,162,216,814,373,391,162,162,0,162,162,162,0
9,381,166,20,393,394,394,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
10,380,431,394,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
11,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
12,453,2,48,48,2,2,225,225,294,296,225,2,428,2,2,54,296,143,296,296,143,143,421,54,54,59,296,54,54,59,54,54,296,54,296,54,54,54,225
13,137,137,137,137,137,137,26,26,94,137,54,137,54,26,428,26,54,137,152,152,54,137,137,137,428,137,137,428,137,428,428,137,428,428,435,428,54,137,428
14,423,379,421,202,421,225,252,202,423,421,54,421,143,143,54,390,54,54,54,54,54,54,54,402,54,54,54,54,54,54,435,54,54,54,54,54,54,54,54
15,683,319,145,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
16,300,279,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
