Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	0	0.0	3.405	22.423	2.945	0.0	2.292	21.673	2.699
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	1	0.0	2.383	29.827	2.257	0.0	1.964	28.895	2.192
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	2	0.0	2.501	22.697	2.692	0.0	1.977	21.787	2.398
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	3	0.0	4.282	22.815	4.581	0.0	3.444	23.24	4.421
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	4	0.0	6.234	24.116	7.352	0.0	4.649	23.544	6.247
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	5	0.0	9.848	28.729	11.856	0.0	7.399	28.036	10.59
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	6	0.0	12.926	31.919	14.765	0.0	8.696	31.851	13.335
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	7	0.0	13.253	33.879	16.554	0.0	9.612	36.068	15.74
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	8	0.0	14.497	35.948	18.202	0.0	9.861	37.767	17.533
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	9	0.0	18.426	38.681	22.453	0.0	12.782	40.8	21.25
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	10	0.0	17.588	40.424	22.163	0.0	12.428	40.111	20.853
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	11	0.0	17.889	42.901	23.709	0.0	13.305	43.431	23.538
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	12	0.0	18.753	43.424	25.011	0.0	13.188	43.774	23.564
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	13	0.0	18.557	45.855	28.456	0.0	14.942	46.533	27.034
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	14	0.0	23.389	43.629	28.076	0.0	16.592	44.713	26.883
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	15	0.0	26.598	44.969	30.162	0.0	18.387	45.543	28.007
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	16	0.0	23.114	44.815	28.471	0.0	18.465	45.151	27.031
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	17	0.0	28.483	45.291	30.861	0.0	19.893	46.754	29.401
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	18	0.0	30.278	46.131	32.979	0.0	21.386	46.666	30.428
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	19	0.0	33.892	45.993	33.849	0.0	23.926	46.959	31.462
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	20	0.0	31.548	46.177	33.188	0.0	21.726	47.549	31.044
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	21	0.0	35.542	46.449	34.659	0.0	24.882	47.884	32.198
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	22	0.0	33.656	47.08	34.319	0.0	24.267	48.284	32.345
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	23	0.0	35.529	46.808	34.84	0.0	25.367	48.074	32.252
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	24	0.0	36.786	46.868	35.113	0.0	26.166	48.889	33.698
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	25	0.0	38.607	46.634	35.195	0.0	27.724	48.899	34.268
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	26	0.0	37.127	47.021	34.964	0.0	26.781	48.309	32.86
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	27	0.0	39.916	47.891	37.332	0.0	28.3	49.101	34.421
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	28	0.0	40.964	47.49	37.188	0.0	29.23	48.895	34.776
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	29	0.0	42.169	47.574	37.409	0.0	30.055	49.464	35.658
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	30	0.0	42.719	47.924	38.283	0.0	31.417	49.192	35.611
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	31	0.0	44.133	47.767	38.251	0.0	31.627	49.812	36.534
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	32	0.0	42.994	48.286	38.645	0.0	29.872	49.851	36.158
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW_0.001_cosine.yaml	222	33	0.0	46.215	47.796	38.858	0.0	32.137	49.713	36.534
