Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	0	0.0	3.497	30.406	6.16	0.0	3.012	28.817	5.687
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	1	0.0	4.662	22.357	5.631	0.0	3.497	23.214	5.39
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	2	0.0	9.272	31.014	12.874	0.0	7.766	25.794	9.718
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	3	0.0	25.838	34.535	20.639	0.0	19.814	36.91	21.441
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	4	0.0	38.463	36.393	25.806	0.0	28.13	37.57	24.653
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	5	0.0	47.001	38.867	30.422	0.0	34.547	39.181	27.323
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	6	0.0	56.613	39.402	33.438	0.0	43.426	40.747	30.818
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	7	0.0	61.145	39.345	33.826	0.0	48.573	40.449	31.53
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	8	0.0	65.728	41.953	38.146	0.0	52.999	43.533	35.836
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	9	0.0	71.084	42.909	42.739	0.0	57.307	44.458	38.553
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	10	0.0	73.481	43.614	44.41	0.0	61.171	44.706	39.514
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	11	0.0	76.388	43.349	45.034	0.0	64.969	44.597	40.272
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	12	0.0	76.964	44.109	46.523	0.0	65.885	45.586	42.054
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	13	0.0	79.688	44.131	47.582	0.0	69.552	46.264	44.079
inception_resnet_v2	configs_unified_lr/inception_resnet_v2/config_inception_resnet_v2_CosFace_SGD_0.1_cosine.yaml	222	14	0.0	82.517	44.833	49.622	0.0	71.503	46.958	45.564
