ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100
0,53,166,360,53,384,26,171,292,149,318,171,131,206,53,53,225,206,147,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,53,53,447,53,417,430,695,225,297,327,53,174,190,20,53,53,53,257,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,53,328,5,499,380,255,400,223,97,89,257,263,53,263,257,263,53,53,53,53,53,53,53,149,53,53,53,53,53,53,53,53,53,375,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,263,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,263,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,347,483,669,159,148,471,561,309,334,32,220,347,88,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
4,53,721,306,207,572,810,633,207,251,292,179,187,165,347,208,179,95,179,800,35,187,347,187,179,347,30,347,347,187,347,347,347,347,347,347,187,347,347,347,347,84,347,347,97,97,347,347,108,347,347,347,224,347,347,108,347,347,347,347,308,347,97,187,224,224,347,0,308,24,308,347,24,308,24,297,347,24,224,347,24,347,347,108,347,347,224,297,24,108,347,314,347,84,84,314,24,347,347,724,314,237
5,347,347,621,347,190,149,91,140,208,162,6,6,366,162,6,111,366,347,347,366,392,308,347,347,347,366,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
6,53,744,334,765,42,547,7,35,192,388,264,173,32,323,65,334,295,295,295,295,65,216,295,68,65,346,346,78,346,353,65,65,65,65,65,65,279,65,65,132,140,140,140,140,140,140,205,140,140,140,713,140,140,238,334,713,140,347,334,140,140,140,208,140,238,140,395,140,131,713,334,132,275,713,140,334,140,140,68,140,140,145,65,145,145,68,290,140,370,713,140,140,140,140,140,68,132,68,370,68,28
7,347,455,373,12,541,293,509,171,169,93,131,334,364,364,12,364,364,364,68,364,131,364,395,364,132,132,132,19,132,132,132,79,132,132,132,22,132,208,325,384,395,395,395,346,395,205,132,325,340,325,102,325,205,100,340,340,325,346,395,325,325,325,325,541,325,325,110,340,325,340,346,19,340,340,395,340,36,205,292,346,156,325,65,340,340,19,395,110,346,110,325,325,395,340,395,340,340,205,713,346,325
8,53,12,12,12,241,345,450,148,385,208,384,208,385,100,323,23,323,19,19,385,323,385,281,323,385,385,251,281,385,19,295,22,251,281,385,251,385,395,366,385,385,22,385,385,385,385,385,385,281,385,19,385,400,22,16,385,385,366,202,385,16,385,366,385,366,366,251,366,385,385,366,251,385,385,385,366,319,385,385,385,385,366,366,385,385,385,385,319,366,385,366,385,395,385,385,251,19,19,319,385,366
9,41,261,65,6,533,627,653,0,325,125,280,11,710,806,206,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,769,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
10,261,84,560,261,29,101,729,70,729,197,365,384,125,37,384,196,292,86,776,129,647,800,20,647,323,729,323,391,705,652,647,647,694,647,148,153,261,323,204,289,391,592,690,690,694,694,71,261,391,647,323,296,261,647,592,647,694,647,153,153,99,652,694,472,261,652,647,261,75,75,391,647,75,75,261,96,694,690,690,75,412,690,391,391,75,647,412,261,647,632,690,690,412,632,690,183,468,412,261,75,468
11,53,771,191,261,261,800,737,11,641,375,206,206,159,164,284,86,86,225,225,203,673,261,261,261,225,263,261,261,225,225,225,225,225,261,261,225,225,261,261,225,261,225,261,261,225,261,225,225,225,225,225,225,261,502,225,657,225,225,261,261,203,261,261,261,261,261,32,657,86,225,261,86,502,502,261,261,261,657,615,261,86,261,261,261,261,528,261,261,261,310,261,261,261,261,261,261,261,261,261,632,261
12,476,15,619,15,87,760,273,100,139,177,134,273,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,192,709,15,15,3,378,391,660,629,230,364,321,195,87,87,230,125,125,125,16,192,125,125,87,45,572,572,572,595,125,669,572,757,15,595,572,139,595,125,757,125,757,757,125,125,139,543,501,572,125,501,139,125,139,125,45,139,125,125,192,139,139,125,134,139,412,15,595,15,74,55,572,572,125,412,595,412,45,595,595,203,595,15,15,595,87,572,595,595,15,569,45,390,572,192,125,369,15,595,595,15
14,178,15,709,15,193,19,499,143,139,356,177,51,177,15,139,139,15,15,15,15,15,657,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,273,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,53,203,617,347,445,634,260,327,273,381,312,86,203,203,203,139,429,429,203,569,203,203,429,203,569,203,225,203,203,203,203,203,203,569,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
