Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	0	0.0	3.745	29.759	7.196	0.0	2.488	29.467	6.825
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	1	0.0	10.634	35.739	17.372	0.0	7.19	36.11	15.59
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	2	0.0	20.927	35.444	21.132	0.0	12.336	36.262	18.906
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	3	0.0	29.531	38.642	26.699	0.0	18.072	37.276	21.535
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	4	0.0	35.87	40.643	30.683	0.0	22.08	40.461	25.905
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	5	0.0	39.065	41.912	32.709	0.0	25.026	43.662	29.634
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	6	0.0	43.924	41.935	34.517	0.0	28.104	40.968	28.123
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	7	0.0	47.014	44.095	37.743	0.0	30.932	43.669	31.205
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	8	0.0	51.074	45.467	40.706	0.0	33.866	45.965	34.716
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	9	0.0	52.449	46.254	42.027	0.0	37.362	47.686	37.414
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	10	0.0	56.063	46.945	44.551	0.0	38.882	48.548	39.4
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	11	0.0	57.543	48.621	47.143	0.0	39.759	49.862	41.232
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	12	0.0	60.28	47.695	47.227	0.0	41.985	49.763	41.654
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	13	0.0	61.839	50.581	52.401	0.0	42.968	52.556	46.16
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	14	0.0	63.24	50.637	52.664	0.0	45.469	53.339	47.991
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	15	0.0	64.104	50.993	53.506	0.0	45.993	52.722	46.464
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	16	0.0	65.309	51.929	56.355	0.0	48.088	53.057	48.309
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	17	0.0	67.142	52.07	56.935	0.0	49.096	54.795	51.831
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	18	0.0	67.889	52.545	58.02	0.0	49.24	56.072	54.192
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	19	0.0	69.395	51.958	57.422	0.0	51.074	54.473	51.412
