Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	0	0.0	0.17	nan	0.0	0.0	0.17	nan	0.0
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	1	0.0	0.131	nan	0.0	0.0	0.131	nan	0.0
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	2	0.0	0.196	nan	0.0	0.0	0.21	nan	0.0
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	3	0.0	0.367	nan	0.003	0.0	0.314	nan	0.002
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	4	0.0	2.501	0.811	0.047	0.0	1.82	0.731	0.04
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	5	0.0	3.392	1.626	0.125	0.0	3.025	1.484	0.109
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	6	0.0	4.374	2.448	0.258	0.0	3.392	2.223	0.221
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	7	0.0	5.134	3.273	0.438	0.0	4.309	2.991	0.372
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	8	0.0	6.168	4.116	0.681	0.0	4.872	3.751	0.582
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	9	0.0	7.294	5.094	1.024	0.0	5.762	4.659	0.872
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	10	0.0	9.35	6.266	1.5	0.0	6.823	5.705	1.261
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	11	0.0	11.289	7.667	2.115	0.0	7.818	6.915	1.753
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	12	0.0	13.79	9.103	2.89	0.0	9.508	8.16	2.373
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	13	0.0	16.645	10.524	3.798	0.0	11.289	9.401	3.076
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	14	0.0	19.644	11.967	4.882	0.0	13.358	10.696	3.928
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	15	0.0	23.376	13.604	6.174	0.0	15.322	12.289	4.983
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	16	0.0	27.501	15.487	7.757	0.0	17.863	14.232	6.312
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	17	0.0	31.823	17.742	9.711	0.0	20.299	16.719	8.007
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	18	0.0	36.079	20.132	11.936	0.0	22.918	19.402	9.964
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	19	0.0	40.178	22.845	14.653	0.0	25.537	22.384	12.298
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	20	0.0	44.028	25.703	17.689	0.0	27.789	25.436	14.824
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	21	0.0	47.918	28.796	21.165	0.0	30.474	28.842	17.767
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	22	0.0	51.977	31.948	25.007	0.0	32.766	32.276	20.95
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	23	0.0	54.885	34.884	28.893	0.0	34.874	35.497	24.186
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	24	0.0	57.897	37.569	32.781	0.0	37.179	38.504	27.515
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	25	0.0	60.424	39.945	36.518	0.0	39.366	41.111	30.687
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	26	0.0	62.952	42.079	40.13	0.0	41.815	43.509	33.844
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	27	0.0	65.178	43.887	43.431	0.0	43.845	45.612	36.84
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	28	0.0	67.129	45.466	46.485	0.0	45.705	47.482	39.732
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	29	0.0	68.688	46.804	49.245	0.0	47.315	49.135	42.474
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	30	0.0	70.076	47.919	51.653	0.0	49.109	50.543	44.989
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	31	0.0	71.569	48.811	53.691	0.0	50.773	51.667	47.155
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	32	0.0	72.551	49.532	55.435	0.0	52.082	52.58	49.053
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	33	0.0	73.664	50.184	57.039	0.0	53.444	53.357	50.786
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	34	0.0	74.529	50.713	58.403	0.0	54.78	54.02	52.345
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	35	0.0	75.34	51.193	59.64	0.0	55.801	54.612	53.78
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	36	0.0	76.087	51.61	60.724	0.0	56.64	55.106	55.029
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	37	0.0	76.572	51.981	61.69	0.0	57.635	55.547	56.165
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	38	0.0	77.292	52.296	62.511	0.0	58.512	55.914	57.137
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	39	0.0	77.541	52.575	63.212	0.0	59.35	56.22	57.978
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	40	0.0	78.051	52.829	63.862	0.0	59.887	56.476	58.751
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	41	0.0	78.392	53.049	64.403	0.0	60.424	56.676	59.38
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	42	0.0	78.562	53.278	64.925	0.0	61.145	56.903	60.037
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	43	0.0	78.785	53.434	65.33	0.0	61.406	57.051	60.549
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	44	0.0	79.02	53.59	65.702	0.0	62.114	57.195	61.044
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	45	0.0	79.466	53.743	66.044	0.0	62.52	57.333	61.487
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	46	0.0	79.78	53.86	66.321	0.0	62.913	57.431	61.851
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	47	0.0	79.819	54.004	66.584	0.0	63.266	57.565	62.24
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	48	0.0	79.963	54.094	66.818	0.0	63.515	57.638	62.553
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	49	0.0	80.029	54.202	67.009	0.0	63.646	57.726	62.828
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	50	0.0	80.304	54.313	67.202	0.0	63.934	57.807	63.072
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	51	0.0	80.435	54.429	67.376	0.0	64.235	57.897	63.298
mobilenetv3_large_100	configs_unified_lr/mobilenetv3_large_100/config_mobilenetv3_large_100_CosFace_SGD_0.1_cosine.yaml	222	52	0.0	80.422	54.56	67.541	0.0	64.288	57.999	63.523
