Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	0	0.0	42.273	39.45	31.766	0.0	31.509	39.258	28.584
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	1	0.0	66.867	40.723	42.083	0.0	52.357	42.669	38.97
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	2	0.0	77.75	39.786	46.422	0.0	65.008	42.001	42.971
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	3	0.0	85.215	38.993	49.358	0.0	74.935	41.357	46.295
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	4	0.0	89.013	38.957	52.319	0.0	80.579	40.901	48.394
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	5	0.0	91.2	38.819	54.601	0.0	84.141	40.709	50.701
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	6	0.0	92.313	38.393	55.665	0.0	85.961	40.71	52.914
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	7	0.0	93.007	38.834	57.98	0.0	88.161	40.229	53.305
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	8	0.0	93.216	38.564	58.114	0.0	88.895	40.435	54.358
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	9	0.0	94.081	38.73	59.491	0.0	89.523	40.989	56.547
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	10	0.0	94.605	38.724	59.992	0.0	90.427	41.231	57.956
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	11	0.0	94.578	39.162	60.993	0.0	90.99	41.443	58.463
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	12	0.0	94.801	39.088	61.537	0.0	91.186	41.552	59.199
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	13	0.0	94.906	38.957	61.312	0.0	91.448	40.984	58.678
rexnet_200	configs_unified_lr/rexnet_200/config_rexnet_200_MagFace_SGD_0.1_cosine.yaml	222	14	0.0	94.984	39.472	62.82	0.0	91.881	42.024	60.922
