ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41
0,275,59,59,59,59,59,399,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,99,99,59,59,59,59,59,59,59,59,59,59,59,59,59,59,99,59,59
1,669,59,59,72,59,59,111,59,59,59,59,59,59,59,99,59,59,59,59,59,59,59,59,99,59,59,59,59,99,59,59,59,59,99,59,59,59,59,99,99,59,59
2,130,59,59,300,308,59,40,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,99,162,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
3,461,59,59,72,59,59,71,59,59,59,59,59,59,59,59,59,59,59,59,99,59,59,59,59,99,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
4,30,59,59,59,59,59,118,59,59,59,59,59,59,59,59,59,59,59,59,59,59,99,59,59,59,59,59,99,59,59,59,59,59,162,59,59,59,99,59,99,59,59
5,669,59,59,54,59,59,251,59,59,59,59,59,59,59,59,59,59,59,59,144,59,59,59,99,59,59,59,59,99,59,59,59,59,59,99,99,99,59,59,59,59,59
6,428,59,59,72,59,59,21,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,99,59,59,59,59,59,59,59,162
7,461,59,59,72,59,59,430,59,59,59,59,59,59,59,59,59,59,54,59,162,59,59,59,99,99,99,59,59,59,59,59,59,59,59,59,99,99,59,59,59,59,59
8,373,59,59,54,59,59,144,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,162,59,59,59,99,59,59,59,59,59,59,99,59,59,59,59,59,99,59
9,85,59,59,54,59,59,162,59,59,59,59,59,59,59,99,59,59,59,59,59,59,59,59,59,59,59,59,162,59,59,59,59,59,59,59,59,59,59,59,59,59,59
10,182,59,59,229,59,59,13,59,59,59,59,59,59,59,59,59,59,166,59,59,59,59,59,59,59,59,59,59,59,59,162,59,59,59,99,59,59,59,59,59,59,59
11,257,59,59,72,59,59,458,59,59,99,59,59,59,59,59,59,59,59,59,99,162,59,59,59,59,59,59,59,162,59,59,59,59,59,59,59,59,59,59,59,59,59
12,92,59,59,59,59,59,211,59,59,59,59,59,59,59,59,59,59,59,162,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,99,59,59,59,54,108,703
13,109,59,59,54,99,59,169,59,59,59,59,59,59,59,99,59,59,59,59,59,59,59,59,59,99,59,59,59,59,59,99,59,59,162,59,59,99,59,59,59,59,59
14,386,59,59,59,324,59,59,59,59,59,59,59,59,59,99,59,59,59,59,59,99,99,59,59,59,59,59,162,59,59,59,59,59,59,162,59,59,59,59,59,59,164
