ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41
0,5664,5312,1467,5664,5664,2992,2992,4541,4541,4541,4541,4541,4541,2379,2379,822,1259,1577,2502,2603,921,3459,874,1775,3106,1775,2820,2180,3293,3062,1350,3077,2034,1025,3132,3132,3132,1129,743,743,504,743
1,5664,5312,1467,5664,5664,2992,2992,4541,4541,4541,4541,4541,4541,2379,2379,822,1259,1577,2502,2603,921,3459,874,1775,3106,1775,2820,2180,3293,3062,1350,518,2034,1025,3132,3132,3132,1129,743,743,504,743
2,5664,5312,1467,5664,5664,2992,2992,4541,4541,4541,4541,4541,4541,2379,2379,822,1259,1577,2502,2603,921,3459,874,1775,3106,1775,2820,2180,3293,3062,1350,3077,2034,1025,3132,3132,3132,1129,743,743,504,743
3,5664,5312,1467,5664,5664,2992,2992,4541,4541,4541,4541,4541,4541,2379,2379,822,1259,1577,2502,2603,921,3459,874,1775,3106,1775,2820,2180,3293,3062,1350,3077,2034,1025,3132,3132,3132,1129,743,743,504,743
4,5664,5312,1467,5664,5664,2992,2992,4541,4541,4541,4541,4541,4541,2379,2379,822,1259,1577,2502,2603,921,3459,874,1775,3106,1775,2820,2180,3293,3062,1350,3077,2034,1025,3132,3132,3132,1129,743,743,504,743
5,5664,5312,1467,5664,5664,2992,2992,4541,4541,4541,4541,4541,4541,2379,2379,822,1259,1577,2502,2603,921,3459,874,1775,3106,1775,2820,2180,3293,3062,1350,518,2034,1025,3132,3132,3132,1129,743,743,504,743
6,5664,5312,1467,5664,5664,2992,2992,4541,4541,4541,4541,4541,4541,2379,2379,822,1259,1577,2502,2603,921,3459,874,1775,3106,1775,2820,2180,3293,3062,1350,518,2034,1025,3132,3132,3132,1129,743,743,504,743
7,5664,5312,1467,5664,5664,2992,2992,4541,4541,4541,4541,4541,4541,2379,2379,822,1259,1577,2502,2603,921,3459,874,1775,3106,1775,2820,2180,3293,3062,1350,3077,2034,1025,3132,3132,3132,1129,743,743,504,743
8,5664,5312,1467,5664,5664,2992,2992,4541,4541,4541,4541,4541,4541,2379,2379,822,1259,1577,2502,2603,921,3459,874,1775,3106,1775,2820,2180,3293,3062,1350,3077,2034,1025,3132,3132,3132,1129,743,743,504,743
9,5664,5312,1467,5664,5664,2992,2992,4541,4541,4541,4541,4541,4541,2379,2379,822,1259,1577,2502,2603,921,3459,874,1775,3106,1775,2820,2180,3293,3062,1350,518,2034,1025,3132,3132,3132,1129,743,743,504,743
