ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25
0,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
1,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
2,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
3,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
4,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
5,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
6,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
7,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
8,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
9,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
10,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
11,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
12,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
13,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
14,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
15,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
16,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
17,1808,5980,6264,1292,1292,1292,2973,2973,2973,2566,2566,2566,2566,2566,2566,2566,2566,2566,2973,5543,3172,743,1307,382,773,743
