Model	config_file	seed	epoch
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	1
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	2
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	3
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	4
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	5
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	6
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	7
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	8
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	9
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	10
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	11
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	12
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	13
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	14
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	15
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	16
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	17
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	18
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	19
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	20
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	21
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	22
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	23
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	24
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	25
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	26	0.0	0.249	nan	0.0	0.0	0.301	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	27	0.0	0.236	nan	0.0	0.0	0.157	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	28	0.0	0.17	nan	0.0	0.0	0.262	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	29	0.0	0.288	nan	0.0	0.0	0.262	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	30	0.0	0.314	nan	0.0	0.0	0.196	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	31	0.0	0.144	nan	0.0	0.0	0.183	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	32	0.0	0.275	nan	0.0	0.0	0.249	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	33	0.0	0.183	nan	0.0	0.0	0.236	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	34	0.0	0.118	nan	0.0	0.0	0.144	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	35	0.0	0.236	nan	0.0	0.0	0.157	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	36	0.0	0.183	nan	0.0	0.0	0.262	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	37	0.0	0.236	nan	0.0	0.0	0.249	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	38	0.0	0.314	nan	0.0	0.0	0.34	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	39	0.0	0.157	nan	0.0	0.0	0.131	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	40	0.0	0.21	nan	0.0	0.0	0.275	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	41	0.0	0.144	nan	0.0	0.0	0.118	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	42	0.0	0.262	nan	0.0	0.0	0.301	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	43	0.0	0.157	nan	0.0	0.0	0.144	nan	0.0
tf_efficientnet_b7_ns	configs_unified_lr/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_ArcFace_AdamW_0.001_cosine.yaml	222	44	0.0	0.262	nan	0.0	0.0	0.314	nan	0.0
