Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
tf_efficientnet_b7_ns	configs/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_rmsproptf.yaml	222	0	0.0	0.393	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_rmsproptf.yaml	222	1	0.0	0.393	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_rmsproptf.yaml	222	2	0.0	0.393	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_rmsproptf.yaml	222	3	0.0	0.406	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_rmsproptf.yaml	222	4	0.0	0.406	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_rmsproptf.yaml	222	5	0.0	0.393	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_rmsproptf.yaml	222	6	0.0	0.314	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_rmsproptf.yaml	222	7	0.0	0.445	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_rmsproptf.yaml	222	8	0.0	0.393	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_rmsproptf.yaml	222	9	0.0	0.419	nan	0.0	0.0	0.0	nan	0.0
tf_efficientnet_b7_ns	configs/tf_efficientnet_b7_ns/config_tf_efficientnet_b7_ns_CosFace_rmsproptf.yaml	222	10	0.0	0.38	nan	0.0	0.0	0.0	nan	0.0
