ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62
0,124,59,59,59,59,117,447,619,192,71,348,384,355,225,384,225,281,348,281,72,384,281,54,72,151,366,225,257,421,225,225,296,421,225,281,355,281,59,59,336,281,281,336,421,281,54,281,281,421,336,421,54,281,59,59,137,59,59,59,59,59,59,59
1,59,59,99,59,59,571,428,723,192,187,423,122,58,59,121,435,225,348,59,59,348,58,58,58,428,59,348,348,336,287,59,137,59,428,59,281,428,59,281,137,54,348,281,59,336,281,59,137,59,281,59,59,281,59,281,137,59,137,59,137,59,281,137
2,59,59,99,59,59,163,460,257,599,384,71,275,384,281,381,122,77,355,270,355,252,59,152,428,336,355,428,421,257,257,258,58,258,143,281,257,257,257,257,281,257,158,281,257,258,281,355,59,258,355,257,257,59,59,281,336,257,59,257,59,59,257,257
3,59,99,59,59,59,68,3,194,6,214,237,119,102,99,47,392,250,353,362,392,120,353,405,51,392,88,76,56,321,112,321,56,205,56,254,405,76,405,317,76,51,51,56,51,405,51,88,88,51,88,321,321,51,205,405,51,392,205,51,76,205,51,76
4,162,59,59,59,59,114,150,764,365,286,376,284,233,392,250,99,21,344,205,353,310,99,99,310,99,277,99,99,99,277,99,233,429,429,99,99,293,99,99,99,99,99,99,405,99,99,88,99,99,313,99,323,99,99,99,99,196,205,99,88,99,293,99
5,99,59,59,59,59,200,247,207,43,182,139,166,279,432,418,246,432,246,397,300,246,69,246,246,69,246,246,246,246,99,6,5,246,6,99,246,99,99,99,99,6,99,213,246,213,213,99,99,99,213,246,246,246,246,213,213,213,213,213,213,213,246,213
6,162,162,162,162,718,162,347,840,720,698,241,418,752,292,167,308,176,412,814,284,412,284,284,284,176,176,814,176,176,218,176,176,176,368,218,368,218,176,176,176,176,284,176,368,218,368,218,176,368,176,176,284,176,0,176,176,176,176,0,176,218,176,176
7,59,59,59,99,59,370,574,90,695,14,192,46,272,220,373,202,297,306,194,46,373,266,162,162,162,176,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,176,162,162,162,162,162,162,162,162,162,162,162,176,162,176,162,176,81,176,162,81,176
8,791,252,430,59,272,265,588,706,389,36,221,431,212,426,338,373,292,217,127,253,575,377,306,186,25,186,186,306,186,186,349,349,368,218,415,349,349,349,218,415,368,218,391,349,415,349,349,368,116,391,391,368,349,391,349,349,349,368,368,106,149,349,149
9,59,59,99,59,59,240,787,32,163,393,68,92,378,308,378,250,395,92,393,308,222,399,238,308,399,144,144,144,144,399,238,144,144,144,70,399,399,399,70,144,144,70,308,144,308,70,308,70,289,308,70,70,308,144,70,70,308,144,308,70,144,144,144
10,709,311,113,59,144,760,269,159,314,237,200,256,85,243,43,85,207,43,191,399,399,43,399,85,43,261,172,144,144,308,308,414,376,414,43,414,308,308,414,414,308,261,43,308,308,156,370,261,308,370,156,144,43,370,144,308,144,144,144,370,144,144,144
