Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	0	0.0	2.999	37.587	4.539	0.0	3.745	31.447	3.908
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	1	0.0	3.13	24.884	2.747	0.0	3.483	21.573	2.656
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	2	0.0	3.523	8.499	1.026	0.0	3.968	8.092	1.108
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	3	0.0	4.479	7.057	1.142	0.0	4.832	6.323	1.145
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	4	0.0	6.024	7.43	1.618	0.0	7.046	6.859	1.614
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	5	0.0	7.988	8.121	2.277	0.0	9.678	7.603	2.21
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	6	0.0	10.018	9.119	3.06	0.0	11.97	8.578	2.93
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	7	0.0	12.598	10.61	4.044	0.0	14.916	9.902	3.801
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	8	0.0	15.047	12.621	5.342	0.0	17.666	11.593	4.872
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	9	0.0	18.308	15.392	7.181	0.0	20.299	13.804	6.272
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	10	0.0	22.551	18.277	9.349	0.0	23.062	16.205	7.87
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	11	0.0	27.082	21.133	11.74	0.0	25.812	18.716	9.624
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	12	0.0	32.137	24.155	14.488	0.0	28.614	21.514	11.675
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	13	0.0	38.148	27.331	17.644	0.0	31.129	24.633	14.086
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	14	0.0	43.465	30.313	20.951	0.0	33.84	27.751	16.709
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	15	0.0	49.358	33.084	24.385	0.0	37.009	30.862	19.574
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	16	0.0	54.584	35.4	27.648	0.0	40.636	33.67	22.434
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	17	0.0	59.128	37.333	30.736	0.0	44.172	36.168	25.255
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	18	0.0	63.449	38.946	33.61	0.0	47.551	38.307	27.956
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	19	0.0	66.854	40.24	36.189	0.0	51.231	40.075	30.45
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	20	0.0	70.43	41.322	38.585	0.0	54.387	41.555	32.758
tnt_s_patch16_224	configs_multi/tnt_s_patch16_224/config_tnt_s_patch16_224_CosFace_AdamW.yaml	222	21	0.0	73.651	42.207	40.787	0.0	57.242	42.769	34.874
