Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	0	0.0	10.922	35.654	10.769	0.0	8.918	30.777	9.032
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	1	0.0	8.368	41.665	11.16	0.0	7.216	35.342	8.934
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	2	0.0	7.268	19.436	3.355	0.0	6.247	18.419	3.167
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	3	0.0	7.687	8.138	1.729	0.0	6.469	8.04	1.642
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	4	0.0	9.639	7.91	2.412	0.0	8.434	7.917	2.267
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	5	0.0	12.127	8.833	3.282	0.0	10.293	8.79	3.017
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	6	0.0	13.764	9.959	4.074	0.0	11.472	9.772	3.667
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	7	0.0	14.563	10.883	4.722	0.0	11.891	10.669	4.2
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	8	0.0	15.165	10.809	4.759	0.0	12.101	10.559	4.198
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	9	0.0	14.104	10.933	4.658	0.0	11.027	10.65	4.105
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	10	0.0	11.799	10.992	4.403	0.0	9.102	10.658	3.856
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	11	0.0	10.398	10.69	4.153	0.0	7.543	10.361	3.646
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	12	0.0	9.966	9.777	3.73	0.0	7.15	9.601	3.326
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	13	0.0	8.944	8.519	3.117	0.0	6.784	8.43	2.821
twins_svt_large	configs_multi/twins_svt_large/config_twins_svt_large_CosFace_AdamW.yaml	222	14	0.0	7.661	7.242	2.535	0.0	6.207	7.18	2.323
