ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21
0,801,801,455,5213,6163,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,4899,1684,1496,2907,6735
1,801,801,455,1930,258,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,1496,6536,1684,1496,382,1352
2,801,801,455,5213,3444,2145,3422,251,5450,4976,4374,3080,1004,3231,530,222,3721,4899,1684,1496,1108,1352
3,801,801,3231,6163,2865,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,1496,6561,1684,475,2907,1352
4,801,801,3231,6163,2707,6043,3422,251,5450,4976,4374,2886,1004,1785,530,238,3721,6561,1684,1496,382,1352
5,801,801,3231,6163,2037,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,6536,1684,1496,2907,1352
6,801,801,3231,3231,2037,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,1496,4899,1684,1496,2907,1352
7,801,801,3231,3231,2865,2145,3422,251,5450,4976,4374,3080,1004,1785,530,238,3300,6561,1684,4848,382,1352
8,801,801,3231,6163,2037,2145,3422,251,5450,4976,4374,3080,1004,1785,530,238,1496,6561,1684,475,382,1352
9,801,801,455,1474,4337,6043,3422,251,5450,4976,4374,3080,1004,1785,530,238,1496,6561,1684,1496,2907,1352
10,801,801,455,3339,2865,6043,3422,251,5450,4976,4374,2886,1004,1785,530,533,1496,6561,1684,475,2907,1352
11,801,801,455,5213,4433,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,6536,1684,1496,1108,1352
12,801,801,3231,6163,547,2145,3422,251,5450,4976,4374,3080,5397,3231,530,222,3721,4899,1684,1496,2907,6551
13,801,801,3231,1681,258,2145,3422,251,5450,4976,4374,3080,1004,3231,530,222,3721,4899,1684,1496,2907,6551
14,801,801,3231,6163,2037,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,4899,1684,1496,1108,6735
15,801,801,455,6163,2075,2145,3422,251,5450,4976,4374,3080,1004,1785,530,238,3721,6561,1684,1496,2907,1352
16,801,801,455,5213,6163,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,4899,1684,1496,1108,1352
17,801,801,1205,1930,258,2145,3422,251,5450,4976,4374,3080,1004,1785,530,533,3300,6561,1684,475,382,1352
18,801,801,3231,1681,4393,2145,3422,251,5450,4976,4374,3080,1004,3231,530,222,3721,4899,1684,1496,2907,1352
19,801,801,455,5213,6163,2145,3422,251,5450,4976,4374,3080,1004,1785,530,238,1496,6561,1684,475,382,1352
20,801,801,455,4482,3444,2145,3422,251,5450,4976,4374,3080,1004,1785,530,238,3721,6561,1684,1496,2907,1352
21,801,801,3231,6163,2707,2145,3422,251,5450,4976,4374,3080,1004,1785,530,238,1496,6561,1684,1496,382,6735
22,801,801,455,1474,6163,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,4899,1684,1496,1108,6551
23,801,801,455,5213,6163,6043,3422,251,5450,4976,4374,2886,1004,1785,530,238,1496,6561,1684,1496,382,1352
24,801,801,455,1474,6759,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,1496,4899,1684,1496,1108,1352
25,801,801,3231,3444,4087,6043,3422,251,5450,4976,4374,3080,1004,1785,530,238,1496,6561,1684,475,382,1352
26,801,801,455,1930,6759,2145,3422,251,5450,4976,4374,2886,1004,1785,530,533,3300,6561,1684,1496,382,1352
27,801,801,3231,6163,4393,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,1496,4899,1684,1496,1108,1352
28,801,801,455,3231,2865,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,4899,1684,475,1108,6551
29,801,801,455,4482,258,2145,3422,251,5450,4976,4374,2886,1004,1785,530,238,1496,6561,1684,1496,2907,1352
30,801,801,3231,3444,4235,6043,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,6561,1684,1496,2907,6735
31,801,801,455,1474,258,2145,3422,251,5450,4976,4374,3080,1004,3231,530,222,3721,4899,1684,475,1108,6551
32,801,801,455,6163,2037,2145,3422,251,5450,4976,4374,3080,1004,3231,530,222,3721,4899,1684,1496,1108,6551
33,801,801,455,5213,6163,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,1496,4899,1684,1496,2907,1352
34,801,801,455,1474,6759,2145,3422,251,5450,4976,4374,2886,1004,1785,530,238,1496,6561,1901,1496,2907,1352
35,801,801,455,1474,1786,6043,3422,251,5450,4976,4374,3080,1004,3231,530,222,3721,4899,1684,1496,1108,1352
36,801,801,3231,1681,4393,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,1496,4899,1684,1496,2907,6551
37,801,801,455,1474,2577,2145,3422,251,5450,4976,4374,2886,1004,1785,530,533,3300,6561,1684,1646,382,1352
38,801,801,455,1930,3093,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,1496,4899,1684,1496,2907,6551
39,801,801,3231,1681,4393,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,1496,4899,1684,475,5914,6551
40,801,801,455,6163,4087,6043,3422,251,5450,4976,4374,3080,1004,1785,530,238,1496,6561,1684,475,382,1352
41,801,801,3231,1681,4393,2145,3422,251,5450,4976,4374,3080,1004,3231,530,222,3721,4899,1684,1496,2907,6735
42,801,801,455,5213,6163,6043,3422,251,5450,4976,4374,2886,1004,1785,530,238,1496,6561,1684,1496,583,1352
43,801,801,3231,6163,2037,2145,3422,251,5450,4976,4374,3080,1004,3231,530,222,3721,4899,1684,475,2907,6551
44,801,801,3231,1681,3006,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,1496,6561,1684,2382,2907,1352
45,801,801,455,5213,6163,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,4899,1684,1496,5914,1352
46,801,801,455,5213,258,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,4899,1684,1496,2907,1352
47,801,801,3231,3231,4393,6043,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,6561,1684,1496,1108,1352
48,801,801,455,1474,258,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,5171,1684,1496,1108,1352
49,801,801,455,6163,2169,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,6561,1684,1496,2907,1352
50,801,801,3231,6163,4393,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,1496,6561,1684,1496,2907,6735
51,801,801,3231,6163,4393,2145,3422,251,5450,4976,4374,3080,1004,3231,530,222,3721,4899,1684,1496,2907,6551
52,801,801,455,5213,258,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,6561,1684,1496,2907,6735
53,801,801,3231,5213,6163,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,1496,6561,1684,1496,2907,1352
54,801,801,455,6163,4393,2145,3422,251,5450,4976,4374,3080,1004,3231,530,238,3721,6536,1684,1496,2907,1352
55,801,801,1525,6163,2075,2145,3422,251,5450,4976,4374,3080,5397,3231,530,222,1496,6561,1684,1496,2907,1352
