ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20
0,524,185,468,21,122,714,135,506,53,53,53,53,53,239,53,53,417,185,77,32,724
1,648,655,709,770,503,159,722,255,53,231,368,53,53,53,53,273,62,797,386,347,401
2,763,109,213,362,425,19,308,7,75,53,53,53,273,343,53,53,53,213,88,594,129
3,42,458,33,340,213,770,8,117,187,323,347,347,55,272,347,150,347,511,21,325,590
4,42,749,455,764,569,666,182,482,347,347,271,347,101,669,347,259,347,347,534,801,58
5,264,23,580,12,776,714,140,203,347,12,237,347,28,347,347,347,40,131,314,397,379
6,224,273,206,254,334,102,56,50,12,53,12,203,12,12,12,244,252,420,633,26,345
7,764,174,179,751,127,23,433,580,12,53,383,232,12,12,12,12,12,508,451,490,354
8,7,264,225,746,596,362,185,417,98,12,12,12,751,585,12,404,12,752,583,61,643
9,683,515,782,621,211,725,329,420,261,368,261,261,358,352,261,341,261,261,577,129,568
10,332,600,129,175,29,29,415,245,384,348,261,194,261,723,54,261,261,409,695,274,588
11,246,192,561,387,630,783,523,421,343,231,321,161,261,261,261,261,261,309,77,284,548
12,137,272,318,595,196,82,145,288,72,12,15,777,29,29,394,318,463,87,551,805,334
13,167,165,637,631,810,87,66,104,15,98,15,259,211,313,15,99,15,603,728,581,614
14,7,162,365,365,337,365,343,203,15,15,12,347,362,15,15,53,257,15,474,321,656
15,33,652,77,256,187,250,698,487,203,203,312,270,203,203,203,203,203,379,551,245,158
16,741,51,647,203,203,203,522,764,362,53,88,12,244,203,95,203,274,390,625,127,705
17,351,518,528,31,675,45,517,790,203,140,203,203,132,203,203,372,555,431,103,136,382
18,574,429,656,593,364,649,78,89,231,270,231,231,231,784,231,231,379,446,506,33,741
19,19,760,789,770,397,714,366,185,231,53,231,161,347,346,261,231,261,4,231,595,173
20,432,766,455,173,283,596,555,374,340,53,231,231,231,249,231,231,342,379,431,208,183
21,502,85,374,337,474,166,664,368,368,231,53,368,373,287,177,387,245,173,552,35,229
22,505,505,714,800,794,549,50,283,368,53,367,95,368,155,12,368,355,648,770,193,102
23,730,54,736,683,409,778,215,173,368,261,203,128,69,368,368,296,368,783,388,436,459
24,143,660,727,221,656,147,569,358,80,80,80,80,80,80,80,132,779,64,433,328,217
25,162,158,47,47,303,337,583,352,80,80,80,381,80,303,543,80,346,509,142,660,318
26,485,335,742,479,314,520,23,510,80,80,80,323,20,705,335,211,6,356,391,96,734
27,354,213,625,329,254,206,204,301,295,347,323,28,323,1,124,347,221,742,61,133,590
28,78,521,419,281,706,111,808,621,323,323,102,323,215,323,323,323,323,178,578,547,192
29,759,712,35,298,88,299,518,158,323,203,86,323,323,323,384,323,323,323,770,593,395
30,662,795,598,419,240,418,598,610,245,347,245,98,235,56,245,397,368,569,688,493,167
31,492,331,501,274,351,272,738,127,635,53,66,245,18,394,245,89,127,189,794,22,656
32,281,589,432,694,32,193,710,62,223,53,245,263,245,245,53,140,245,245,233,256,11
33,373,6,457,203,103,322,269,274,156,368,261,377,321,321,238,321,321,207,31,417,446
34,295,575,365,645,607,36,155,647,147,140,160,141,32,321,463,200,321,423,699,233,661
35,500,342,620,722,618,547,773,138,368,261,46,321,353,321,88,158,418,223,657,608,543
36,201,375,213,370,148,77,145,102,334,12,270,270,270,270,243,399,35,190,30,293,121
37,694,318,270,137,381,206,337,630,230,321,274,245,270,270,270,421,379,617,407,310,809
38,417,107,676,345,20,338,106,690,305,53,270,270,270,270,130,285,270,234,636,603,749
39,645,778,159,326,31,247,403,600,264,347,12,19,166,166,166,260,303,215,691,562,644
40,574,283,427,35,322,35,583,196,347,53,166,166,166,166,102,166,166,768,684,584,478
41,499,284,143,602,84,781,24,582,166,12,270,207,374,315,166,166,166,225,22,671,413
42,656,446,550,712,695,802,811,545,278,7,28,28,28,28,96,28,337,515,554,455,252
43,339,381,712,232,240,669,623,428,28,347,15,12,347,28,28,28,678,613,276,269,243
44,129,595,28,185,391,320,77,42,290,28,28,28,28,332,28,28,10,600,508,290,243
45,79,797,728,285,285,130,782,758,130,53,12,28,293,130,270,130,191,130,758,252,342
46,770,521,3,555,555,14,191,314,394,245,345,341,130,130,391,367,130,548,389,255,96
47,314,674,752,284,339,268,766,268,15,347,300,88,346,220,130,130,248,114,177,536,784
48,115,748,787,333,274,41,153,660,161,80,358,261,161,7,161,161,170,298,65,390,571
49,504,466,648,283,180,32,171,98,161,53,161,231,321,384,65,231,38,33,140,527,770
50,560,5,66,11,180,691,531,312,161,347,245,12,161,67,345,347,161,177,110,797,359
51,283,187,156,21,145,170,312,742,161,231,166,166,83,197,207,174,12,145,679,661,215
52,141,10,157,196,656,354,231,635,207,53,207,270,207,245,12,130,49,479,284,717,671
53,446,385,700,621,433,162,798,674,207,12,270,207,207,207,28,207,207,385,9,410,196
54,129,351,311,469,9,89,416,191,276,53,12,53,16,98,53,28,16,16,342,536,37
55,698,518,691,313,82,393,399,280,16,368,16,16,16,16,130,16,100,16,790,677,216
56,133,65,41,168,116,116,775,275,476,80,16,16,107,16,382,400,16,12,327,292,208
57,317,517,612,599,394,408,102,481,568,109,91,367,367,0,439,367,195,109,705,416,730
58,388,776,49,352,89,302,668,487,231,53,231,368,367,215,367,179,367,657,613,246,319
59,545,130,689,159,317,608,666,339,367,203,245,367,64,91,12,323,126,478,56,286,664
60,417,71,776,458,638,643,523,508,95,53,95,16,33,105,203,166,95,98,583,761,257
61,523,669,695,701,760,515,30,274,95,95,95,26,95,95,532,95,95,775,459,31,332
62,86,590,318,247,465,332,55,614,95,53,231,231,34,86,95,95,95,205,342,474,419
63,14,355,86,357,380,790,107,67,174,384,140,174,166,174,119,174,677,13,155,290,494
64,256,361,222,551,366,131,590,213,167,245,16,53,174,339,174,15,71,601,605,390,36
65,190,240,147,69,297,149,213,170,174,12,166,174,174,297,106,130,98,165,672,719,379
66,313,351,274,237,208,354,85,257,161,270,358,66,66,66,186,66,153,66,271,192,596
67,79,182,155,370,4,414,789,195,66,53,261,95,35,174,57,286,633,811,412,373,789
68,13,159,114,99,18,353,99,288,316,231,245,245,270,87,16,353,115,115,287,792,74
69,375,168,196,187,65,186,141,232,131,102,7,222,222,341,222,18,380,327,121,657,403
70,115,97,107,675,301,51,84,690,222,80,222,261,222,222,53,222,367,428,140,573,506
71,196,293,107,326,262,379,339,25,691,368,28,28,222,245,203,222,73,70,3,674,104
72,285,471,77,98,197,332,416,801,347,53,53,27,27,27,27,350,132,158,231,367,387
73,779,95,293,704,189,189,109,532,231,80,27,27,184,27,350,27,782,803,248,602,126
74,187,727,780,256,308,10,802,154,66,270,128,27,66,27,27,28,27,215,492,337,45
75,513,295,648,181,225,273,633,685,8,231,16,8,53,308,86,8,211,410,752,179,285
76,585,194,136,276,155,64,250,460,95,231,8,7,242,8,109,8,8,240,540,14,455
77,56,364,771,7,622,332,293,763,277,53,8,8,139,253,8,8,312,387,356,439,321
78,23,510,349,62,578,23,132,318,141,231,275,188,38,203,286,38,23,570,342,244,765
79,30,607,31,433,308,363,621,264,132,231,286,88,115,38,74,240,161,366,218,647,233
80,578,35,764,46,332,9,134,236,100,352,250,261,38,36,36,38,391,144,403,4,7
81,346,547,256,147,206,79,517,149,12,347,384,245,335,98,207,16,342,106,793,326,348
82,323,92,621,220,166,432,216,741,98,15,98,233,134,595,231,135,98,638,130,317,251
83,514,712,247,191,623,491,523,671,98,166,12,28,30,16,16,166,174,143,221,106,715
84,184,192,400,82,740,173,245,192,393,393,393,393,393,794,393,393,393,470,533,756,244
85,96,393,313,608,393,393,313,259,181,393,393,393,222,67,222,356,393,356,559,593,60
86,293,66,399,375,476,66,126,473,82,222,393,403,34,314,393,354,108,414,654,113,253
87,496,251,107,382,183,159,281,448,86,12,140,376,273,376,222,16,183,393,172,742,234
88,301,355,366,447,671,229,168,130,167,376,376,100,106,301,22,65,752,459,620,722,435
89,93,104,170,273,600,203,281,496,386,53,376,376,376,376,376,95,737,376,155,777,772
90,308,240,496,620,317,259,394,594,99,203,12,95,99,99,368,338,792,323,183,677,403
91,53,629,273,133,595,278,317,392,194,368,8,99,318,46,53,325,99,108,420,108,332
92,305,273,56,293,72,319,305,348,99,347,270,256,99,234,184,15,99,632,66,351,2
93,275,328,205,86,86,86,256,273,86,86,125,86,86,86,26,140,225,748,667,448,390
94,145,623,64,346,49,104,653,319,166,12,140,86,86,86,86,387,368,68,596,257,243
95,213,86,453,675,219,400,730,696,86,231,231,286,42,95,231,88,31,792,777,26,338
96,416,747,420,797,191,95,251,263,166,347,12,12,161,397,281,207,273,92,468,454,495
97,583,240,698,216,518,468,121,664,273,53,273,368,53,227,231,203,332,129,548,374,159
98,302,682,117,12,613,321,308,177,78,53,273,130,53,273,273,53,273,157,74,379,758
99,806,130,604,478,423,423,53,319,95,231,99,231,398,398,398,222,398,806,690,370,11
100,360,318,627,55,339,92,226,284,398,398,384,33,398,398,246,161,358,618,162,397,327
101,66,379,604,548,230,361,320,376,145,183,27,398,357,398,398,292,398,629,588,629,0
102,706,377,635,365,137,338,105,604,140,161,231,367,84,89,140,38,194,168,770,499,513
103,600,724,558,784,399,449,204,791,292,261,261,261,140,352,303,86,140,140,631,790,332
104,654,229,439,447,526,405,560,623,185,12,376,95,140,376,376,245,646,320,592,615,171
105,466,688,566,574,332,472,809,709,361,231,95,176,176,273,174,16,345,433,165,596,136
106,610,638,418,397,204,88,433,33,176,203,176,176,100,176,176,388,118,111,275,482,471
107,513,504,481,195,555,421,44,168,248,183,32,176,176,176,176,140,176,314,102,287,727
108,195,402,157,143,272,330,230,174,67,16,34,7,624,393,141,86,573,521,107,619,320
109,194,75,393,807,671,645,701,183,673,673,67,673,67,673,211,67,150,75,280,280,407
110,804,480,746,665,798,696,698,760,8,368,12,293,51,161,53,12,99,290,685,115,276
111,393,188,561,694,393,131,123,671,287,765,333,449,789,789,286,561,286,211,5,157,579
112,698,100,734,143,549,233,209,390,55,53,261,261,340,252,594,66,286,286,775,367,51
113,414,603,551,770,264,390,356,400,510,80,286,195,263,475,38,286,286,545,279,565,29
114,127,584,53,10,347,32,77,440,131,368,232,241,793,402,131,293,131,227,360,687,171
115,145,297,695,240,215,187,68,71,137,130,131,276,131,131,375,131,387,489,185,339,753
116,422,93,795,576,206,233,100,592,149,12,131,131,131,131,123,131,131,594,541,789,292
117,247,768,213,714,577,715,747,801,365,231,368,95,365,365,8,321,211,612,638,463,116
118,354,775,804,667,25,519,798,709,365,365,80,40,387,365,365,171,365,679,600,381,210
119,722,205,336,59,161,648,313,314,43,53,365,346,240,365,365,95,613,204,197,688,134
120,338,45,508,32,36,356,153,511,125,80,211,99,384,3,259,304,227,551,89,514,406
121,64,446,218,215,722,417,38,400,261,384,381,21,384,384,384,384,384,191,435,584,569
122,374,137,309,234,808,379,673,293,384,323,270,384,384,384,166,231,384,803,673,394,348
123,12,123,474,14,294,107,553,390,341,53,341,130,341,341,104,240,6,366,25,806,749
124,321,656,1,353,248,140,88,712,341,261,176,189,341,341,341,261,341,115,480,194,636
125,293,192,65,195,211,248,126,140,789,270,7,27,164,222,167,341,162,52,123,62,130
126,709,782,59,109,758,651,100,810,88,245,53,53,106,25,38,53,88,595,226,254,282
127,411,377,478,472,810,223,387,692,383,53,398,38,327,193,231,66,88,773,787,769,93
128,76,280,418,163,82,355,448,403,37,331,95,88,358,275,88,176,88,88,121,399,313
129,224,298,783,180,64,544,145,429,171,28,245,207,174,47,171,130,171,527,174,660,41
130,69,292,369,169,369,217,9,394,171,12,187,171,23,171,125,80,311,3,800,6,131
131,648,307,344,651,216,274,547,746,323,53,245,96,171,171,273,171,171,597,798,478,511
132,564,369,221,369,313,322,131,394,259,347,259,15,313,313,143,220,49,177,325,560,388
