ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73
0,619,619,351,303,363,363,132,194,404,38,273,53,53,53,347,53,53,53,53,53,53,53,53,53,270,53,53,53,347,53,53,53,53,53,53,251,53,53,53,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,161,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,792,792,45,45,208,208,32,53,232,393,53,53,53,53,347,53,53,53,53,53,12,53,53,53,367,53,347,53,53,53,53,53,53,53,53,286,53,53,53,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,321,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53
2,747,489,627,95,809,809,231,444,53,53,53,53,53,53,53,53,53,347,53,53,53,53,53,53,270,53,347,347,347,53,53,347,12,53,53,251,53,53,53,53,53,53,12,53,53,53,53,53,53,53,347,53,53,53,53,53,53,53,161,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53
3,162,158,158,174,174,174,224,223,321,347,174,53,261,347,53,53,53,347,53,53,53,53,53,53,347,53,347,53,53,53,53,53,53,53,53,251,53,53,53,347,53,53,53,53,347,53,53,53,53,261,53,53,53,347,53,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
4,193,533,557,569,569,807,182,347,12,166,347,347,347,53,53,53,53,53,53,53,53,53,347,53,231,53,53,12,53,347,53,53,261,53,53,251,53,53,53,53,53,53,347,53,347,53,53,53,53,53,347,53,53,53,53,53,53,53,161,231,53,53,53,53,53,53,53,53,53,53,53,53,53,53
5,675,675,712,6,6,6,712,366,174,347,139,347,53,53,53,53,53,53,53,53,53,53,347,53,231,53,53,53,53,347,347,347,12,53,53,286,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,347,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53
6,264,264,255,764,366,383,144,12,12,359,12,368,347,53,53,53,347,53,53,53,53,53,53,53,231,53,53,53,53,53,53,53,53,53,53,300,53,53,53,347,53,53,53,53,53,53,53,53,53,53,347,53,53,53,53,53,53,53,161,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53
7,717,717,19,347,487,487,385,19,98,12,12,53,347,53,347,53,12,347,53,53,347,53,53,53,270,53,53,53,53,53,53,347,53,53,53,300,53,53,53,53,53,53,12,53,53,53,53,53,53,53,53,53,53,53,261,53,53,53,161,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53
8,804,766,766,265,255,481,32,12,347,255,12,12,12,53,53,347,53,53,53,53,53,53,53,53,261,53,53,261,53,347,53,53,53,53,53,251,53,53,53,53,53,53,347,53,53,347,53,53,53,53,53,53,53,53,261,53,53,53,161,203,53,53,53,53,53,53,53,53,53,53,53,53,53,53
9,515,515,466,588,588,588,221,261,286,38,122,203,261,53,53,53,347,53,53,53,53,53,53,53,231,53,347,53,347,53,53,53,53,53,53,300,53,53,53,53,53,53,12,53,347,53,53,53,53,53,53,53,53,347,53,261,53,53,15,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53
10,282,282,282,204,510,204,204,261,261,359,67,203,53,53,53,53,53,53,53,53,53,53,53,53,231,53,347,53,53,53,53,53,53,53,53,300,53,53,53,347,53,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,203,15,53,53,53,53,53,53,53,53,53,53,53,53,53,53
11,220,220,220,491,659,730,590,261,261,261,335,347,347,53,53,53,53,53,53,53,261,53,53,53,12,53,53,53,53,53,53,53,53,53,53,300,53,53,53,53,53,53,53,53,53,53,347,347,53,53,53,53,53,53,53,53,53,53,347,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53
12,393,393,393,423,87,87,87,15,100,15,15,53,15,53,53,53,53,53,53,53,53,53,53,53,270,53,53,53,53,53,53,53,53,53,53,300,53,53,53,53,347,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
13,39,39,87,87,87,87,87,143,41,15,15,15,15,347,53,53,53,53,53,53,53,53,53,53,231,53,12,347,53,12,53,261,15,53,53,251,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
14,86,139,139,378,87,51,51,15,15,191,15,15,347,53,53,347,53,53,53,53,53,53,53,53,231,53,53,53,347,347,53,53,12,53,53,300,53,53,53,53,53,53,347,53,53,53,53,347,53,53,53,53,53,53,53,53,53,53,15,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53
15,364,364,187,233,343,693,109,203,203,203,203,261,53,53,53,53,53,347,53,53,231,53,53,53,270,53,53,53,347,53,53,53,53,53,53,300,53,53,53,347,53,53,12,53,53,53,53,53,53,53,53,53,53,53,261,53,53,53,161,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53
16,203,203,203,203,203,203,203,203,203,203,207,15,53,53,53,53,53,53,53,53,53,53,53,53,231,347,53,53,347,53,53,53,53,53,53,300,53,53,53,53,53,53,53,53,347,53,53,347,53,53,53,53,15,53,53,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
17,115,632,121,121,310,45,399,97,286,203,203,15,53,53,53,53,347,347,53,53,231,347,53,53,16,53,347,53,347,53,53,53,53,53,53,300,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,347,53,261,53,53,53,347,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53
18,391,626,391,391,391,391,158,158,174,255,312,53,347,53,53,347,53,347,53,347,53,53,53,53,347,53,53,53,347,53,53,53,347,53,53,286,53,53,53,53,53,53,12,53,53,53,53,347,53,53,53,53,53,53,261,53,53,53,261,261,53,53,53,53,53,53,53,53,53,53,53,53,53,53
19,578,578,578,328,326,26,192,237,53,53,74,323,53,347,53,53,53,347,53,53,347,53,53,53,261,53,53,53,53,53,53,53,53,53,53,251,53,53,53,347,53,53,12,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,203,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
20,255,255,255,774,373,91,458,231,53,231,231,323,53,347,53,261,53,12,53,53,80,53,261,53,12,53,53,53,347,53,53,53,53,53,53,300,53,53,53,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,347,347,53,53,53,53,53,53,53,53,53,53,53,53,53,53
21,684,666,724,724,435,229,229,368,118,368,368,273,347,53,53,53,53,53,53,53,347,53,347,53,231,53,53,53,12,53,53,53,53,53,53,251,53,53,53,53,53,53,12,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,321,80,53,53,53,53,53,53,53,53,53,53,53,53,53,53
